"Date","Open","High","Low","Close","Volume","DOW","log_returns"
2011-01-07,15,15.78,14.94,15.68,2897272,"Friday",0.0496834201466467
2011-01-14,15.84,16.08,15.74,16.02,851704,"Friday",0.00626176122397615
2011-01-21,15.36,15.42,14.94,14.98,2075344,"Friday",-0.021790231580519
2011-01-28,15.68,15.69,14.87,14.93,1784156,"Friday",-0.0509248407164309
2011-02-04,14.91,15.49,14.91,15.35,2311224,"Friday",0.0290833452565589
2011-02-11,15.5,16.09,15.42,15.98,1412080,"Friday",0.0227857959265889
2011-02-18,16.23,16.24,15.98,16.01,1238880,"Friday",-0.0105623846217222
2011-02-25,14.6,14.81,14.5,14.8,1234576,"Friday",0.017723708664696
2011-03-04,14.76,14.76,14.44,14.64,1126440,"Friday",-0.00408998525152482
2011-03-11,14.66,15.38,14.66,15.18,1666336,"Friday",0.00594649918772649
2011-03-18,14.55,15.22,14.54,15.01,2250820,"Friday",0.0449667034397403
2011-03-25,15.31,15.66,15.2,15.41,959120,"Friday",0.0124062968984848
2011-04-01,16,16.02,15.62,15.68,1212684,"Friday",-0.01141420128444
2011-04-08,15.78,15.8,15,15.03,1711884,"Friday",-0.0455215133053031
2011-04-15,15.02,15.19,14.9,15.1,871884,"Friday",0.00198873118247489
2011-04-29,16.17,16.52,15.95,16.47,1678680,"Friday",0.0221003470006655
2011-05-06,17.22,17.33,16.98,17.13,1710220,"Friday",0.00644218919080064
2011-05-13,17.4,17.5,17.16,17.27,958772,"Friday",-0.00979552632224667
2011-05-20,17.38,17.5,17.2,17.4,914100,"Friday",-0.00229621226035048
2011-05-27,16.92,17.01,16.73,16.86,663912,"Friday",0.00178094437099485
2011-06-03,16.15,16.41,15.94,15.99,1519940,"Friday",-0.0265365771784194
2011-06-10,15.4,15.58,15.33,15.39,1184716,"Friday",-0.00129870148123645
2011-06-17,16.26,16.62,16.12,16.34,1568584,"Friday",0.0166619096824356
2011-06-24,17.12,17.12,16.6,16.75,2021692,"Friday",-0.0230166548985582
2011-07-01,17.17,17.34,17.14,17.28,1398968,"Friday",0.0093023926623137
2011-07-08,17.14,17.44,17.12,17.4,1082976,"Friday",0.00692044284457349
2011-07-15,16.89,16.94,16.65,16.78,1019480,"Friday",-0.00119118537015295
2011-07-22,16.41,16.46,16,16.08,1284964,"Friday",-0.0251778728206875
2011-07-29,14.97,15.37,14.88,15.28,1502924,"Friday",0.00656601177089033
2011-08-05,14.08,14.19,13.22,13.77,2084920,"Friday",-0.00651468102119379
2011-08-12,13.86,14.36,13.82,14,1528356,"Friday",0.0216614967811792
2011-08-19,13.19,13.84,13.19,13.33,1974188,"Friday",-0.0104478562316555
2011-08-26,13.28,14,13.16,14,1758516,"Friday",0.0445491699121772
2011-09-02,13.72,14.04,13.56,13.6,997184,"Friday",-0.0254097155253681
2011-09-09,13.49,14.08,13.27,13.49,1441756,"Friday",-0.0139862419747399
2011-09-16,14.97,15.14,14.9,14.97,1846888,"Friday",0.00267558688043801
2011-09-23,13.9,14.61,13.9,14.6,1974836,"Friday",0.0520145349525336
2011-09-30,14.25,14.47,14.04,14.07,1638152,"Friday",-0.0301037783002309
2011-10-07,14.6,14.95,14.3,14.38,2062132,"Friday",-0.00899971460319593
2011-10-14,16.12,16.12,15.68,15.92,1535540,"Friday",-0.00875552810237856
2011-10-21,16.54,16.59,16.08,16.49,3230316,"Friday",0.000606612090181979
2011-10-28,17.11,17.14,16.75,16.81,1200948,"Friday",-0.00770374180338429
2011-11-04,17.1,17.41,16.98,17.2,1929096,"Friday",0
2011-11-11,16.53,17.12,16.51,17,1282892,"Friday",0.0371522656312928
2011-11-18,16.23,16.45,16.15,16.26,1134628,"Friday",0.00307976837207979
2011-11-25,15.19,15.58,15.14,15.32,575060,"Friday",0.00457966125902454
2011-12-02,17.49,17.65,17.21,17.42,1741700,"Friday",-0.00686501551968011
2011-12-09,17.07,17.56,17,17.44,1478396,"Friday",0.0267302375976324
2011-12-16,18.42,19.1,18.42,19.04,4345120,"Friday",0.0352789124356785
2011-12-23,19.1,19.1,18.58,19,1752072,"Friday",-0.00472565857121587
2011-12-30,18.99,19.04,18.73,18.77,1045252,"Friday",-0.0111259425833641
2012-01-06,18.74,18.86,18.44,18.46,1942768,"Friday",-0.0187824142382329
2012-01-13,17.94,18.17,17.72,18.13,1800052,"Friday",0.00497651013228184
2012-01-20,18.42,18.66,18.32,18.38,1004700,"Friday",-0.00650761515673803
2012-01-27,18.18,18.74,18,18.64,1625524,"Friday",0.0249877205081122
2012-02-03,19.62,19.88,19.54,19.59,1559808,"Friday",0.0118101501080181
2012-02-10,18.76,18.98,18.51,18.62,1110416,"Friday",-0.0207288846514166
2012-02-17,19.39,19.66,19.02,19.1,1840008,"Friday",-0.00886114737369059
2012-02-24,17.25,17.47,16.84,16.96,2365440,"Friday",-0.0198488711399762
2012-03-02,17.39,17.69,17.18,17.28,2258780,"Friday",-0.00577035646133606
2012-03-09,17.15,17.5,17.09,17.37,1370860,"Friday",0.0115809053436298
2012-03-16,17.94,18.08,17.38,17.45,3769588,"Friday",-0.0304763993140056
2012-03-23,17.36,17.4,17.2,17.34,1426892,"Friday",0.00230946984866254
2012-03-30,18.16,18.16,17.78,17.91,1146428,"Friday",-0.0116570845422128
2012-04-13,17.53,17.58,17.36,17.38,1059898,"Friday",-0.0148489307413997
2012-04-20,17.55,17.73,17.2,17.26,1895734,"Friday",-0.00462428569711415
2012-04-27,17,17.07,16.86,17,1902742,"Friday",0
2012-05-04,16.62,16.76,16.5,16.56,2169926,"Friday",-0.0036166404701885
2012-05-11,16.84,17.1,16.84,17.08,1004474,"Friday",0.00469484430420763
2012-05-18,16.07,16.39,15.96,16.17,2745606,"Friday",0.00433840159859855
2012-05-25,16.92,17.16,16.84,16.98,1156586,"Friday",0.00353982670512387
2012-06-01,16.86,17.09,16.82,16.9,1491606,"Friday",-0.014684551682921
2012-06-08,17.14,17.5,17.02,17.36,1806324,"Friday",0.0268550873031765
2012-06-15,17.67,17.68,17.26,17.29,2016058,"Friday",-0.0177706023489073
2012-06-22,18.18,18.21,18.05,18.06,6314532,"Friday",0.0038835000263977
2012-06-29,18.24,18.24,17.82,17.95,1690652,"Friday",-0.00278164296187677
2012-07-06,18.64,19.23,18.64,18.98,2238180,"Friday",0.00899714986884259
2012-07-13,18.31,18.58,18.31,18.48,1419774,"Friday",0.0136204775229665
2012-07-20,18.2,18.25,17.88,17.91,1930050,"Friday",-0.018257768573565
2012-07-27,17.28,17.67,17.02,17.54,1138372,"Friday",0.013199617755919
2012-08-03,17.04,17.31,17.02,17.22,1046752,"Friday",0.0193497681798758
2012-08-10,17.16,17.38,16.9,17.09,1069854,"Friday",-0.00408759693231708
2012-08-17,17.04,17.1,16.9,17.09,1004078,"Friday",-0.000584966381115049
2012-08-24,16.95,17.17,16.9,17.04,597492,"Friday",0.00117439825594134
2012-08-31,16.88,17.02,16.72,16.78,611252,"Friday",0
2012-09-07,17.26,17.44,17.12,17.4,875476,"Friday",0.0127242896643738
2012-09-14,17.44,17.44,17,17.29,1897402,"Friday",-0.00863811878563459
2012-09-21,17.18,17.23,16.79,16.86,1369448,"Friday",-0.0117925894898234
2012-09-28,17.66,17.74,17.52,17.53,1431158,"Friday",-0.0130350386308811
2012-10-05,18.24,18.58,18.17,18.26,671920,"Friday",0.00659343047983185
2012-10-12,18.33,18.5,18.22,18.41,647484,"Friday",0.00708642921898228
2012-10-19,19.04,19.09,18.79,18.88,1194056,"Friday",-0.0105375053027861
2012-10-26,19.06,19.16,18.62,19.14,2113540,"Friday",0.00313972000466789
2012-11-02,19.56,19.69,19.41,19.52,1334160,"Friday",0.00102511541524564
2012-11-09,20.48,20.73,20.18,20.34,1566440,"Friday",-0.0117303397854895
2012-11-16,20.38,20.39,19.78,20.36,1987832,"Friday",-0.00392157365318191
2012-11-23,21,21.26,20.84,21.24,636762,"Friday",0.0161370374029728
2012-11-30,21.31,21.54,21.13,21.38,3954886,"Friday",0.00374883288151961
2012-12-07,21.38,21.44,21.08,21.25,1363998,"Friday",-0.000470477543375925
2012-12-14,21.6,21.8,21.35,21.58,1152764,"Friday",-0.00416185571827921
2012-12-21,22.31,22.32,22.04,22.21,2235234,"Friday",-0.0111933114039608
2012-12-28,21.59,21.62,21.32,21.36,1179830,"Friday",-0.0125612258729735
2013-01-04,22.38,22.75,22.34,22.69,1214928,"Friday",0.0137565959079713
2013-01-11,23.08,23.43,23,23.42,1422844,"Friday",0.0189660857489615
2013-01-18,23.48,23.52,23.18,23.32,1258902,"Friday",-0.00853976154813463
2013-01-25,23.19,23.45,22.72,23.3,1888470,"Friday",0.00430108189939027
2013-02-01,23.16,23.56,23.14,23.28,1484726,"Friday",0.00949510802232423
2013-02-08,24,24.44,23.94,24.34,1013314,"Friday",0.0182426286219162
2013-02-15,24.46,24.88,24.44,24.49,1269776,"Friday",0.00532242812238026
2013-02-22,24.96,25.4,24.9,25.4,1261080,"Friday",0.0230993942480295
2013-03-01,25.68,26.36,25.66,26.2,1695208,"Friday",0.0161604132560096
2013-03-08,28.3,28.78,28.22,28.75,1817474,"Friday",0.0257192263344983
2013-03-15,29.76,29.88,29.42,29.62,1886192,"Friday",-0.00538721841621026
2013-03-22,31.06,31.5,30.97,31.42,1042946,"Friday",0.0160414091082539
2013-04-05,29.23,29.71,28.36,29.68,1144604,"Friday",-0.00872196069230258
2013-04-12,29.55,29.98,29.32,29.57,1191166,"Friday",-0.00404995491128268
2013-04-19,29.4,30.4,29.07,30.18,1615862,"Friday",0.0275462495933883
