"Date","Open","High","Low","Close","Volume","DOW","log_returns"
2011-01-10,15.67,15.91,15.5,15.74,2208708,"Monday",0.00381922806699553
2011-01-24,14.97,15.29,14.88,15.19,2092596,"Monday",0.0139213385186081
2011-01-31,14.95,15.18,14.8,14.81,1425320,"Monday",-0.00806998327139175
2011-02-07,15.41,15.67,15.3,15.32,989944,"Monday",-0.00195630972076088
2011-02-14,15.94,16.2,15.8,16.13,1502588,"Monday",0.0093429517989887
2011-02-28,14.98,15.04,14.63,14.86,1880548,"Monday",0.00404585851954398
2011-03-07,14.52,14.74,14.19,14.43,1559728,"Monday",-0.0144481357473865
2011-03-14,14.99,15.12,14.74,14.94,1121728,"Monday",-0.0159365922628125
2011-03-21,15.1,15.4,14.99,15.3,1211164,"Monday",0.0191361827530194
2011-03-28,15.48,15.54,15.38,15.42,1053372,"Monday",0.000648718803158754
2011-04-04,15.68,15.75,15.5,15.64,951928,"Monday",-0.00255427980509637
2011-04-11,15.05,15.16,14.88,15,1636796,"Monday",-0.00199800266267314
2011-04-18,15.1,15.18,14.75,15.09,1325180,"Monday",-0.000662471041121382
2011-04-25,15.11,15.36,14.95,15.24,982280,"Monday",0.00658330224919723
2011-05-02,16.63,16.68,16.26,16.35,882400,"Monday",-0.00731264684628607
2011-05-09,17.08,17.25,16.88,17.08,1009388,"Monday",-0.0029231239756049
2011-05-16,17.21,17.37,17.04,17.07,1473828,"Monday",-0.011648355352238
2011-05-23,17.21,17.32,16.98,17.02,1442320,"Monday",-0.0220810830752551
2011-06-06,15.94,15.99,15.68,15.79,1238108,"Monday",-0.0125866985783123
2011-06-13,15.49,15.9,15.43,15.65,968156,"Monday",0.0167529691353741
2011-06-20,16.33,16.95,16.32,16.73,1108332,"Monday",0.023587425566876
2011-06-27,16.82,17.14,16.74,16.97,1475120,"Monday",0.0130488209750594
2011-07-11,17.19,17.26,16.88,16.95,858956,"Monday",-0.0262023723940241
2011-07-18,16.62,16.64,16.02,16.31,1576144,"Monday",-0.0284092844061381
2011-07-25,15.94,15.95,15.4,15.73,3418544,"Monday",-0.0220065466806338
2011-08-01,15.62,15.87,14.96,15.02,3107180,"Monday",-0.0171621374023858
2011-08-08,13.83,13.85,12.99,13.05,4004560,"Monday",-0.0537041789718611
2011-08-15,14.12,14.48,14.12,14.36,1035832,"Monday",0.0253892340048196
2011-08-22,13.72,13.75,13.16,13.19,1730040,"Monday",-0.0105581674613942
2011-08-29,14.15,14.67,14.15,14.66,1201264,"Monday",0.0460653668432469
2011-09-12,13.29,13.59,13.25,13.57,910504,"Monday",0.00591280362711322
2011-09-19,14.76,14.94,14.63,14.79,855476,"Monday",-0.0120969217088285
2011-09-26,14.76,14.85,14.41,14.66,1476932,"Monday",0.00410116774421443
2011-10-03,13.92,14.14,12.82,12.83,3052328,"Monday",-0.0922586924987527
2011-10-10,14.76,15.01,14.55,15.01,1626664,"Monday",0.0428782933524698
2011-10-17,15.75,16.06,15.64,15.81,1658432,"Monday",-0.00693352919485646
2011-10-24,16.63,17.33,16.55,17.15,1805996,"Monday",0.039244037040441
2011-10-31,16.54,16.9,16.42,16.63,1356508,"Monday",-0.010765654215688
2011-11-07,17.1,17.34,16.96,17.16,1263600,"Monday",-0.00232828975959087
2011-11-14,17.06,17.39,16.71,16.75,1607252,"Monday",-0.0148150857851408
2011-11-21,16,16.03,15.67,15.94,1205584,"Monday",-0.0198764307575958
2011-11-28,15.88,16.12,15.77,15.94,846852,"Monday",0.0396725090496237
2011-12-05,17.5,17.99,17.46,17.77,2025040,"Monday",0.0198926707422031
2011-12-12,17.26,17.66,17.21,17.55,1597292,"Monday",0.00628753143104133
2011-12-19,19.04,19.13,18.52,18.58,1663864,"Monday",-0.0244562959775272
2012-01-09,18.58,18.88,18.4,18.69,1643808,"Monday",0.0123823923927655
2012-01-23,18.4,18.64,18.18,18.43,1347020,"Monday",0.00271665475419081
2012-01-30,18.45,18.84,18.44,18.64,1359404,"Monday",0
2012-02-06,19.46,19.52,19.08,19.36,1407160,"Monday",-0.0118101501080181
2012-02-13,18.84,18.94,18.67,18.94,913344,"Monday",0.017039815909011
2012-02-27,16.94,17.39,16.87,17.3,2109860,"Monday",0.0198488711399762
2012-03-05,17.16,17.22,17,17.13,1717696,"Monday",-0.008718451039881
2012-03-12,17.34,17.37,17.1,17.19,1340312,"Monday",-0.0104167608582557
2012-03-19,17.38,17.77,17.26,17.58,1676992,"Monday",0.00742224360859467
2012-03-26,17.47,18,17.47,18,1653846,"Monday",0.0373557865437686
2012-04-02,17.88,17.94,17.68,17.82,1587510,"Monday",-0.00503779402995708
2012-04-09,17.66,17.89,17.54,17.63,1531676,"Monday",-0.0229895182246986
2012-04-16,17.42,17.7,17.34,17.45,1302148,"Monday",0.00401952881119039
2012-04-23,16.98,17.02,16.7,16.91,1751398,"Monday",-0.0204865227447928
2012-04-30,17.02,17.08,16.8,16.9,2273898,"Monday",-0.00589972212718859
2012-05-07,16.54,16.86,16.52,16.76,2101610,"Monday",0.0120049460968232
2012-05-14,16.89,17.06,16.89,16.96,1052276,"Monday",-0.00705055799666665
2012-05-21,16.16,16.46,16.11,16.38,1361434,"Monday",0.0129034048359076
2012-06-04,16.98,17,16.08,16.18,1725610,"Monday",-0.0435377102986818
2012-06-11,17.5,17.83,17.23,17.28,2258024,"Monday",-0.00461894585629441
2012-06-18,17.18,17.68,17.12,17.62,1875982,"Monday",0.0189063208128344
2012-06-25,17.93,18,17.49,17.64,1256918,"Monday",-0.023530497410194
2012-07-02,18.06,18.27,17.92,18.22,1593378,"Monday",0.0149297768975245
2012-07-09,18.83,18.83,17.85,18.07,3523242,"Monday",-0.0491326885776444
2012-07-16,18.5,18.82,18.39,18.63,1122970,"Monday",0.00808411839995893
2012-07-23,17.72,17.87,17.39,17.78,1728636,"Monday",-0.00728498598686178
2012-07-30,17.49,17.77,17.28,17.47,1926668,"Monday",-0.00399886279807182
2012-08-06,17.25,17.51,17.25,17.42,1505042,"Monday",0.0115474724247724
2012-08-13,17.02,17.16,16.86,17.05,1048102,"Monday",-0.00234329339797368
2012-08-20,17.1,17.52,17.05,17.38,1155022,"Monday",0.0168266227097464
2012-08-27,17.2,17.26,16.91,16.96,1014386,"Monday",-0.00470589103741226
2012-09-10,17.42,17.74,17.32,17.41,1123360,"Monday",0.000574547559614391
2012-09-17,17.25,17.32,17.08,17.21,1129624,"Monday",-0.00463768947175103
2012-09-24,16.76,16.96,16.38,16.82,1702658,"Monday",-0.00237529802890757
2012-10-01,17.47,17.66,17.28,17.58,1748226,"Monday",0.00284819332388775
2012-10-08,18.24,18.57,18.14,18.48,1593478,"Monday",0.0119761910467155
2012-10-15,18.51,18.58,18.3,18.55,643462,"Monday",0.00757579380845774
2012-10-22,18.82,19.2,18.8,19.04,1262308,"Monday",0.00843886864586496
2012-11-05,19.58,20.07,19.55,20.06,2141488,"Monday",0.0272882015488429
2012-11-12,20.45,20.75,20.3,20.67,1435734,"Monday",0.0160939830732629
2012-11-19,20.44,20.77,20.44,20.76,1756576,"Monday",0.0194558666153659
2012-11-26,21.24,21.36,20.72,21.24,1164030,"Monday",0
2012-12-03,21.44,21.49,21.1,21.25,1196392,"Monday",-0.0060990102264733
2012-12-10,21.22,21.4,21.06,21.28,1109308,"Monday",0.00141076910301763
2012-12-17,21.7,22.12,21.68,21.99,1264482,"Monday",0.0188208447366813
2012-12-24,22.16,22.24,21.96,22.08,380660,"Monday",-0.00587041649744169
2012-12-31,21.42,21.64,21.32,21.54,1383104,"Monday",0.00839165763624861
2013-01-07,22.68,23.44,22.68,23.18,2080540,"Monday",0.0213655391198553
2013-01-14,23.42,23.47,23.08,23.22,1009074,"Monday",-0.00857638189982568
2013-01-28,23.38,23.76,23.27,23.54,1687424,"Monday",0.0102477412604758
2013-02-04,23.06,23.34,22.88,23.26,1285344,"Monday",-0.000859475772718721
2013-02-11,24.41,24.6,24.12,24.4,1124948,"Monday",0.00246204473977496
2013-02-25,25.48,25.76,24.76,24.78,1452050,"Monday",-0.0247122978234944
2013-03-04,26.26,27.31,26.04,27.26,2497334,"Monday",0.0396610155013355
2013-03-11,28.56,28.72,28.38,28.56,1197840,"Monday",-0.00663062977197582
2013-03-18,29.42,30.4,29.06,30.29,1182484,"Monday",0.0223678161994934
2013-03-25,31.58,31.81,31.02,31.16,1385146,"Monday",-0.00830941182492761
2013-04-01,31.88,32.25,31.67,31.8,1364848,"Monday",-0.00564441761967727
2013-04-08,29.77,30.13,29.46,30.1,1329954,"Monday",0.0140517534556501
2013-04-15,29.53,29.86,28.18,28.32,2264136,"Monday",-0.0431920650388666
2013-04-22,30.18,30.22,29.32,29.79,1394556,"Monday",-0.0130066866145118
2013-04-29,30.34,30.78,30.34,30.58,1131864,"Monday",0.00820887880042642
2013-05-06,31.5,33.24,31.38,33.08,3254524,"Monday",0.0533956746732835
2013-05-13,32.61,33.32,32.55,32.96,1721464,"Monday",-0.00363416511421955
2013-05-20,32.61,32.9,29.62,29.86,6261664,"Monday",-0.0877924962616174
2013-06-03,28.48,28.84,27.82,28.21,2705990,"Monday",-0.00706467085219131
2013-06-10,28.7,29.12,28.04,28.12,1200930,"Monday",-0.0204160558231115
2013-06-17,28.23,28.36,27.36,27.66,990480,"Monday",-0.0125742630354049
2013-06-24,25.52,25.75,25.15,25.48,1729404,"Monday",-0.0232749063544895
2013-07-01,26.1,26.93,26.04,26.42,1919302,"Monday",0.0160247610726971
2013-07-08,26.2,26.4,25.95,25.98,1879680,"Monday",-0.00613969695362249
2013-07-15,30.56,30.79,30.25,30.54,1502970,"Monday",0
2013-07-22,30.75,31.11,30.49,31.08,1238828,"Monday",0.0149111352699092
2013-07-29,31.11,31.24,29.73,29.78,2285762,"Monday",-0.049461530424928
2013-08-05,31.36,31.73,30.8,31.02,1844434,"Monday",-0.0172583382292806
2013-08-12,30,30.76,29.87,30.3,2186430,"Monday",0.0066225407604934
2013-08-19,29.34,29.34,28.66,28.7,881028,"Monday",-0.018640512116002
2013-08-26,30.5,30.5,30.08,30.16,1293746,"Monday",-0.0112101404736107
2013-09-09,28.86,29.33,28.74,29.26,1096536,"Monday",0.0196727655987048
2013-09-16,30.62,30.88,30.32,30.8,1010478,"Monday",0.0206666368085591
2013-09-23,31.17,31.54,30.87,31.4,982094,"Monday",0.0108870751936667
2013-09-30,31.29,31.51,31.02,31.31,1458774,"Monday",-0.0155287544478169
2013-10-07,32.17,32.66,31.75,32.31,1366774,"Monday",-0.00247295334683129
2013-10-14,31.06,31.82,30.96,31.76,1319128,"Monday",0.0161882601965244
2013-10-21,32.95,33.12,32.68,32.92,822814,"Monday",0.00487211682400046
2013-10-28,34.96,35.38,34.68,35.06,1046862,"Monday",-0.000570288010893982
2013-11-04,36.23,36.88,36.23,36.39,1175202,"Monday",0.00800114628523341
2013-11-11,36.56,36.84,36.36,36.68,759922,"Monday",0.00848738838936658
2013-11-18,37.94,38.4,37.86,37.91,1127066,"Monday",0.00290582690270114
2013-11-25,38.8,39.1,38.66,39,974276,"Monday",0.0108276386520632
2013-12-02,38.88,39.2,38.4,38.47,983064,"Monday",-0.0103440280999281
2013-12-09,36.98,37.48,36.8,37.35,2147350,"Monday",0.0159226140913402
2013-12-16,36.4,36.59,35.8,36.12,1202958,"Monday",0
2013-12-23,36.76,36.96,35.75,36.16,1926376,"Monday",-0.0161846901348701
2013-12-30,36,36.22,35.8,36.02,686638,"Monday",0.000555401291700175
2014-01-06,37.63,37.8,36.92,37.02,1437232,"Monday",-0.00646205802809074
2014-01-13,39.73,39.84,38.37,38.72,1524496,"Monday",-0.0209565553340947
2014-01-27,39.82,40.02,38.22,39.4,1733234,"Monday",-0.0106034823321624
2014-02-03,39.3,39.48,37.33,37.34,2608304,"Monday",-0.0572476796288943
2014-02-10,38.96,39,37.82,38.36,1459134,"Monday",-0.0142360369812247
2014-02-24,40.84,42.06,40.84,41.75,1422132,"Monday",0.0237529344657026
2014-03-03,42.69,43.34,42.15,43.06,1076806,"Monday",-0.00601993019657288
2014-03-10,44.52,45.42,44.27,44.46,828944,"Monday",-0.00538359308347269
2014-03-17,46.14,46.54,45.28,45.95,1590368,"Monday",0.00458066020706083
2014-03-24,45.66,46.14,44.8,45.66,1387068,"Monday",0.00615116174995345
2014-03-31,45.58,46.8,45.41,46.66,1275670,"Monday",0.0282566071737875
2014-04-07,45.98,46.65,44.48,44.91,2769230,"Monday",-0.0274531351001976
2014-04-14,45.78,46.02,44.11,44.68,1311250,"Monday",-0.0128976660043914
2014-04-21,46.47,46.47,45.69,46.31,1117150,"Monday",-0.0034490226042263
2014-04-28,47.2,47.3,45.86,46.68,1535852,"Monday",-0.000856531101616209
2014-05-05,47.72,48.02,47.1,47.58,1101146,"Monday",-0.00461313462259838
2014-05-12,48.04,49.03,48.04,48.94,1560560,"Monday",0.0334507140963689
2014-05-19,47.74,48.88,47.52,48.5,928096,"Monday",0.0145381584460273
2014-06-02,49.36,50.43,49.04,50.04,1227684,"Monday",0.0163194918286012
2014-06-09,50,50.04,49.32,49.5,1534880,"Monday",-0.0092500156827322
2014-06-16,47.14,47.47,46.43,46.7,1756012,"Monday",-0.0184581457693387
2014-06-23,47.44,47.72,46.32,46.91,1390258,"Monday",-0.0127093428584635
2014-06-30,47.7,48.08,47.31,47.52,1718208,"Monday",-0.00357105725574325
2014-07-07,48.43,48.7,47.21,47.32,1416990,"Monday",-0.0225667746123999
2014-07-14,49.8,49.99,49.34,49.75,841822,"Monday",0.00827535250339118
2014-07-21,48.61,48.61,48.14,48.35,964138,"Monday",-0.00782863495611119
2014-07-28,46.32,46.32,45.38,45.68,1889442,"Monday",-0.00196828931779569
2014-08-04,44.46,44.82,43.35,43.5,1402008,"Monday",-0.0216040238652755
