"Date","Open","High","Low","Close","Volume","DOW","log_returns"
2011-01-07,34.92,35,34.18,34.42,119006,"Friday",0.000581226404040791
2011-01-14,35.2,35.29,35,35.19,134650,"Friday",0.00113733307681985
2011-01-21,32.34,32.94,32.34,32.48,271942,"Friday",0.00741659765504954
2011-01-28,34.14,34.52,33.75,34.23,173426,"Friday",0.00468522086921874
2011-02-04,35.5,35.97,35.38,35.56,142300,"Friday",0.00168871416433403
2011-02-11,36.14,36.48,35.8,36.4,143604,"Friday",0.00855295598799799
2011-02-18,37.66,38.16,37.38,37.68,323094,"Friday",0.00372241854979949
2011-02-25,38.17,38.36,37.75,38.2,201472,"Friday",0.0158314652166807
2011-03-04,38.93,38.98,38.51,38.58,121854,"Friday",-0.00103626952278502
2011-03-11,35.53,37.02,35.32,36.64,211106,"Friday",0.0159563220307586
2011-03-18,41.93,42.05,39.3,39.84,496812,"Friday",-0.0174177083074563
2011-03-25,40.95,41.5,40.94,41.04,116758,"Friday",0.00243962062937086
2011-04-01,41.05,41.22,40.55,40.84,150722,"Friday",0.0029426210541974
2011-04-08,40.68,40.9,40.3,40.54,63426,"Friday",0.000740283809254727
2011-04-15,37.43,37.7,36.65,37.62,714164,"Friday",0.0050633019565467
2011-04-29,40.24,41.2,39.86,41.18,322232,"Friday",0.0366015139064984
2011-05-06,36.74,37.12,36.35,36.5,282324,"Friday",0.0107424252990795
2011-05-13,35.78,35.8,34.56,34.9,227318,"Friday",-0.0136598595232575
2011-05-20,36.18,36.42,35.62,36.2,180226,"Friday",0.00221239028294118
2011-05-27,36.32,36.75,36.13,36.38,128058,"Friday",0.00357979178929257
2011-06-03,34.78,35.46,34.6,34.8,175854,"Friday",-0.00943807949730724
2011-06-10,34.94,34.97,34.2,34.54,153880,"Friday",-0.00404507919380848
2011-06-17,35.66,35.97,34.63,34.89,250296,"Friday",-0.0054309123052998
2011-06-24,37,37.33,36.66,37.32,116648,"Friday",0.0153911503202973
2011-07-01,38.83,38.92,38.1,38.86,107416,"Friday",0.00360918154091783
2011-07-08,39.22,39.7,38.88,39.48,141824,"Friday",-0.00606062461169099
2011-07-15,38.08,38.23,37.59,37.76,183558,"Friday",-0.00580936410683996
2011-07-22,39.51,39.77,39.25,39.72,161700,"Friday",0.00606062461169099
2011-07-29,37.57,38.83,37.26,38.4,148140,"Friday",0.0112610853499699
2011-08-05,35.7,36.27,32.91,34.67,585938,"Friday",-0.0289957778051368
2011-08-12,36.5,36.5,35.25,35.44,178822,"Friday",0.00169443700524097
2011-08-19,35.06,36.37,33.95,34.18,295158,"Friday",-0.0426693216833556
2011-08-26,33.99,34.98,33.66,34.79,83060,"Friday",0.0200326048743795
2011-09-02,36,36.52,35.3,36.48,192062,"Friday",-0.00601258985439435
2011-09-09,35.62,36.2,35.1,35.4,57728,"Friday",-0.0179176126004084
2011-09-16,35.77,36.08,34.84,35.15,203860,"Friday",-0.0197189487889555
2011-09-23,34.01,34.32,33.21,33.7,143752,"Friday",-0.00827427888546994
2011-09-30,32.84,33.36,32.5,32.78,85710,"Friday",-0.00304599687229556
2011-10-07,33.23,33.34,32.34,32.66,208546,"Friday",-0.00823300884595435
2011-10-14,35,35.86,34.99,35.74,77048,"Friday",0.0209224482418686
2011-10-21,35.52,35.6,34.78,35.29,95834,"Friday",0.0134077033471356
2011-10-28,36.5,37.99,36.13,37.96,262446,"Friday",0.0447152324709221
2011-11-04,36.63,37.46,35.95,37.4,62456,"Friday",0.011563931471946
2011-11-11,37,37.25,36.53,36.67,60528,"Friday",-0.00625256896324711
2011-11-18,36.43,36.44,35.73,35.95,83024,"Friday",-0.00471764438172873
2011-11-25,34.92,35.17,34.34,34.34,32450,"Friday",-0.0110050343228201
2011-12-02,36.4,37.14,36.36,37.08,116878,"Friday",0.0201586777296292
2011-12-09,36.02,36.39,35.83,36.12,71108,"Friday",0.00221729580864727
2011-12-16,36.35,37.4,36.35,36.65,131978,"Friday",0.0106982230059556
2011-12-23,38.02,38.42,37.48,38.19,104368,"Friday",0.00973563800711297
2011-12-30,38.25,38.38,37.76,37.79,125922,"Friday",-0.0162733249964155
2012-01-06,41.09,41.9,40.26,41.1,336286,"Friday",0.000243338606870758
2012-01-13,39,39.22,38.58,38.97,104630,"Friday",-0.0104659538603618
2012-01-20,39,39.25,38.86,39.2,108410,"Friday",0.00614126802208226
2012-01-27,38.78,39.7,38.78,39.12,107284,"Friday",0.00102301799203497
2012-02-03,39.26,39.45,38.68,38.74,110416,"Friday",-0.0163854152321297
2012-02-10,36.92,37.1,36.38,36.53,144922,"Friday",-0.0165607151173686
2012-02-17,36.45,36.53,35.16,35.42,343810,"Friday",-0.0270173792693811
2012-02-24,34.5,35.68,34.18,35.48,244336,"Friday",0.0274302912261515
2012-03-02,36.28,36.69,35.81,35.86,158294,"Friday",-0.0154956061224754
2012-03-09,35.34,35.48,35.14,35.37,87672,"Friday",0.000848536325838811
2012-03-16,33.76,33.77,32.58,33.34,556994,"Friday",-0.0166571370637563
2012-03-23,33.53,33.96,33.36,33.36,111072,"Friday",0
2012-03-30,29.96,30.44,28.34,30.05,1012180,"Friday",-0.0161746388092698
2012-04-13,29.2,29.5,28.37,28.71,492804,"Friday",-0.0155524130074847
2012-04-20,30.98,30.98,30.12,30.24,277364,"Friday",-0.022237672407889
2012-04-27,31.04,31.72,31.04,31.66,193510,"Friday",0.0155979606736207
2012-05-04,31.16,31.16,30.26,30.82,195496,"Friday",-0.0192808029355054
2012-05-11,29.71,30.04,29.02,29.19,221828,"Friday",-0.0190029471256152
2012-05-18,29.55,29.63,28.28,28.34,222450,"Friday",-0.0374004809107573
2012-05-25,29.55,29.76,29.15,29.5,111872,"Friday",0.00305551077987065
2012-06-01,28.26,28.34,27.59,28.23,224362,"Friday",-0.00951884500920697
2012-06-08,29.24,29.66,29,29.39,128762,"Friday",0.0030669644078043
2012-06-15,27.36,27.75,27.23,27.44,298362,"Friday",-0.00545158537151025
2012-06-22,27.06,27.93,27,27.69,181356,"Friday",0.017854363880919
2012-06-29,27.98,28.38,27.88,28.06,117652,"Friday",0.0143577484377024
2012-07-06,29.99,30.56,29.75,30.05,310618,"Friday",0.00266577965264503
2012-07-13,29.98,30.24,29.5,30.02,98252,"Friday",0.000999833444398135
2012-07-20,29.35,29.56,28.8,28.84,146990,"Friday",-0.0171884602980872
2012-07-27,29,29.74,28.94,29.41,151280,"Friday",0.0307291570198083
2012-08-03,30.52,30.78,30.17,30.19,194056,"Friday",-0.025185305002779
2012-08-10,31.5,32.66,31.5,32.5,270908,"Friday",0.0306178243460136
2012-08-17,32.9,33.02,32.45,32.61,189602,"Friday",-0.00885366797009812
2012-08-24,32.95,33.02,32.28,32.4,83668,"Friday",-0.020770447357207
2012-08-31,30.99,31.25,30.58,30.96,61992,"Friday",-0.00129115576361993
2012-09-07,29.92,30.2,29.84,30.07,142920,"Friday",0.00500084389416111
2012-09-14,30.44,31.76,30.44,31.3,231480,"Friday",0.0295044906174056
2012-09-21,31.99,31.99,31.72,31.75,263738,"Friday",-0.00377240309054416
2012-09-28,29.9,30.16,29.68,29.98,151310,"Friday",-0.00731143170637205
2012-10-05,30.14,30.7,30.13,30.69,140524,"Friday",0.0197439779896911
2012-10-12,31.5,31.8,31.1,31.66,168156,"Friday",0.00760942162539102
2012-10-19,31.96,32.14,31.45,31.61,131812,"Friday",-0.0153825039084441
2012-10-26,31.49,32.69,31.49,32.47,165666,"Friday",0.0255784375245693
2012-11-02,32.96,32.98,32.05,32.14,152222,"Friday",-0.0270120781826155
2012-11-09,29.68,30.14,28.98,29.14,199602,"Friday",-0.0294188586852169
2012-11-16,26.42,28.04,26.4,27.86,327296,"Friday",0.0489158002020114
2012-11-23,28.5,28.62,28.2,28.58,83338,"Friday",-0.00174794660830235
2012-11-30,27.94,28.68,27.94,28.44,216040,"Friday",0.0120270285953401
2012-12-07,28.12,28.12,27.45,27.78,246832,"Friday",-0.0107412418314126
2012-12-14,27.18,27.71,27.13,27.31,167546,"Friday",-0.00255988437468924
2012-12-21,28.59,29.32,28.39,29.03,258046,"Friday",0.00448818291815201
2012-12-28,29.44,29.44,28.68,28.76,149474,"Friday",-0.00968865710374933
2013-01-04,30.66,30.77,30.08,30.66,154660,"Friday",-0.00195503483580328
2013-01-11,31.75,32.2,31.45,32.12,180114,"Friday",0.00687287928776215
2013-01-18,32.45,32.6,32.24,32.6,96700,"Friday",0.00368777307918489
2013-01-25,32.2,32.38,31.5,32,153384,"Friday",-0.00312012733624378
2013-02-01,32,32.06,31.75,31.95,212358,"Friday",-0.00156372197618282
2013-02-08,31.75,31.75,31.5,31.6,100058,"Friday",0
2013-02-15,31.52,31.54,31,31.28,117350,"Friday",-0.00764334931256805
2013-02-22,30.5,31.14,30.18,30.76,150728,"Friday",0.0098007971704277
2013-03-01,31.19,31.59,30.56,31.4,164016,"Friday",0.0115311975991896
2013-03-08,31.84,31.84,31.08,31.19,177068,"Friday",-0.0111590509151802
2013-03-15,31.5,32,31.28,31.96,229886,"Friday",0.0183143735931877
2013-03-22,31.63,32,31.46,31.78,156436,"Friday",0.00441501820911672
2013-04-05,31.55,32,31.42,32,105780,"Friday",0.00250313021811843
2013-04-12,32.7,33.1,32.5,33.02,73884,"Friday",0
2013-04-19,33.19,33.2,32.93,33,82698,"Friday",-0.00272356046704081
2013-04-26,33.62,34.61,33.62,34.3,263298,"Friday",0.022704793693757
2013-05-03,37.25,37.44,36.81,36.9,289256,"Friday",-0.00405680069561409
2013-05-10,36.16,37.25,35.8,36.48,245378,"Friday",0.0154699217721315
2013-05-17,37.37,37.68,37,37.26,131248,"Friday",0.00646205802809074
2013-05-24,37.68,38.11,36.88,38.07,123240,"Friday",0.00817622911710636
2013-05-31,36.4,36.55,35.51,36.14,159300,"Friday",-0.00854117329058512
2013-06-07,35.8,36.49,35.68,35.84,112788,"Friday",0.00195503483580328
2013-06-14,34.65,35.46,34.65,35.28,106532,"Friday",0.016864770156932
2013-06-21,35.25,35.82,34.74,34.9,193482,"Friday",-0.00713778904829221
2013-06-28,34.98,35.88,34.6,35.32,137248,"Friday",0.0136832237514568
2013-07-05,35.91,36.48,35.28,35.76,55132,"Friday",-0.00307134123887787
2013-07-12,35.13,36.82,35,36.52,154224,"Friday",-0.00980934296162506
2013-07-19,36.43,36.6,36.12,36.28,73496,"Friday",-0.00385144905252588
2013-07-26,37.4,38,36.78,38,167192,"Friday",0.0161828707373632
2013-08-02,37.84,37.84,36.8,37.41,169608,"Friday",-0.00373532985008884
2013-08-09,37.22,38.24,37.08,38.19,157978,"Friday",0.031115394092073
2013-08-16,37.42,37.79,36.78,37.52,172700,"Friday",0.0026688032920803
2013-08-23,39.02,39.45,38.88,39.12,78036,"Friday",0.00255950997165133
2013-08-30,38.32,38.46,37.44,37.64,82628,"Friday",-0.0194691758623753
2013-09-06,38.1,38.18,37.9,38.01,64166,"Friday",0.000263123274771626
2013-09-13,38.5,38.55,37.5,37.64,67488,"Friday",-0.0173825814694215
2013-09-20,38.92,38.98,38.45,38.5,176918,"Friday",-0.0111069203286256
2013-09-27,38.18,38.82,37.23,37.36,132550,"Friday",-0.0274568462330391
2013-10-04,38.25,38.25,37.84,37.92,79630,"Friday",-0.00526040139917994
2013-10-11,37.14,38,37.14,38,40610,"Friday",0.0180567837472427
2013-10-18,37.98,38.28,37.38,37.7,156536,"Friday",0
2013-10-25,38.44,38.48,38.12,38.12,120838,"Friday",-0.00705793022670509
2013-11-01,38.17,39,37.98,38.68,139120,"Friday",0.0187896968433665
2013-11-08,37.85,37.85,37.03,37.43,156348,"Friday",-0.0137969819253017
2013-11-15,37.5,37.54,37.32,37.49,134124,"Friday",0.00106752078459227
2013-11-22,36,36.77,35.55,36.5,139854,"Friday",0.011573565394023
2013-11-29,36.5,36.64,36.39,36.64,40896,"Friday",0.00355434413838429
2013-12-06,37.9,38.08,37.64,37.78,72028,"Friday",0.00265041236520158
2013-12-13,37.52,37.74,37.08,37.68,78006,"Friday",0.0104042555174328
2013-12-20,37.32,38,36.66,38,231358,"Friday",0.0153808388804419
2013-12-27,38.5,38.5,38.07,38.36,112986,"Friday",0.00627617122923629
2014-01-03,38.66,38.66,37.76,38.15,154502,"Friday",-0.00653170186321494
2014-01-10,38.58,38.58,37.56,37.65,252040,"Friday",-0.0244010532316805
2014-01-17,38.74,38.74,38.2,38.4,67332,"Friday",-0.00648931543975007
2014-01-24,38.44,38.52,38,38.52,136518,"Friday",0.00416233691468726
2014-01-31,40.7,41.65,40.2,41.2,208878,"Friday",0.00511012183923443
2014-02-07,40.86,40.86,40.22,40.34,117142,"Friday",-0.0059318018716028
2014-02-14,41.42,41.42,40.39,40.64,104718,"Friday",-0.00686613781319956
2014-02-21,41,41.04,40.65,40.92,132842,"Friday",0.000488878034670126
2014-02-28,42.32,43.38,42.16,43.08,181972,"Friday",0.0102660724305985
2014-03-07,42.43,42.68,42,42.61,114214,"Friday",0.00588444677861499
2014-03-14,40.68,40.99,40.18,40.54,107664,"Friday",-0.0034474301565055
2014-03-21,40.87,41.15,40.58,41.02,166504,"Friday",0.00979919649199612
2014-03-28,41.54,41.66,41.01,41.4,124478,"Friday",0
2014-04-04,42.7,42.96,42.18,42.42,147948,"Friday",-0.00423430413878867
2014-04-11,41.4,42.45,41.4,42.02,78516,"Friday",0.00908445167008631
2014-04-25,43.65,43.74,43.02,43.3,137458,"Friday",-0.00552742079795721
2014-05-02,47.42,47.49,46.65,46.94,187568,"Friday",-0.0042517070851078
2014-05-09,46.33,46.42,45.89,46.3,105322,"Friday",-0.00172637073519732
2014-05-16,46.31,46.56,45.78,46,87894,"Friday",-0.00130349790344431
2014-05-23,45.78,46.05,44.88,45.14,150388,"Friday",-0.0136415756821529
2014-05-30,45.32,45.83,44.88,45.48,167138,"Friday",0.00308302380295222
2014-06-06,44.24,44.24,43.78,44.16,133998,"Friday",0.000226474918870956
2014-06-13,43.57,43.72,43.27,43.68,114790,"Friday",0.00481928643594864
2014-06-20,45,45.25,44.61,45.13,258100,"Friday",0.00133037713635309
2014-06-27,46.6,47.3,46.27,47.23,154342,"Friday",0.0172988830617347
2014-07-11,44.89,45.09,44.6,44.77,96206,"Friday",0.00178850930751429
2014-07-18,46.33,46.64,46.13,46.49,71111,"Friday",-0.00171932129179275
2014-07-25,49,49,48.54,48.65,570917,"Friday",-0.00287356519573168
2014-08-01,49.86,50.22,48.82,49.54,184135,"Friday",-0.0134337859854003
2014-08-08,47.6,47.86,46.88,47.05,177347,"Friday",-0.00972934916744173
2014-08-15,48.46,48.81,47.69,48.11,115883,"Friday",0.00458334135684435
2014-08-22,48.64,48.64,47.91,48.34,103137,"Friday",-0.00844582216851908
2014-08-29,49.38,49.91,48.91,49.76,82521,"Friday",0.00624939036220296
2014-09-05,49.22,49.22,48.26,48.53,131122,"Friday",-0.0126946831760506
2014-09-12,49.4,49.49,48.8,49.09,76647,"Friday",-0.00426873297868324
2014-09-19,47.68,47.84,47.3,47.59,196565,"Friday",-0.00649284928385052
2014-09-26,43.06,44.37,42.54,44.27,155211,"Friday",0.0253931063541155
2014-10-03,43.63,44.2,43.48,43.79,116838,"Friday",0.00297312969150942
2014-10-10,41.55,42.24,38.85,42.1,362688,"Friday",0.00978644879563006
2014-10-17,45.15,45.15,41.35,42.25,395830,"Friday",-0.0348872590004405
2014-10-24,44.51,44.88,44.35,44.73,148436,"Friday",0.0107890459908182
2014-10-31,47.24,48.3,46.06,48.09,264408,"Friday",0.0370687362853408
2014-11-07,47.25,47.75,46.66,47.56,151473,"Friday",0.00993140756711774
2014-11-14,47.41,48.23,46.99,48.09,235062,"Friday",0.0220759516991995
2014-11-21,47.02,48.38,46.67,48.2,360447,"Friday",0.0329004790143177
2014-11-28,47.21,47.61,45.82,46.06,86678,"Friday",-0.0381262235064241
2014-12-05,44.98,44.98,44,44.37,163709,"Friday",-0.0136543811403516
2014-12-12,42.84,43.09,41.09,41.81,365024,"Friday",-0.0387054294598097
2014-12-19,41.69,42.34,41.25,42.24,420128,"Friday",0.0119077377489516
2014-12-26,42.5,42.93,42.12,42.3,79753,"Friday",-0.000708968480600092
2015-01-02,43.43,43.65,42.66,43.18,174097,"Friday",0.00301519421292173
2015-01-09,41.8,42.23,40.17,40.45,201663,"Friday",-0.0316328077923638
2015-01-16,38.72,39.69,38.18,39.37,154365,"Friday",0.0148416235037705
2015-01-23,40.22,40.38,39.7,39.98,258117,"Friday",-0.00623365688944322
2015-01-30,39.05,40.48,39.01,39.79,243798,"Friday",0.0136641802104198
2015-02-06,36.46,36.96,35.79,36.44,411761,"Friday",-0.0203728355452211
2015-02-13,37.89,39.35,37.61,39.29,176787,"Friday",0.04796332360714
2015-02-20,40.57,40.68,39.77,40.41,169207,"Friday",0.00148588437442454
2015-02-27,39.09,39.88,39.05,39.55,205002,"Friday",0.00761424998524562
2015-03-06,37.31,38.36,37.15,37.22,187852,"Friday",-0.0125485560649392
2015-03-13,36.05,36.24,34.6,35.27,353241,"Friday",-0.0215966884921763
2015-03-20,34.5,34.69,34.1,34.18,542409,"Friday",-0.0142340820094873
2015-03-27,32.77,32.77,31.78,32.04,299481,"Friday",-0.0252709904089632
2015-04-10,32.93,33.82,32.66,33.75,229672,"Friday",0.0221698714534373
2015-04-17,33.24,33.52,32.47,32.75,324010,"Friday",-0.0229409396679583
2015-04-24,32.8,33.48,32.25,32.47,341600,"Friday",-0.0152814709688851
2015-05-01,34.4,34.68,33.78,34.2,375461,"Friday",-0.0078637364602141
2015-05-08,31.87,32.27,31.15,31.37,323921,"Friday",-0.0104646586806481
2015-05-15,32.7,32.71,31.9,32.62,140855,"Friday",0.0135804556286305
2015-05-22,31.15,31.36,30.65,30.68,212861,"Friday",-0.0152032687344068
2015-05-29,29.65,30.32,29.07,29.99,222308,"Friday",0.00837105172890862
2015-06-05,29.55,29.55,28.9,29.41,218932,"Friday",0
2015-06-12,26.63,27.12,26.37,26.44,264669,"Friday",-0.0213291528210386
2015-06-19,25.26,25.67,24.75,25.06,658012,"Friday",-0.0209287007037755
2015-06-26,24.09,24.7,23.67,24.38,406416,"Friday",0.00452210431461531
2015-07-10,24.48,24.83,24.3,24.69,327800,"Friday",0.00527920007814631
2015-07-17,24.69,24.87,23.92,24.4,479601,"Friday",-0.0206861969749328
2015-07-24,23.11,23.29,22.76,23.22,210257,"Friday",-0.00472610976359311
2015-07-31,25,25.19,24.56,24.62,248981,"Friday",-0.0169154254755903
2015-08-07,23.82,24.06,23.34,23.53,319039,"Friday",-0.00508691219867075
2015-08-14,24.99,24.99,24.25,24.81,324791,"Friday",0.0105349434631803
2015-08-21,24.78,24.97,24.51,24.62,205725,"Friday",-0.00929863178633017
2015-08-28,24.68,25.96,24.65,25.32,471300,"Friday",0.0272234586106568
2015-09-04,24.66,25.27,24.61,25.13,114324,"Friday",0.00318852402462699
2015-09-11,24.75,24.94,24.47,24.58,243324,"Friday",-0.0113269819446762
2015-09-18,24.89,25.03,24.41,24.86,412708,"Friday",0.00564745349307527
2015-09-25,23.9,24.1,23.26,23.6,250143,"Friday",-0.011375728319174
2015-10-02,21.2,21.96,21.08,21.86,277218,"Friday",0.0152111713721208
2015-10-09,24.28,24.28,23.54,23.62,184794,"Friday",-0.0205328814238634
2015-10-16,22.7,22.94,22.3,22.4,206698,"Friday",-0.0146246790034579
2015-10-23,21.99,22.1,21.55,22.03,259557,"Friday",0.0082042392726529
2015-10-30,21.3,21.6,21.01,21.44,202741,"Friday",0.0079607069904557
2015-11-06,21.26,21.54,20.69,20.77,189550,"Friday",-0.0336126317526428
2015-11-13,18.29,19.01,17.95,18.9,263873,"Friday",0.0421456214507634
2015-11-20,18.3,18.35,17.66,18,311489,"Friday",-0.014341117270658
2015-11-27,17.5,18,17.5,17.93,61903,"Friday",0.019144728867575
2015-12-04,16.33,16.76,16.16,16.29,332217,"Friday",-0.00489896876908968
2015-12-11,14.45,14.51,13.58,13.73,509822,"Friday",-0.0614383089344113
2015-12-18,12.4,13.03,12.15,12.25,960303,"Friday",-0.00488600320562593
