"Date","Open","High","Low","Close","Volume","DOW","log_returns"
2011-01-10,34.96,34.97,34.36,34.62,171738,"Monday",0.00579375896466949
2011-01-24,32.83,34.06,32.74,34.02,245328,"Monday",0.0463240716742388
2011-01-31,35,36.04,34.38,35.12,493212,"Monday",0.0256683162248219
2011-02-07,35.92,36.03,35.26,35.38,203756,"Monday",-0.00507472191406499
2011-02-14,36.5,38.04,36.34,37.8,289224,"Monday",0.037740327982847
2011-02-28,38.5,38.95,38.22,38.62,182088,"Monday",0.0109347613878388
2011-03-07,38.9,38.9,38.51,38.58,178464,"Monday",0
2011-03-14,37,38.2,36.65,38.17,210278,"Monday",0.0409093269512089
2011-03-21,41.84,42,41.06,41.4,259306,"Monday",0.0384094481148711
2011-03-28,41.5,41.87,41.06,41.62,164258,"Monday",0.0140336201029743
2011-04-04,40.84,41.37,40.46,41.32,235620,"Monday",0.0116846509549733
2011-04-11,40.5,40.72,39.22,39.48,277722,"Monday",-0.026494926458573
2011-04-18,36.98,37.34,36.25,37.04,285726,"Monday",-0.0155374140949056
2011-04-25,37.92,38.24,37.32,37.48,203778,"Monday",-0.0200746308129793
2011-05-02,41.28,41.38,40.25,40.29,268694,"Monday",-0.0218494023963873
2011-05-09,36.08,37.7,36,37.7,257432,"Monday",0.032347833865519
2011-05-16,34.64,35.56,34.53,34.54,265242,"Monday",-0.0103687564898491
2011-05-23,35.72,35.9,35,35.26,414270,"Monday",-0.0263099418620016
2011-06-06,34.76,35.4,34.54,34.54,210230,"Monday",-0.00749931406189619
2011-06-13,35.34,35.7,34.44,34.68,252932,"Monday",0.00404507919380848
2011-06-20,35.13,35.47,34.67,35.42,192190,"Monday",0.0150763771560047
2011-06-27,37.32,37.74,36.78,37.2,155898,"Monday",-0.00322061470004176
2011-07-11,39.14,39.44,37.8,38.5,226906,"Monday",-0.0251359732715422
2011-07-18,38.25,38.96,37.76,38.58,163844,"Monday",0.0214836662002833
2011-07-25,39.1,39.69,39.09,39.2,137418,"Monday",-0.0131780923805551
2011-08-01,39.26,40.34,37.48,38.24,422064,"Monday",-0.00417537141048019
2011-08-08,33.08,33.58,30.5,31.48,637208,"Monday",-0.0965223361477294
2011-08-15,35.46,36.83,35.45,36.38,149458,"Monday",0.0261780473530964
2011-08-22,34.18,34.74,33,33.12,236806,"Monday",-0.0315033481703857
2011-08-29,35.04,36.37,34.94,36.18,154088,"Monday",0.0391764908032983
2011-09-12,35.36,35.97,35.02,35.86,120580,"Monday",0.0129106480372578
2011-09-19,34.88,35.93,34.53,35.92,110812,"Monday",0.0216696251773252
2011-09-26,33.72,33.99,33,33.98,152104,"Monday",0.00827427888546994
2011-10-03,32.01,32.76,30.74,32.02,288724,"Monday",-0.0234578657471149
2011-10-10,32.81,33.49,32.7,33.28,147600,"Monday",0.0188055284106889
2011-10-17,35.47,35.76,34.3,34.6,121082,"Monday",-0.0324168276676033
2011-10-24,35.29,36.09,35.29,35.8,106572,"Monday",0.0143482557194758
2011-10-31,37.92,38.34,37.37,37.96,163168,"Monday",0
2011-11-07,36.7,37.62,36.5,36.83,96236,"Monday",-0.0153579739635124
2011-11-14,37.06,37.25,36.75,37.12,99264,"Monday",0.0121969258347652
2011-11-21,35.56,35.56,34.28,35.38,146998,"Monday",-0.0159823954354166
2011-11-28,34.8,35.68,34.5,35.38,128406,"Monday",0.0298358332623097
2011-12-05,37.24,37.25,36.62,36.63,76242,"Monday",-0.0122101639069312
2011-12-12,36.12,36.12,35.5,35.64,84740,"Monday",-0.0133781259461756
2011-12-19,37,37.42,36.25,36.75,145140,"Monday",0.00272479732618525
2012-01-09,41.34,41.34,40,40.39,170112,"Monday",-0.0174258919268677
2012-01-23,39.57,39.93,39.28,39.54,109752,"Monday",0.00863607094605401
2012-01-30,39.12,39.32,38.75,39.09,112908,"Monday",-0.000767165361753364
2012-02-06,38.6,39,38.38,38.89,96646,"Monday",0.00386449018880608
2012-02-13,36.74,36.9,36.25,36.5,189766,"Monday",-0.000821580218745233
2012-02-27,35.47,35.9,35.26,35.75,174696,"Monday",0.00758111169863795
2012-03-05,35.74,35.82,35.43,35.48,206740,"Monday",-0.0106533107356079
