"Date","Open","High","Low","Close","Volume","DOW","log_returns"
2011-01-07,14.54,14.68,13.98,14.25,392328622,"Friday",-0.0132452267500205
2011-01-14,14.74,15.31,14.68,15.25,282493775,"Friday",0.0319814065101323
2011-01-21,14.41,14.71,14.22,14.25,291812578,"Friday",-0.0201465653907138
2011-01-28,13.83,14.06,13.58,13.6,226452444,"Friday",-0.0051338579938518
2011-02-04,14.43,14.47,14.11,14.29,141015157,"Friday",-0.00974938084400323
2011-02-11,14.37,14.87,14.35,14.77,156195945,"Friday",0.0191393402106974
2011-02-18,14.84,14.89,14.67,14.75,98368937,"Friday",-0.00405954549387832
2011-02-25,14.16,14.32,14.12,14.2,126872985,"Friday",0.0163297913383444
2011-03-04,14.3,14.31,13.98,14.12,146239668,"Friday",-0.0105671994236491
2011-03-11,14.11,14.43,14.1,14.38,111594336,"Friday",0.00837993730675057
2011-03-18,14.2,14.29,13.98,14.04,199257454,"Friday",0.00428266179200065
2011-03-25,13.49,13.53,13.32,13.34,115332233,"Friday",-0.0104400649966832
2011-04-01,13.45,13.61,13.35,13.37,95052790,"Friday",0.00299625692323424
2011-04-08,13.63,13.72,13.45,13.48,87742979,"Friday",-0.0095977111792136
2011-04-15,13.22,13.33,12.82,12.82,266345803,"Friday",-0.0238932368221811
2011-04-29,12.39,12.42,12.28,12.28,87172763,"Friday",-0.0113361537863366
2011-05-06,12.41,12.45,12.28,12.31,111375674,"Friday",0.000812677817989993
2011-05-13,12.2,12.21,11.91,11.93,159070447,"Friday",-0.0223797156293863
2011-05-20,11.64,11.78,11.53,11.58,116017789,"Friday",-0.00945430333912789
2011-05-27,11.57,11.78,11.54,11.69,107370390,"Friday",0.0198710641973836
2011-06-03,11.2,11.45,11.16,11.28,115786634,"Friday",-0.000886132091657554
2011-06-10,10.62,11.03,10.41,10.8,210796231,"Friday",0.0139862419747399
2011-06-17,10.75,10.77,10.58,10.68,116777295,"Friday",0.00751883241402718
2011-06-24,10.73,10.77,10.48,10.52,122210128,"Friday",-0.0178996771500937
2011-07-01,10.98,11.14,10.92,11.09,137487688,"Friday",0.0117915198424061
2011-07-08,10.75,10.8,10.61,10.7,129603917,"Friday",-0.0203522288488989
2011-07-15,10.12,10.18,9.88,10,183415927,"Friday",-0.00697561373642497
2011-07-22,10.26,10.27,10.05,10.13,138456149,"Friday",-0.00982326170294323
2011-07-29,9.64,9.95,9.6,9.71,187926626,"Friday",-0.00820517423918554
2011-08-05,8.97,9.05,8.03,8.17,546781547,"Friday",-0.0776861057439575
2011-08-12,7.49,7.71,7.13,7.19,298997753,"Friday",-0.00831029713362796
2011-08-19,6.8,7.12,6.75,6.97,289217893,"Friday",-0.00572247627406619
2011-08-26,7.62,7.98,7.45,7.76,424194569,"Friday",0.0142766863566828
2011-09-02,7.31,7.45,7.17,7.25,305988590,"Friday",-0.0871263129129791
2011-09-09,7.11,7.21,6.96,6.98,255828795,"Friday",-0.0310321092477284
2011-09-16,7.38,7.39,7.08,7.23,240540328,"Friday",-0.0137364797278867
2011-09-23,6.09,6.39,6.07,6.31,503373996,"Friday",0.0404258764718988
2011-09-30,6.18,6.32,6.11,6.12,175455608,"Friday",-0.0368927163803654
2011-10-07,6.32,6.33,5.88,5.9,285598230,"Friday",-0.0624176295684336
2011-10-14,6.31,6.36,6.12,6.19,203564430,"Friday",-0.00483482005458313
2011-10-21,6.59,6.65,6.38,6.46,252586372,"Friday",-0.00154679071829866
2011-10-28,7.08,7.43,7.05,7.35,273167237,"Friday",0.0178453603200104
2011-11-04,6.73,6.75,6.45,6.49,266446252,"Friday",-0.0627071070635801
2011-11-11,6.12,6.29,6.12,6.21,210025813,"Friday",0.0294138852062933
2011-11-18,5.86,5.89,5.75,5.78,227038577,"Friday",-0.00345423486808749
2011-11-25,5.16,5.33,5.12,5.17,138425097,"Friday",0.00581960905326406
2011-12-02,5.67,5.88,5.61,5.64,283132826,"Friday",0.0196962499757241
2011-12-09,5.67,5.85,5.63,5.72,293654049,"Friday",0.0229895182246986
2011-12-16,5.31,5.42,5.16,5.2,227111217,"Friday",-0.0114724011622369
2011-12-23,5.54,5.63,5.47,5.6,190711941,"Friday",0.0234879813072137
2011-12-30,5.39,5.58,5.37,5.56,176440906,"Friday",0.0181493185056774
2012-01-06,6.21,6.3,6.06,6.18,299630504,"Friday",-0.0208174050835224
2012-01-13,6.49,6.69,6.41,6.61,337542988,"Friday",-0.0268672877070097
2012-01-20,6.95,7.08,6.83,7.07,236630627,"Friday",0.015681005562153
2012-01-27,7.21,7.35,7.2,7.29,230913969,"Friday",-0.0013708021337786
2012-02-03,7.66,7.89,7.63,7.84,364195664,"Friday",0.0510248019708479
2012-02-10,8.05,8.12,7.98,8.07,254420725,"Friday",-0.0135386683327985
2012-02-17,8.04,8.08,7.92,8.02,355445546,"Friday",-0.00869030919197744
2012-02-24,8.05,8.09,7.88,7.88,163128158,"Friday",-0.017610518008635
2012-03-02,8.11,8.21,8.1,8.13,143887406,"Friday",0.00123076938613265
2012-03-09,8.12,8.19,8.01,8.05,195281368,"Friday",-0.00124146508806477
2012-03-16,9.41,9.8,9.33,9.8,582315650,"Friday",0.0588405000229337
2012-03-23,9.47,9.95,9.4,9.85,283701718,"Friday",0.025708356710207
2012-03-30,9.61,9.64,9.35,9.57,250234655,"Friday",0.00418848779875214
2012-04-13,9.08,9.08,8.68,8.68,282354506,"Friday",-0.0549157575961146
2012-04-20,8.78,8.78,8.33,8.36,277965234,"Friday",-0.0478783792874813
2012-04-27,8.34,8.34,8.19,8.25,107556141,"Friday",-0.00242130868901036
2012-05-04,7.9,7.92,7.7,7.74,194857160,"Friday",-0.0330398540781998
2012-05-11,7.48,7.77,7.41,7.55,245533515,"Friday",-0.0196727655987048
2012-05-18,7.01,7.03,6.89,7.02,224224145,"Friday",0.00571430126343841
2012-05-25,7.07,7.25,7.07,7.15,108661149,"Friday",0.00139958035442334
2012-06-01,7.12,7.19,6.94,7.02,240861972,"Friday",-0.0459370951870255
2012-06-08,7.35,7.58,7.2,7.56,234557612,"Friday",0.0186921330121526
2012-06-15,7.72,7.9,7.55,7.9,211752092,"Friday",0.0308507757204759
2012-06-22,7.96,8.01,7.79,7.94,142498302,"Friday",0.0152287207018245
2012-06-29,8,8.2,7.95,8.18,258770011,"Friday",0.0552904630130198
2012-07-06,7.69,7.8,7.65,7.66,116595171,"Friday",-0.0206725708047197
2012-07-13,7.56,7.83,7.55,7.82,177154559,"Friday",0.0444517625708341
2012-07-20,7.2,7.21,7.06,7.07,160517237,"Friday",-0.0265193489282234
2012-07-27,7.2,7.4,7.14,7.31,146212513,"Friday",0.0193376191501582
2012-08-03,7.3,7.49,7.27,7.43,130250730,"Friday",0.034226475669535
2012-08-10,7.66,7.76,7.63,7.74,50443703,"Friday",0.00258732356495139
2012-08-17,7.97,8.12,7.94,8,138307687,"Friday",0.00878850603307901
2012-08-24,8.12,8.21,8.03,8.16,88822168,"Friday",0.00122624172324404
2012-08-31,8,8.02,7.88,7.99,91775594,"Friday",0.0100629779986208
2012-09-07,8.46,8.8,8.45,8.8,232842961,"Friday",0.0524901826213968
