"Date","Open","High","Low","Close","Volume","DOW","log_returns"
2011-01-10,14.17,14.43,14.09,14.4,185382517,"Monday",0.0104712998672953
2011-01-24,14.25,14.26,13.88,13.92,225424630,"Monday",-0.023430251808386
2011-01-31,13.71,13.79,13.64,13.73,118000791,"Monday",0.00951342703787317
2011-02-07,14.51,14.77,14.43,14.67,149423470,"Monday",0.0262446002131145
2011-02-14,14.78,14.95,14.71,14.89,112574112,"Monday",0.0080917501526292
2011-02-28,14.27,14.48,14.16,14.29,137039110,"Monday",0.0063180273345611
2011-03-07,14.18,14.27,13.92,14.03,139041926,"Monday",-0.0063943379507263
2011-03-14,14.26,14.35,14.07,14.23,112180235,"Monday",-0.0104859401911397
2011-03-21,14.2,14.22,13.9,14.05,114396968,"Monday",0.000711997182090141
2011-03-28,13.42,13.56,13.37,13.37,78642394,"Monday",0.00224635062637368
2011-04-04,13.4,13.59,13.4,13.44,71139078,"Monday",0.00522194398115206
2011-04-11,13.5,13.59,13.43,13.49,63352850,"Monday",0.000741564735503353
2011-04-18,12.59,12.6,12.24,12.42,262174846,"Monday",-0.0316983749871911
2011-04-25,12.32,12.6,12.32,12.44,112414336,"Monday",0.0105051471146713
2011-05-02,12.36,12.47,12.28,12.34,89959571,"Monday",0.00487409575824538
2011-05-09,12.28,12.32,12.11,12.18,110684570,"Monday",-0.0106166779146113
2011-05-16,11.89,12.11,11.82,11.86,123751356,"Monday",-0.00588484254024513
2011-05-23,11.47,11.52,11.38,11.42,122145885,"Monday",-0.0139132679169851
2011-06-06,11.18,11.2,10.75,10.83,213289385,"Monday",-0.0407111850570137
2011-06-13,10.89,11.02,10.64,10.97,186095839,"Monday",0.0156181401569651
2011-06-20,10.59,10.66,10.53,10.6,88402480,"Monday",-0.00751883241402718
2011-06-27,10.52,10.95,10.52,10.85,202827568,"Monday",0.0308868726769047
2011-07-11,10.53,10.55,10.3,10.35,145323858,"Monday",-0.0332572217564824
2011-07-18,9.88,9.93,9.53,9.72,226934177,"Monday",-0.0283994745216982
2011-07-25,9.97,10.07,9.88,10.01,130582697,"Monday",-0.0119167249334629
2011-08-01,10.04,10.05,9.7,9.81,159616632,"Monday",0.0102459912740382
2011-08-08,7.4,7.7,6.31,6.51,238190111,"Monday",-0.227129452651433
2011-08-15,7.46,7.84,7.35,7.76,268370334,"Monday",0.0762911624621718
2011-08-22,7.2,7.22,6.42,6.42,398777750,"Monday",-0.0821971070705627
2011-08-29,8.1,8.41,7.96,8.39,363420458,"Monday",0.0780581862839878
2011-09-12,6.85,7.1,6.81,7.05,286856001,"Monday",0.00997870004989609
2011-09-19,7.06,7.07,6.94,6.99,199254661,"Monday",-0.0337584799249544
2011-09-26,6.48,6.6,6.31,6.6,228406326,"Monday",0.0449339724792579
2011-10-03,6.08,6.18,5.52,5.53,369335073,"Monday",-0.101374280989991
2011-10-10,6.14,6.29,6.12,6.28,225326525,"Monday",0.0624176295684336
2011-10-17,6.18,6.28,6.03,6.03,175512118,"Monday",-0.0261880759574107
2011-10-24,6.59,6.74,6.49,6.72,217032311,"Monday",0.0394588367405477
2011-10-31,7.09,7.16,6.82,6.83,252026898,"Monday",-0.0733756396420464
2011-11-07,6.44,6.59,6.3,6.45,192433488,"Monday",-0.00618239990831748
2011-11-14,6.16,6.19,6.02,6.05,225481650,"Monday",-0.0261026239026374
2011-11-21,5.66,5.68,5.48,5.49,269658276,"Monday",-0.0514754271628468
2011-11-28,5.5,5.53,5.14,5.25,345537873,"Monday",0.0153553880831947
2011-12-05,5.86,5.95,5.73,5.79,293977638,"Monday",0.0262482260749364
2011-12-12,5.59,5.6,5.4,5.45,191823962,"Monday",-0.0483531967165536
2011-12-19,5.2,5.22,4.92,4.98,344317658,"Monday",-0.04322873455082
2012-01-09,6.26,6.37,6.19,6.27,240614372,"Monday",0.0144580831752299
2012-01-23,7.13,7.37,7.11,7.25,339942182,"Monday",0.025140988958102
2012-01-30,7.13,7.15,7.02,7.07,231240009,"Monday",-0.0306430661120856
2012-02-06,7.78,7.97,7.77,7.97,236315966,"Monday",0.0164456584398076
2012-02-13,8.27,8.31,8.07,8.25,308490106,"Monday",0.0220597180647322
2012-02-27,7.79,8.05,7.67,8.04,298930800,"Monday",0.0201011793210868
2012-03-05,8.09,8.13,7.95,7.97,196328228,"Monday",-0.0198764307575954
2012-03-12,8.01,8.06,7.91,7.99,165298806,"Monday",-0.00748133165228904
2012-03-19,9.78,10.1,9.51,9.53,669479897,"Monday",-0.0279376680104155
2012-03-26,10.01,10.04,9.85,9.93,242089557,"Monday",0.00808902287308344
2012-04-02,9.54,9.78,9.41,9.68,179228981,"Monday",0.0114286958236227
2012-04-09,9.04,9.04,8.83,8.93,211427527,"Monday",-0.0330426536263531
2012-04-16,8.87,8.93,8.62,8.79,217284490,"Monday",0.0125931830248267
2012-04-23,8.02,8.3,7.95,8.18,256074000,"Monday",-0.0217662764819546
2012-04-30,8.22,8.24,8.04,8.11,137422222,"Monday",-0.0171153322192681
2012-05-07,7.71,8,7.66,7.96,167662525,"Monday",0.0280273122546557
2012-05-14,7.37,7.52,7.35,7.35,170716714,"Monday",-0.0268472500361883
2012-05-21,7.03,7.11,6.72,6.83,230602061,"Monday",-0.0274385444550209
2012-06-04,7.1,7.1,6.85,6.9,163822179,"Monday",-0.0172418064345059
2012-06-11,7.72,7.77,7.28,7.28,204590685,"Monday",-0.037740327982847
2012-06-18,7.77,7.91,7.73,7.76,140322616,"Monday",-0.0178804252778488
2012-06-25,7.74,7.74,7.56,7.6,151910923,"Monday",-0.0437650279667592
2012-07-02,8.2,8.21,7.87,8.05,152981039,"Monday",-0.0160200591841835
2012-07-09,7.63,7.7,7.53,7.56,87078298,"Monday",-0.0131407935610586
2012-07-16,7.92,7.96,7.77,7.81,109439858,"Monday",-0.00127959070562511
2012-07-23,6.94,7.15,6.9,7.09,168637998,"Monday",0.00282486063555476
