Date,Open,High,Low,Close,Volume
31-Dec-15,81.00,81.45,79.80,80.51,817475
30-Dec-15,82.77,82.77,81.30,81.44,599712
29-Dec-15,82.55,83.27,82.31,82.77,613967
28-Dec-15,82.13,82.87,81.03,82.42,606560
24-Dec-15,82.11,83.42,82.01,82.12,387174
23-Dec-15,81.60,82.72,80.35,82.16,907328
22-Dec-15,81.78,81.97,79.62,81.72,1399400
21-Dec-15,80.79,82.87,80.79,82.50,1129681
18-Dec-15,80.97,82.29,79.90,79.95,1417133
17-Dec-15,82.79,84.25,81.00,81.13,1050864
16-Dec-15,82.59,83.05,81.00,82.75,1095304
15-Dec-15,82.58,82.86,81.56,82.13,1197037
14-Dec-15,82.99,83.48,80.86,82.15,1192815
11-Dec-15,83.50,83.50,81.96,82.77,1539924
10-Dec-15,84.45,85.50,84.14,84.36,1182448
9-Dec-15,85.15,86.57,82.94,83.51,1578722
8-Dec-15,85.79,86.44,84.19,85.62,1650282
7-Dec-15,86.11,87.17,85.44,86.33,1782650
4-Dec-15,81.63,85.44,81.50,84.91,1906876
3-Dec-15,82.15,82.64,80.32,80.55,1366261
2-Dec-15,81.76,83.22,80.93,81.70,1218548
1-Dec-15,79.84,81.22,79.66,81.17,885289
30-Nov-15,79.77,80.37,79.03,79.73,1073655
27-Nov-15,79.81,80.61,79.02,79.76,451456
25-Nov-15,80.01,80.31,79.02,79.61,669647
24-Nov-15,79.32,79.91,77.50,79.60,1164599
23-Nov-15,81.95,82.21,80.29,80.41,1019634
20-Nov-15,79.59,81.94,79.49,81.86,1331623
19-Nov-15,78.52,79.57,78.43,79.23,822896
18-Nov-15,77.56,78.32,76.60,78.09,1069872
17-Nov-15,77.00,79.39,76.57,77.54,1540362
16-Nov-15,75.38,76.88,74.82,76.85,1281744
13-Nov-15,76.52,77.10,75.81,75.96,1042307
12-Nov-15,77.53,77.99,76.62,76.68,954993
11-Nov-15,78.89,78.96,77.47,77.57,690160
10-Nov-15,76.98,78.60,76.90,78.57,965247
9-Nov-15,78.07,78.12,76.79,77.31,1262155
6-Nov-15,77.96,79.00,77.37,78.08,699386
5-Nov-15,77.87,78.17,76.85,78.06,896158
4-Nov-15,77.68,77.87,76.71,77.41,1005001
3-Nov-15,77.80,77.81,75.94,77.68,1379004
2-Nov-15,76.54,77.68,76.45,77.13,858204
30-Oct-15,75.78,77.48,75.50,76.25,946908
29-Oct-15,75.17,76.58,74.74,75.77,916323
28-Oct-15,78.21,78.47,74.47,75.19,2019991
27-Oct-15,79.05,79.55,77.01,77.95,1364530
26-Oct-15,78.76,79.89,78.33,79.16,1373145
23-Oct-15,76.89,79.31,76.89,79.09,1687355
22-Oct-15,76.18,76.95,74.75,75.97,1473853
21-Oct-15,76.43,77.18,74.68,74.73,1715403
20-Oct-15,76.85,77.48,75.82,76.49,1269515
19-Oct-15,75.74,77.42,75.44,76.87,1401377
16-Oct-15,75.90,75.95,74.53,75.83,1657730
15-Oct-15,74.06,76.27,73.15,75.98,2057679
14-Oct-15,74.83,75.40,73.11,73.45,1813336
13-Oct-15,76.77,77.38,73.89,73.92,2436538
12-Oct-15,76.28,78.55,75.61,77.99,1649158
9-Oct-15,75.16,77.76,75.16,75.92,2184129
8-Oct-15,75.73,77.21,74.92,75.76,1414562
7-Oct-15,74.69,77.30,72.89,75.97,2895746
6-Oct-15,80.55,80.82,74.44,74.53,2873020
5-Oct-15,79.73,81.70,79.03,80.91,1406203
2-Oct-15,79.02,79.37,77.21,79.26,1207881
1-Oct-15,78.88,80.49,78.00,80.23,1230126
30-Sep-15,79.07,80.14,78.32,79.45,1537675
29-Sep-15,78.08,78.97,76.76,78.38,1082117
28-Sep-15,80.41,80.58,77.45,78.11,1580399
25-Sep-15,79.84,81.28,79.26,80.70,1116707
24-Sep-15,79.48,79.92,78.36,78.98,1183490
23-Sep-15,78.65,80.28,78.65,80.07,1103999
22-Sep-15,80.84,81.76,78.05,78.65,1439335
21-Sep-15,79.21,82.17,79.10,82.09,1951122
18-Sep-15,78.82,79.82,78.49,78.74,3711963
17-Sep-15,79.61,80.60,78.57,79.69,1294225
16-Sep-15,79.60,80.64,78.39,79.13,1431673
15-Sep-15,81.05,81.20,79.27,79.74,1589742
14-Sep-15,81.81,82.43,80.55,80.74,1400415
11-Sep-15,80.85,82.00,80.75,81.87,878934
10-Sep-15,82.09,82.78,80.99,81.29,1143730
9-Sep-15,82.00,82.43,80.57,81.77,1439324
8-Sep-15,79.95,81.31,79.66,81.24,1350915
4-Sep-15,77.16,79.85,77.04,78.58,1058148
3-Sep-15,79.00,80.00,77.81,78.07,1248158
2-Sep-15,76.09,78.84,75.62,78.83,1430638
1-Sep-15,73.65,75.41,73.65,74.80,1367033
31-Aug-15,75.89,76.82,74.61,74.86,1339136
28-Aug-15,76.20,76.85,75.28,75.81,1262111
27-Aug-15,77.17,77.69,74.87,76.24,1394899
26-Aug-15,76.08,76.67,73.13,76.32,1473079
25-Aug-15,75.87,77.88,74.31,74.55,1709960
24-Aug-15,70.03,75.80,58.92,73.10,2477108
21-Aug-15,77.65,79.09,76.13,76.14,1751925
20-Aug-15,80.04,80.56,78.70,79.01,1291363
19-Aug-15,80.75,82.00,80.50,80.99,1376376
18-Aug-15,81.56,82.15,80.27,81.51,1116606
17-Aug-15,79.61,81.75,79.10,81.51,1060386
14-Aug-15,78.58,79.82,78.58,79.60,527250
13-Aug-15,78.48,80.24,78.03,79.29,1076734
12-Aug-15,79.27,79.41,76.44,78.54,1304676
11-Aug-15,78.24,80.28,78.16,79.96,1257207
10-Aug-15,78.63,79.62,78.22,78.63,928567
7-Aug-15,77.60,78.37,77.02,77.99,668259
6-Aug-15,80.09,80.53,76.88,77.75,1062960
5-Aug-15,78.16,79.61,77.79,79.03,1438975
4-Aug-15,78.12,78.42,77.00,77.77,931052
3-Aug-15,76.14,78.32,76.01,78.02,1290483
31-Jul-15,75.36,75.87,74.41,75.75,1185973
30-Jul-15,74.40,75.28,73.89,75.16,869982
29-Jul-15,74.36,75.00,73.36,74.78,1310744
28-Jul-15,73.39,74.47,72.78,74.32,1540226
27-Jul-15,73.39,73.55,72.55,73.02,1227478
24-Jul-15,74.49,75.24,73.45,74.10,1551620
23-Jul-15,76.88,77.80,72.61,73.79,2246851
22-Jul-15,74.46,75.88,74.46,75.83,1630654
21-Jul-15,74.22,75.03,73.97,74.95,1155715
20-Jul-15,75.04,75.25,73.70,74.14,1355704
17-Jul-15,74.99,75.35,74.32,74.77,1111501
16-Jul-15,73.99,75.47,73.88,74.69,1555777
15-Jul-15,73.49,74.54,72.13,73.72,1741466
14-Jul-15,71.96,73.70,71.46,73.62,1782526
13-Jul-15,71.51,72.65,71.51,72.25,1438242
10-Jul-15,68.01,70.69,67.80,70.55,2292331
9-Jul-15,67.07,67.22,66.44,66.54,922687
8-Jul-15,67.04,67.09,65.50,66.12,1324643
7-Jul-15,66.25,67.63,65.70,67.44,1464937
6-Jul-15,64.61,66.39,64.54,66.16,1331933
2-Jul-15,64.66,65.31,63.82,65.01,1109120
1-Jul-15,65.55,65.64,62.59,64.30,1956896
30-Jun-15,64.55,65.48,64.20,64.43,1332409
