Date,Open,High,Low,Close,Volume
31-Dec-15,13.30,13.69,13.25,13.49,481562
30-Dec-15,13.25,13.83,13.25,13.47,449446
29-Dec-15,14.08,14.28,13.13,13.37,460665
28-Dec-15,13.88,14.29,13.76,13.98,352348
24-Dec-15,14.34,14.49,13.95,14.01,169162
23-Dec-15,13.63,14.38,13.50,14.26,623205
22-Dec-15,12.47,13.50,12.33,13.48,451427
21-Dec-15,12.20,12.90,12.00,12.58,388661
18-Dec-15,12.40,13.03,12.15,12.25,960303
17-Dec-15,12.76,13.30,11.93,12.31,831684
16-Dec-15,13.00,13.46,13.00,13.32,501061
15-Dec-15,13.16,13.38,12.86,12.98,482742
14-Dec-15,13.63,13.78,12.87,13.18,461817
11-Dec-15,14.45,14.51,13.58,13.73,509822
10-Dec-15,14.85,15.48,14.58,14.60,276077
9-Dec-15,15.00,15.61,14.42,14.82,449684
8-Dec-15,14.38,15.52,14.01,15.04,518594
7-Dec-15,16.05,16.15,14.77,14.86,815511
4-Dec-15,16.33,16.76,16.16,16.29,332217
3-Dec-15,16.85,17.08,16.30,16.37,308301
2-Dec-15,17.05,17.37,16.86,16.90,239972
1-Dec-15,17.00,17.27,16.86,17.14,306216
30-Nov-15,17.70,17.99,16.98,17.15,300654
27-Nov-15,17.50,18.00,17.50,17.93,61903
25-Nov-15,17.42,17.70,17.18,17.59,217431
24-Nov-15,17.44,18.01,17.18,17.42,204986
23-Nov-15,18.10,18.18,17.42,17.49,319869
20-Nov-15,18.30,18.35,17.66,18.00,311489
19-Nov-15,19.36,19.57,18.22,18.26,244904
18-Nov-15,19.49,19.75,19.35,19.47,172451
17-Nov-15,19.49,19.71,19.01,19.28,249996
16-Nov-15,18.99,19.55,18.90,19.48,233162
13-Nov-15,18.29,19.01,17.95,18.90,263873
12-Nov-15,17.98,18.43,17.54,18.12,266056
11-Nov-15,19.39,19.39,18.07,18.12,886980
10-Nov-15,19.59,20.12,19.32,19.42,402964
9-Nov-15,20.72,20.72,19.64,19.82,429955
6-Nov-15,21.26,21.54,20.69,20.77,189550
5-Nov-15,21.40,21.65,21.10,21.48,154488
4-Nov-15,20.99,21.75,20.99,21.40,327148
3-Nov-15,21.60,21.82,21.40,21.66,258531
2-Nov-15,21.23,21.68,21.09,21.53,278463
30-Oct-15,21.30,21.60,21.01,21.44,202741
29-Oct-15,20.76,21.45,20.67,21.27,266402
28-Oct-15,20.52,21.16,20.52,20.84,243176
