Date,Open,High,Low,Close,Volume
31-Dec-15,17.01,17.07,16.83,16.83,47152968
30-Dec-15,17.20,17.24,17.04,17.05,35066378
29-Dec-15,17.25,17.35,17.16,17.28,45670376
28-Dec-15,17.22,17.23,16.98,17.13,41777497
24-Dec-15,17.32,17.38,17.22,17.27,29373415
23-Dec-15,17.16,17.34,17.10,17.34,65770672
22-Dec-15,17.05,17.11,16.85,17.08,56173502
21-Dec-15,16.98,17.03,16.77,16.97,65150270
18-Dec-15,17.19,17.26,16.76,16.76,136737824
17-Dec-15,17.80,17.83,17.30,17.30,97265726
16-Dec-15,17.65,17.78,17.23,17.75,171576652
15-Dec-15,17.02,17.49,16.99,17.42,99737154
14-Dec-15,16.76,16.89,16.50,16.80,120589534
11-Dec-15,16.97,17.06,16.64,16.73,91503850
10-Dec-15,17.15,17.41,16.96,17.20,68395011
9-Dec-15,17.11,17.38,16.87,17.10,82418050
8-Dec-15,17.39,17.46,17.13,17.19,84873480
7-Dec-15,17.79,17.80,17.44,17.54,81633309
4-Dec-15,17.44,17.83,17.38,17.80,103021728
3-Dec-15,17.68,17.76,17.25,17.30,95810096
2-Dec-15,17.88,17.89,17.55,17.62,76675759
1-Dec-15,17.52,17.81,17.48,17.81,74130038
30-Nov-15,17.48,17.58,17.42,17.43,59755532
27-Nov-15,17.46,17.50,17.33,17.48,22935528
25-Nov-15,17.51,17.57,17.41,17.44,34939034
24-Nov-15,17.26,17.57,17.25,17.47,57915299
23-Nov-15,17.62,17.73,17.46,17.47,50317909
20-Nov-15,17.81,17.83,17.59,17.65,56108450
19-Nov-15,17.78,17.85,17.62,17.69,51517056
18-Nov-15,17.43,17.87,17.43,17.84,84683912
17-Nov-15,17.50,17.60,17.34,17.42,67534742
16-Nov-15,17.13,17.46,17.01,17.43,69071046
13-Nov-15,17.13,17.31,17.09,17.20,101652210
12-Nov-15,17.58,17.63,17.35,17.37,75802654
11-Nov-15,17.99,17.99,17.68,17.75,58891874
10-Nov-15,17.63,17.94,17.56,17.85,58592757
9-Nov-15,18.03,18.08,17.56,17.68,129703704
6-Nov-15,17.84,18.09,17.76,17.95,157841072
5-Nov-15,17.03,17.37,17.03,17.31,84858708
4-Nov-15,17.30,17.31,16.96,17.01,78589564
3-Nov-15,17.01,17.26,16.99,17.18,65254658
2-Nov-15,16.90,17.14,16.87,17.06,56775467
30-Oct-15,17.18,17.18,16.76,16.78,87250077
29-Oct-15,17.16,17.44,16.97,17.09,94747126
28-Oct-15,16.45,17.31,16.44,17.28,146214215
27-Oct-15,16.40,16.47,16.30,16.40,55860533
26-Oct-15,16.52,16.55,16.34,16.51,64750096
23-Oct-15,16.29,16.55,16.25,16.52,82136801
22-Oct-15,16.00,16.20,16.00,16.16,73798989
21-Oct-15,16.26,16.29,15.90,15.90,64469946
20-Oct-15,16.16,16.29,16.10,16.20,50698227
19-Oct-15,16.00,16.21,15.98,16.14,62826092
16-Oct-15,16.28,16.29,16.03,16.12,66842906
15-Oct-15,15.81,16.28,15.72,16.19,127028772
14-Oct-15,15.77,15.92,15.55,15.64,121343457
13-Oct-15,15.45,15.59,15.40,15.52,73121683
12-Oct-15,15.60,15.62,15.43,15.52,50575841
9-Oct-15,15.75,15.82,15.50,15.58,76345672
