Date,Open,High,Low,Close,Volume
31-Dec-15,35.84,37.01,35.78,36.29,1122350
30-Dec-15,36.73,36.98,35.91,35.95,1003354
29-Dec-15,36.33,37.01,36.10,36.85,909223
28-Dec-15,36.97,37.01,35.71,36.12,1199146
24-Dec-15,36.42,37.10,36.36,36.95,467026
23-Dec-15,36.13,36.99,36.06,36.34,1340459
22-Dec-15,35.30,36.42,35.14,35.94,1089713
21-Dec-15,34.96,35.55,34.48,35.11,2870655
18-Dec-15,34.56,35.33,34.33,34.94,2545719
17-Dec-15,35.37,35.68,34.84,34.89,2722075
16-Dec-15,33.94,35.44,33.85,35.29,2072739
15-Dec-15,33.46,33.81,33.14,33.74,1843564
14-Dec-15,34.21,34.62,32.76,33.08,2099910
11-Dec-15,34.72,35.41,34.36,34.46,1335368
10-Dec-15,34.54,35.93,34.51,35.55,1440336
9-Dec-15,33.85,35.40,33.68,34.68,2349726
8-Dec-15,34.94,35.04,33.68,33.73,2250586
7-Dec-15,35.52,35.78,34.86,35.36,1651807
4-Dec-15,35.52,36.13,35.13,35.61,2143265
3-Dec-15,36.56,36.82,35.34,35.70,2708054
2-Dec-15,37.80,37.93,35.79,36.54,2665682
1-Dec-15,37.68,38.10,37.26,37.71,2132593
30-Nov-15,38.97,39.15,37.30,37.39,3032091
27-Nov-15,39.36,39.95,38.69,38.95,600961
25-Nov-15,39.26,39.58,38.97,39.28,1152843
24-Nov-15,40.21,40.66,38.92,39.26,2973151
23-Nov-15,41.09,41.45,40.33,40.62,1526049
20-Nov-15,41.52,42.21,40.74,40.99,1991131
19-Nov-15,41.01,41.38,40.72,41.29,1294630
18-Nov-15,39.95,40.93,39.95,40.87,1750639
17-Nov-15,40.31,41.29,39.62,39.94,2147166
16-Nov-15,40.29,40.41,39.03,39.71,2277525
13-Nov-15,40.69,41.34,40.33,40.51,2035115
12-Nov-15,41.52,41.82,40.47,40.59,1881905
11-Nov-15,41.81,42.23,41.23,41.80,1952535
10-Nov-15,42.68,42.96,41.62,41.72,2420737
9-Nov-15,45.11,45.25,42.27,43.00,3603908
6-Nov-15,43.48,45.19,43.36,45.17,3092178
5-Nov-15,45.15,45.40,42.91,43.20,3672266
4-Nov-15,45.89,46.76,45.03,45.23,3312641
3-Nov-15,47.94,48.00,44.36,46.35,14336986
2-Nov-15,51.00,53.04,50.90,52.30,5913178
30-Oct-15,49.95,50.21,49.22,49.94,2559932
29-Oct-15,49.69,50.08,49.12,49.87,918532
28-Oct-15,48.98,50.19,48.54,49.89,1228712
27-Oct-15,49.98,49.99,47.90,48.63,1184113
26-Oct-15,49.79,50.26,49.68,49.99,1537192
23-Oct-15,50.03,50.90,49.18,49.79,1914671
22-Oct-15,50.17,50.48,49.14,49.33,1608445
21-Oct-15,50.22,50.50,49.77,49.90,909143
20-Oct-15,49.71,50.95,49.63,49.95,2114786
19-Oct-15,49.58,50.12,49.23,49.63,1692769
16-Oct-15,50.25,50.59,49.05,49.84,998685
15-Oct-15,49.82,50.34,49.36,50.18,1279083
14-Oct-15,49.05,49.93,48.74,49.33,1199286
13-Oct-15,48.84,50.29,48.37,49.05,1480393
12-Oct-15,49.57,49.70,48.09,49.26,1048176
9-Oct-15,50.75,51.02,48.61,49.52,1898484
8-Oct-15,48.62,50.96,48.48,50.43,3329553
7-Oct-15,46.78,48.83,46.69,48.68,2118705
6-Oct-15,46.57,47.02,45.85,46.41,1710954
5-Oct-15,45.78,47.03,45.70,46.54,2087580
2-Oct-15,43.59,45.77,43.37,45.56,1989500
1-Oct-15,43.90,44.53,43.18,44.30,2005836
30-Sep-15,43.05,43.95,42.93,43.68,1760098
29-Sep-15,42.35,42.87,41.12,42.31,3083155
28-Sep-15,44.52,45.18,42.32,42.33,2553520
25-Sep-15,44.77,45.11,44.23,44.98,1960131
24-Sep-15,42.29,44.41,41.87,44.23,2893968
23-Sep-15,43.10,43.17,41.86,42.69,1682622
22-Sep-15,43.61,43.79,42.38,43.04,2150369
