Date,Open,High,Low,Close,Volume
31-Dec-15,21.56,21.56,20.92,20.95,175751
30-Dec-15,21.89,21.91,21.36,21.47,136957
29-Dec-15,21.74,21.99,21.60,21.99,108215
28-Dec-15,21.53,21.81,21.45,21.77,104413
24-Dec-15,21.71,21.77,21.43,21.67,51122
23-Dec-15,21.28,21.71,20.97,21.68,160740
22-Dec-15,20.96,21.18,20.73,21.12,185123
21-Dec-15,21.39,21.40,20.86,21.00,192638
18-Dec-15,21.64,21.81,21.07,21.16,1040615
17-Dec-15,21.93,22.68,21.62,21.77,295467
16-Dec-15,20.88,21.88,20.73,21.80,215469
15-Dec-15,20.58,20.98,20.45,20.83,163109
14-Dec-15,20.77,21.00,20.36,20.45,190378
11-Dec-15,21.06,21.34,20.59,20.79,156274
10-Dec-15,21.52,21.77,21.31,21.40,119699
9-Dec-15,21.75,22.09,21.43,21.62,110247
8-Dec-15,21.51,22.16,21.30,21.87,116159
7-Dec-15,21.50,21.80,21.35,21.78,162266
4-Dec-15,21.71,21.86,21.42,21.60,119161
3-Dec-15,21.96,22.17,21.62,21.66,127051
2-Dec-15,21.84,22.31,21.74,22.02,131468
1-Dec-15,21.87,22.02,21.60,21.89,140107
30-Nov-15,22.10,22.10,21.59,21.79,152954
27-Nov-15,21.76,22.06,21.76,22.04,54686
25-Nov-15,21.63,21.90,21.56,21.80,90403
24-Nov-15,21.41,21.77,21.28,21.74,100328
23-Nov-15,21.70,21.80,21.45,21.57,107377
20-Nov-15,21.50,21.70,21.27,21.60,128799
19-Nov-15,21.47,21.64,21.34,21.45,108247
18-Nov-15,20.82,21.45,20.68,21.41,151580
17-Nov-15,20.90,21.20,20.67,20.84,131198
16-Nov-15,20.40,20.84,20.36,20.83,163497
13-Nov-15,20.82,21.09,20.47,20.48,131118
12-Nov-15,21.01,21.28,20.90,20.98,157884
11-Nov-15,21.53,21.84,21.17,21.20,180517
10-Nov-15,21.87,21.94,21.34,21.52,185639
9-Nov-15,21.59,22.00,21.50,21.98,195792
6-Nov-15,20.74,21.73,20.74,21.69,241072
5-Nov-15,22.35,22.35,20.79,21.08,325666
4-Nov-15,22.67,22.77,22.29,22.35,123736
3-Nov-15,22.31,22.79,21.77,22.62,212997
2-Nov-15,22.22,22.49,21.86,22.47,133653
30-Oct-15,22.00,22.24,21.86,22.10,122489
29-Oct-15,22.31,22.50,21.89,21.97,106511
28-Oct-15,21.59,22.38,21.55,22.35,243037
27-Oct-15,21.57,21.71,21.21,21.49,159210
26-Oct-15,21.98,22.00,21.63,21.68,121301
23-Oct-15,21.84,22.00,20.10,21.89,155287
22-Oct-15,21.30,21.65,21.17,21.54,172080
21-Oct-15,21.00,21.35,20.72,21.14,212163
20-Oct-15,20.26,20.94,20.11,20.94,250859
19-Oct-15,20.25,20.56,19.99,20.31,136115
16-Oct-15,20.34,20.46,20.10,20.22,114704
15-Oct-15,19.68,20.31,19.61,20.25,152963
14-Oct-15,19.65,19.96,19.63,19.68,125454
13-Oct-15,19.92,20.13,19.65,19.66,141450
12-Oct-15,20.50,20.53,20.26,20.40,157768
9-Oct-15,20.50,20.52,20.15,20.44,203221
8-Oct-15,19.73,20.42,19.52,20.42,161815
7-Oct-15,19.42,19.82,19.37,19.76,279473
6-Oct-15,19.30,19.68,18.67,19.35,221951
5-Oct-15,19.13,19.42,19.07,19.37,223075
