Date,Open,High,Low,Close,Volume
31-Dec-15,89.38,90.86,89.02,89.96,6988718
30-Dec-15,90.10,90.98,89.89,90.09,5600215
29-Dec-15,91.89,92.58,91.07,91.25,6471219
28-Dec-15,90.31,90.72,89.69,90.36,6799990
24-Dec-15,93.95,93.95,92.01,92.05,4998746
23-Dec-15,92.20,93.85,91.57,93.81,11172797
22-Dec-15,89.12,90.79,88.30,90.27,9661724
21-Dec-15,90.40,90.70,88.21,89.24,12852265
18-Dec-15,90.06,91.27,89.30,89.81,20167178
17-Dec-15,93.50,94.00,90.40,90.54,14082454
16-Dec-15,92.58,93.82,90.81,93.44,16917859
15-Dec-15,90.58,93.40,90.55,92.76,19158528
14-Dec-15,86.30,89.59,85.41,89.33,12281736
11-Dec-15,87.85,87.91,86.09,86.44,13186853
10-Dec-15,88.00,90.46,87.61,89.30,14534835
9-Dec-15,86.67,90.14,86.30,87.60,14675834
8-Dec-15,85.81,88.00,84.25,86.44,13397477
7-Dec-15,87.48,87.94,84.90,87.28,15378937
4-Dec-15,87.90,89.82,86.49,89.71,13170192
3-Dec-15,90.81,91.42,88.36,88.85,10996782
2-Dec-15,92.60,92.69,90.03,90.25,11759483
1-Dec-15,90.97,92.65,90.97,92.48,6973282
30-Nov-15,90.64,91.96,90.44,91.32,11305223
27-Nov-15,90.25,90.84,90.05,90.37,2547796
25-Nov-15,90.71,91.32,90.16,90.87,5419252
24-Nov-15,90.19,92.30,89.80,91.35,8546149
23-Nov-15,88.65,90.44,88.11,90.01,6886801
20-Nov-15,90.64,91.31,88.81,89.01,8487104
19-Nov-15,92.03,92.37,90.43,90.83,6096269
18-Nov-15,91.44,92.75,91.03,92.21,6916603
17-Nov-15,91.27,92.50,90.70,91.03,7558487
16-Nov-15,87.79,91.47,87.79,91.45,9948993
13-Nov-15,89.57,89.97,88.19,88.68,7630120
12-Nov-15,90.75,91.15,89.25,89.86,8902468
11-Nov-15,93.39,93.71,91.86,92.19,6012065
10-Nov-15,92.10,93.50,91.84,93.23,6794321
9-Nov-15,93.48,94.45,92.10,92.32,7618513
6-Nov-15,93.71,94.07,91.76,94.03,9576204
5-Nov-15,96.05,96.55,94.33,94.55,11170567
4-Nov-15,98.02,98.10,96.08,96.77,11925367
3-Nov-15,95.42,98.64,95.42,98.14,17641088
2-Nov-15,90.61,95.28,90.48,94.96,14264224
30-Oct-15,91.14,91.98,89.41,90.88,11533951
29-Oct-15,89.32,90.93,89.14,89.89,6484427
28-Oct-15,88.21,90.12,87.92,89.79,8213780
27-Oct-15,87.73,87.96,86.74,87.70,9325198
26-Oct-15,90.87,90.88,88.58,88.77,8456138
23-Oct-15,90.75,91.93,90.09,91.24,8123596
22-Oct-15,89.74,91.81,89.74,91.62,8966299
21-Oct-15,89.44,90.63,89.14,89.33,7423391
20-Oct-15,89.50,90.49,89.39,89.99,8125765
19-Oct-15,90.36,90.54,89.22,90.03,8670704
16-Oct-15,91.55,91.66,90.02,91.29,7819751
15-Oct-15,89.65,90.87,88.44,90.72,8945448
14-Oct-15,88.23,89.97,87.71,89.76,9689800
13-Oct-15,87.80,88.94,87.29,88.38,7995823
12-Oct-15,89.86,89.98,87.87,88.74,7900252
9-Oct-15,90.20,90.40,88.67,89.57,9956638
8-Oct-15,87.89,90.14,87.80,89.91,11290032
7-Oct-15,88.25,89.51,86.28,88.12,17672815
6-Oct-15,84.18,87.63,84.07,86.99,18783057
5-Oct-15,82.41,84.19,82.35,84.03,14165848
2-Oct-15,77.74,81.55,77.31,81.55,12874530
1-Oct-15,79.72,80.89,77.81,78.34,11095593
30-Sep-15,77.15,79.02,77.00,78.88,13862216
29-Sep-15,76.04,76.66,75.28,76.25,8763819
28-Sep-15,76.66,76.93,75.75,75.77,10513714
25-Sep-15,77.87,78.16,76.92,77.70,10857295
24-Sep-15,75.45,77.31,75.10,76.89,10244395
23-Sep-15,77.40,77.53,75.76,76.12,9040731
22-Sep-15,76.84,77.69,76.49,77.25,9664129
21-Sep-15,78.30,78.73,77.84,78.09,8175830
18-Sep-15,77.91,78.70,76.97,77.74,18591481
17-Sep-15,79.12,80.47,78.60,79.41,12236370
16-Sep-15,77.82,79.21,77.77,79.02,12502147
15-Sep-15,76.43,77.69,76.21,77.17,11622247
14-Sep-15,75.52,76.00,74.96,75.77,10231389
11-Sep-15,75.94,76.25,75.09,75.79,11007728
10-Sep-15,75.73,75.80,74.31,75.66,11473311
9-Sep-15,77.43,78.20,74.75,74.92,11248832
