Date,Open,High,Low,Close,Volume
31-Dec-15,66.19,66.78,66.00,66.03,14654329
30-Dec-15,67.04,67.05,66.45,66.59,7190650
29-Dec-15,66.84,67.30,66.74,67.07,9820830
28-Dec-15,66.29,66.45,65.71,66.38,6610609
24-Dec-15,66.62,66.89,66.32,66.60,4468242
23-Dec-15,66.12,66.85,66.05,66.73,12524453
22-Dec-15,65.92,66.00,64.98,65.68,12149529
21-Dec-15,65.02,65.56,64.83,65.54,18869297
18-Dec-15,65.97,65.97,64.40,64.40,23819643
17-Dec-15,67.90,68.00,66.08,66.28,18122090
16-Dec-15,66.91,67.74,65.91,67.53,21720024
15-Dec-15,65.07,66.65,65.07,66.10,18126588
14-Dec-15,64.23,64.76,63.60,64.27,17504146
11-Dec-15,64.80,65.16,63.51,64.07,17889293
10-Dec-15,65.54,66.50,65.08,65.61,12838986
9-Dec-15,65.61,66.58,65.04,65.46,16770188
8-Dec-15,66.25,66.96,65.70,65.96,13084484
7-Dec-15,67.66,67.75,66.40,67.00,11686033
4-Dec-15,66.10,68.00,66.03,67.89,17786043
3-Dec-15,66.83,67.03,65.58,65.80,14626881
2-Dec-15,67.83,67.88,66.48,66.66,13399839
1-Dec-15,67.34,67.83,66.99,67.61,12668449
30-Nov-15,67.28,67.52,66.68,66.68,15091696
27-Nov-15,67.00,67.33,66.64,67.17,4052633
25-Nov-15,66.93,67.12,66.55,66.86,7772026
24-Nov-15,66.17,67.14,66.04,66.78,10852532
23-Nov-15,67.31,67.58,66.78,66.88,11335340
20-Nov-15,67.99,68.11,67.38,67.54,11194673
19-Nov-15,67.58,67.82,67.04,67.66,12718778
18-Nov-15,66.48,67.55,66.37,67.45,12727534
17-Nov-15,66.67,66.74,65.89,66.13,12320306
16-Nov-15,65.46,66.58,65.17,66.51,11031402
13-Nov-15,65.84,66.17,65.23,65.56,11682962
12-Nov-15,66.86,66.90,65.95,66.00,13272016
11-Nov-15,68.10,68.17,67.25,67.35,8494787
10-Nov-15,67.19,67.85,66.93,67.68,13093668
9-Nov-15,68.70,68.72,67.08,67.39,17120033
6-Nov-15,68.37,69.03,68.10,68.46,23179728
5-Nov-15,65.79,66.67,65.75,66.44,12561702
4-Nov-15,66.01,66.15,65.63,65.85,11382412
3-Nov-15,65.29,66.10,65.17,65.78,11499353
2-Nov-15,64.45,65.75,64.39,65.54,15225097
30-Oct-15,65.30,65.34,64.13,64.25,15642649
29-Oct-15,65.26,65.83,64.88,65.21,12690848
28-Oct-15,63.70,65.74,63.69,65.50,17924895
27-Oct-15,63.53,63.86,63.31,63.64,8775339
26-Oct-15,63.84,63.99,63.41,63.90,13858411
23-Oct-15,63.63,64.18,63.50,63.87,16944141
22-Oct-15,62.42,63.58,62.42,63.19,15269206
21-Oct-15,62.88,62.96,62.05,62.06,12113422
20-Oct-15,62.36,62.82,62.08,62.52,11545128
19-Oct-15,62.00,62.76,61.91,62.22,14479153
16-Oct-15,62.43,62.65,62.09,62.43,17434885
15-Oct-15,60.47,61.96,60.10,61.89,18095043
14-Oct-15,60.76,60.97,59.54,59.99,28937454
13-Oct-15,61.39,62.16,61.31,61.55,15182083
12-Oct-15,61.84,62.01,61.40,61.72,10824903
9-Oct-15,62.39,62.54,61.58,61.93,12036622
8-Oct-15,61.85,62.25,61.43,62.13,13899433
7-Oct-15,62.55,63.03,61.76,62.13,12784772
6-Oct-15,62.11,62.36,61.62,62.05,12037923
5-Oct-15,61.24,62.24,61.22,62.02,13405854
2-Oct-15,59.59,60.86,58.53,60.81,20386849
1-Oct-15,61.12,61.87,60.54,61.42,16780949
30-Sep-15,60.70,61.00,60.11,60.97,18688537
29-Sep-15,59.98,60.13,58.73,59.84,19261119
28-Sep-15,60.92,61.01,59.69,59.98,16872689
