Date,Open,High,Low,Close,Volume
31-Dec-15,34.56,34.66,34.39,34.41,20261791
30-Dec-15,34.93,34.95,34.68,34.74,13754402
29-Dec-15,34.94,34.99,34.79,34.93,14368149
28-Dec-15,34.62,34.88,34.60,34.76,13928439
24-Dec-15,34.75,34.77,34.54,34.66,6862360
23-Dec-15,34.43,34.92,34.43,34.78,19309618
22-Dec-15,34.29,34.48,34.01,34.41,20427315
21-Dec-15,33.92,34.11,33.75,34.09,20392438
18-Dec-15,33.87,34.00,33.60,33.60,51216301
17-Dec-15,34.42,34.61,34.03,34.03,27720504
16-Dec-15,33.91,34.48,33.90,34.40,31192674
15-Dec-15,33.72,33.93,33.41,33.81,25359533
14-Dec-15,33.15,33.65,33.11,33.60,26299394
11-Dec-15,33.41,33.59,33.09,33.17,26950881
10-Dec-15,33.63,34.03,33.55,33.67,27712858
9-Dec-15,33.75,34.23,33.47,33.57,25052195
8-Dec-15,33.95,34.10,33.63,33.85,28419892
7-Dec-15,33.88,34.39,33.88,34.27,33956203
4-Dec-15,33.19,34.17,33.17,34.11,35685874
3-Dec-15,33.61,33.66,33.01,33.10,28748306
2-Dec-15,33.76,33.95,33.54,33.56,25849778
1-Dec-15,33.78,33.97,33.58,33.77,16760517
30-Nov-15,33.59,33.75,33.42,33.67,23789970
27-Nov-15,33.50,33.78,33.48,33.57,9327165
25-Nov-15,33.35,33.50,33.24,33.45,14601726
24-Nov-15,33.29,33.59,33.20,33.39,16887603
23-Nov-15,33.66,33.68,33.43,33.46,15233097
20-Nov-15,33.74,33.78,33.55,33.66,20447925
19-Nov-15,33.52,33.75,33.47,33.62,17946111
18-Nov-15,33.25,33.58,33.02,33.54,22194275
17-Nov-15,33.07,33.52,33.06,33.26,20345208
16-Nov-15,32.35,33.05,32.22,33.04,23591321
13-Nov-15,32.64,32.84,32.31,32.31,22718114
12-Nov-15,32.84,32.86,32.63,32.69,17302021
11-Nov-15,32.84,33.00,32.80,32.92,14038880
10-Nov-15,32.86,32.90,32.67,32.79,18885331
9-Nov-15,32.96,32.97,32.75,32.84,20414295
6-Nov-15,33.22,33.27,32.86,33.16,21488034
5-Nov-15,33.49,33.56,33.27,33.34,16124272
4-Nov-15,33.76,33.78,33.44,33.48,17282971
3-Nov-15,33.55,33.75,33.46,33.63,17605577
2-Nov-15,33.69,33.78,33.39,33.61,25525620
30-Oct-15,33.62,33.75,33.51,33.51,24524910
29-Oct-15,33.48,33.67,33.28,33.55,17831786
28-Oct-15,33.36,33.60,33.12,33.42,27786396
27-Oct-15,33.57,33.61,33.16,33.21,24378067
26-Oct-15,33.75,33.76,33.48,33.66,25405556
23-Oct-15,34.70,34.74,33.62,33.74,46228150
22-Oct-15,33.46,34.16,33.46,33.96,33112477
21-Oct-15,33.88,33.94,33.33,33.60,27218716
20-Oct-15,33.59,33.85,33.52,33.75,20083403
19-Oct-15,33.63,33.69,33.42,33.63,28250828
16-Oct-15,33.75,33.86,33.54,33.83,33225358
15-Oct-15,33.33,33.50,33.20,33.49,18572680
14-Oct-15,33.23,33.39,33.10,33.27,23656328
13-Oct-15,33.19,33.29,33.06,33.22,22110620
12-Oct-15,33.20,33.31,33.07,33.30,14185738
9-Oct-15,33.42,33.52,33.00,33.14,19291424
8-Oct-15,33.11,33.41,32.87,33.40,17300904
7-Oct-15,33.07,33.34,33.01,33.12,21010715
6-Oct-15,33.50,33.52,33.25,33.31,27715189
5-Oct-15,32.98,33.49,32.97,33.43,27815821
2-Oct-15,32.34,32.64,32.18,32.64,28308502
1-Oct-15,32.48,32.64,32.17,32.53,30774790
30-Sep-15,32.36,32.71,32.24,32.58,34784278
29-Sep-15,31.99,32.18,31.85,32.07,33759742
28-Sep-15,32.26,32.34,31.88,31.90,35836340
25-Sep-15,32.27,32.70,32.16,32.33,27061960
24-Sep-15,32.02,32.23,31.95,32.11,24573633
23-Sep-15,32.29,32.34,32.04,32.20,15728793
22-Sep-15,32.32,32.45,32.13,32.27,25464546
21-Sep-15,32.55,32.69,32.45,32.56,19862523
18-Sep-15,32.68,32.79,32.41,32.55,44268270
17-Sep-15,32.73,33.14,32.41,32.78,37633708
16-Sep-15,32.86,33.10,32.76,32.94,23492333
15-Sep-15,32.68,32.93,32.54,32.86,22363253
14-Sep-15,32.74,32.78,32.51,32.55,18492363
11-Sep-15,32.73,32.78,32.56,32.72,17614004
10-Sep-15,32.77,32.84,32.55,32.75,25578562
9-Sep-15,33.40,33.50,32.72,32.78,22444466
8-Sep-15,32.95,33.19,32.81,33.14,18743195
4-Sep-15,32.68,32.78,32.35,32.56,29309928
