Date,Open,High,Low,Close,Volume
31-Dec-15,77.73,79.15,77.57,78.20,3754649
30-Dec-15,78.66,78.78,78.16,78.51,3685493
29-Dec-15,78.60,79.05,78.11,78.97,3505595
28-Dec-15,78.49,78.73,77.94,78.34,3958393
24-Dec-15,78.79,79.10,78.50,78.80,2327518
23-Dec-15,77.84,79.13,77.57,78.77,6148698
22-Dec-15,76.06,77.59,75.87,77.06,5706495
21-Dec-15,75.99,76.43,75.02,75.49,5247884
18-Dec-15,76.82,76.83,75.28,75.43,10160040
17-Dec-15,78.72,79.49,77.30,77.33,5891654
16-Dec-15,77.10,79.02,76.84,78.91,5763799
15-Dec-15,77.57,77.74,76.12,76.41,7790272
14-Dec-15,77.50,77.97,76.42,76.88,7487035
11-Dec-15,77.03,77.95,76.38,77.28,6100395
10-Dec-15,77.54,78.62,77.31,77.45,6341043
9-Dec-15,75.03,77.80,74.94,77.54,9972284
8-Dec-15,76.34,76.69,74.78,75.60,8115302
7-Dec-15,78.15,78.62,76.70,77.29,9414287
4-Dec-15,77.37,78.62,77.03,78.31,11007113
3-Dec-15,82.14,82.30,78.76,79.20,11254361
2-Dec-15,84.19,84.37,81.68,82.08,7543226
1-Dec-15,83.95,85.00,83.12,84.40,5393492
30-Nov-15,84.84,84.95,83.94,83.95,6130443
27-Nov-15,84.65,84.96,84.46,84.50,2120102
25-Nov-15,84.43,84.95,84.27,84.63,3518610
24-Nov-15,84.93,85.29,84.63,84.80,5125724
23-Nov-15,86.86,87.48,84.91,85.11,4723216
20-Nov-15,87.52,88.05,86.50,86.74,4400248
19-Nov-15,87.08,87.23,85.95,87.04,5992954
18-Nov-15,85.74,87.75,85.62,87.11,5384629
17-Nov-15,84.37,85.95,83.12,85.10,5273935
16-Nov-15,83.59,84.57,83.10,84.35,3602331
13-Nov-15,83.55,85.09,83.52,83.78,4644947
12-Nov-15,83.83,84.81,83.15,83.95,5388318
11-Nov-15,85.48,85.48,84.11,84.37,4701846
10-Nov-15,85.67,86.31,84.50,84.84,5486623
9-Nov-15,85.73,89.10,83.99,86.17,9105092
6-Nov-15,87.00,87.21,85.46,85.98,6727606
5-Nov-15,88.29,88.51,87.00,87.21,6426395
4-Nov-15,89.20,89.44,87.85,88.19,4715482
3-Nov-15,88.96,89.34,88.48,88.70,4956830
2-Nov-15,89.36,89.76,88.58,89.10,5365596
30-Oct-15,90.87,91.17,89.19,89.35,5596245
29-Oct-15,90.03,91.51,89.76,90.52,5275162
28-Oct-15,90.75,91.39,89.14,90.10,7342856
27-Oct-15,94.20,94.20,90.22,90.24,9803774
26-Oct-15,96.62,97.18,95.01,95.17,4537019
23-Oct-15,97.42,98.26,96.16,96.92,4870776
22-Oct-15,96.51,97.56,95.54,97.01,6934947
21-Oct-15,94.30,94.88,93.19,93.41,4248446
20-Oct-15,92.71,94.23,92.14,93.74,3294805
19-Oct-15,92.56,92.79,91.55,92.71,3991755
16-Oct-15,94.63,94.73,92.55,92.94,4585774
15-Oct-15,93.67,94.53,93.00,94.26,3275180
14-Oct-15,93.44,93.75,92.60,92.91,5326188
13-Oct-15,94.44,95.25,93.75,93.80,3544432
12-Oct-15,96.76,97.00,94.20,95.26,5479163
9-Oct-15,97.75,98.28,96.17,97.04,4431577
8-Oct-15,94.57,97.29,94.49,97.05,4137791
7-Oct-15,94.21,96.25,93.75,95.11,4271478
6-Oct-15,93.81,94.09,93.16,93.39,3795976
5-Oct-15,91.73,94.09,91.62,93.71,5263037
2-Oct-15,88.75,91.93,88.56,91.90,5332000
1-Oct-15,89.24,90.64,89.11,90.40,6912719
30-Sep-15,87.90,88.53,86.99,88.41,5208957
29-Sep-15,85.24,86.65,84.94,86.55,4937593
28-Sep-15,85.68,86.66,84.85,84.97,5434349
25-Sep-15,86.25,87.32,85.58,86.59,5357054
24-Sep-15,84.77,85.21,83.87,84.83,5523295
23-Sep-15,86.40,87.04,85.49,85.68,3441540
22-Sep-15,86.97,87.06,85.64,86.67,4763582
21-Sep-15,87.97,89.34,87.66,88.25,4682113
18-Sep-15,88.60,89.06,87.58,87.78,7373074
17-Sep-15,89.32,91.16,89.31,89.72,4462311
16-Sep-15,87.92,90.16,87.90,89.79,5988408
15-Sep-15,86.18,88.19,85.94,87.98,5070338
14-Sep-15,86.52,86.52,85.53,85.73,4478105
11-Sep-15,87.08,87.08,85.74,86.12,5092719
10-Sep-15,86.90,87.58,86.50,87.10,4141837
9-Sep-15,88.35,89.07,86.77,86.95,5149434
8-Sep-15,87.00,88.03,86.50,87.86,8118605
4-Sep-15,85.00,85.75,84.45,84.78,5643053
3-Sep-15,85.94,86.37,85.49,85.70,6024517
2-Sep-15,84.36,85.12,83.16,85.11,6914482
1-Sep-15,83.63,84.50,83.00,83.38,5579938
31-Aug-15,86.90,87.08,85.73,85.74,5349448
28-Aug-15,86.10,87.19,86.01,86.89,5653012
27-Aug-15,84.35,86.33,84.14,86.28,10731257
26-Aug-15,82.62,84.31,81.73,84.10,12365881
25-Aug-15,85.20,85.25,80.51,80.56,9187934
24-Aug-15,81.18,85.19,79.31,82.66,10248662
21-Aug-15,88.36,88.89,86.41,86.45,9586956
20-Aug-15,90.62,90.85,89.32,89.32,8291892
19-Aug-15,92.25,93.09,91.88,92.16,3900438
18-Aug-15,92.66,92.89,92.38,92.78,3853412
