Date,Open,High,Low,Close,Volume
31-Dec-15,96.90,97.06,96.01,96.23,2178632
30-Dec-15,97.50,97.71,97.03,97.09,1727348
29-Dec-15,97.31,97.86,97.16,97.72,1688896
28-Dec-15,97.15,97.27,96.30,97.00,2274615
24-Dec-15,96.99,97.71,96.69,97.34,1497617
23-Dec-15,97.48,97.69,96.88,97.24,4812249
22-Dec-15,97.55,98.30,96.61,98.00,2458615
21-Dec-15,98.51,98.80,96.34,96.89,3311056
18-Dec-15,98.92,99.08,96.90,98.00,7053459
17-Dec-15,102.40,102.46,99.98,100.00,4792140
16-Dec-15,99.59,100.86,99.18,100.51,3483108
15-Dec-15,98.54,99.57,98.12,98.90,3434180
14-Dec-15,97.46,97.91,95.82,97.87,4109442
11-Dec-15,98.80,99.00,97.26,97.46,5746562
10-Dec-15,100.55,101.41,100.37,100.45,3232681
9-Dec-15,101.12,101.94,100.09,100.46,3118856
8-Dec-15,101.71,101.99,100.80,101.16,3738096
7-Dec-15,103.00,103.26,101.92,102.45,2521496
4-Dec-15,102.44,103.39,102.21,103.26,3560947
3-Dec-15,103.44,103.73,101.90,102.29,3927894
2-Dec-15,103.73,103.93,103.04,103.30,3577053
1-Dec-15,103.46,104.50,103.15,104.38,3424222
30-Nov-15,104.05,104.40,103.00,103.01,3633734
27-Nov-15,103.79,104.41,103.71,104.18,954060
25-Nov-15,103.36,103.65,103.04,103.49,1354734
24-Nov-15,103.07,103.74,102.67,103.40,1523143
23-Nov-15,104.13,104.59,103.27,103.59,2289742
20-Nov-15,104.58,105.00,103.94,104.10,2645214
19-Nov-15,104.00,104.69,103.64,104.10,1552086
18-Nov-15,103.22,103.86,102.60,103.68,2139709
17-Nov-15,103.35,104.24,102.82,103.14,2098235
16-Nov-15,101.71,103.18,101.64,103.14,2204782
13-Nov-15,103.14,103.14,101.43,101.78,3098096
12-Nov-15,103.49,103.65,102.45,102.60,3293947
11-Nov-15,104.59,105.37,103.95,104.80,2583539
10-Nov-15,103.98,104.92,103.59,104.34,2141163
9-Nov-15,104.50,104.77,103.50,104.01,3415066
6-Nov-15,103.77,105.03,103.37,104.99,2877329
5-Nov-15,104.12,104.65,103.71,104.23,2540629
4-Nov-15,104.64,104.76,103.72,104.00,2817337
3-Nov-15,104.28,105.03,103.72,104.48,2775814
2-Nov-15,103.01,104.73,103.00,104.57,2648139
30-Oct-15,103.47,103.77,102.93,103.02,3045081
29-Oct-15,102.77,103.62,102.39,103.47,2762362
28-Oct-15,103.19,103.40,101.77,102.63,3537780
27-Oct-15,102.79,104.56,101.96,103.10,5144377
26-Oct-15,106.94,107.32,105.96,106.18,3476860
23-Oct-15,107.25,107.25,105.47,106.80,4057469
22-Oct-15,105.81,106.62,105.64,106.43,3570278
21-Oct-15,104.82,106.42,104.82,105.26,3286462
20-Oct-15,103.99,104.77,103.85,104.56,2245562
19-Oct-15,103.55,104.32,103.55,104.26,2294447
16-Oct-15,104.06,104.19,103.34,103.95,2078010
15-Oct-15,103.35,103.98,102.92,103.80,2839334
14-Oct-15,103.35,103.64,102.55,102.86,2209049
13-Oct-15,103.65,104.59,103.28,103.30,3049789
12-Oct-15,103.58,104.41,103.35,104.41,1788054
9-Oct-15,103.38,104.18,103.29,103.68,2388522
8-Oct-15,102.21,103.54,102.07,103.38,2684685
7-Oct-15,101.99,102.98,101.44,102.24,2908009
6-Oct-15,101.90,101.94,100.81,101.43,2327052
5-Oct-15,99.75,101.99,99.75,101.53,3042588
2-Oct-15,97.06,99.38,96.96,99.38,3545836
1-Oct-15,99.00,99.11,97.82,98.58,3042529
30-Sep-15,98.95,99.30,97.98,98.69,2976705
29-Sep-15,97.24,98.31,96.93,98.14,2612314
28-Sep-15,97.92,98.48,97.19,97.27,2496171
