Date,Open,High,Low,Close,Volume
31-Dec-15,46.52,46.65,46.20,46.22,11490922
30-Dec-15,47.20,47.20,46.62,46.77,8970710
29-Dec-15,46.98,47.23,46.84,47.21,7667106
28-Dec-15,46.62,46.84,46.56,46.75,6255458
24-Dec-15,46.91,46.97,46.60,46.71,4279919
23-Dec-15,46.51,47.15,46.39,46.95,12685508
22-Dec-15,46.20,46.46,45.85,46.34,11181513
21-Dec-15,45.73,45.92,45.52,45.90,10360564
18-Dec-15,45.90,46.04,45.56,45.56,31635054
17-Dec-15,46.49,46.69,46.02,46.10,15508602
16-Dec-15,45.93,46.57,45.70,46.51,18808282
15-Dec-15,45.52,45.86,45.20,45.55,16742625
14-Dec-15,44.84,45.50,44.68,45.45,16661362
11-Dec-15,45.00,45.35,44.73,44.82,16481886
10-Dec-15,45.47,45.66,45.20,45.32,10402468
9-Dec-15,45.58,46.13,45.12,45.36,13467888
8-Dec-15,45.67,45.99,45.44,45.70,13776083
7-Dec-15,45.46,46.12,45.45,46.06,13192101
4-Dec-15,44.74,45.78,44.71,45.71,14158575
3-Dec-15,44.88,45.05,44.33,44.56,17077739
2-Dec-15,45.45,45.55,44.87,44.92,11842585
1-Dec-15,45.51,45.89,45.33,45.58,10556513
30-Nov-15,45.25,45.64,44.96,45.45,18766656
27-Nov-15,44.84,45.39,44.83,45.23,4108274
25-Nov-15,45.11,45.13,44.89,44.92,7014583
24-Nov-15,44.75,45.34,44.68,45.19,11126455
23-Nov-15,45.31,45.50,44.94,44.99,10288747
20-Nov-15,45.96,45.99,45.32,45.39,12206291
19-Nov-15,45.44,45.87,45.35,45.76,9302638
18-Nov-15,45.08,45.43,44.58,45.38,13556353
17-Nov-15,45.01,45.32,44.93,45.08,10653843
16-Nov-15,44.26,45.07,44.18,45.04,10089351
13-Nov-15,44.73,44.99,44.22,44.23,11959171
12-Nov-15,45.02,45.09,44.77,44.83,10872265
11-Nov-15,45.36,45.54,45.13,45.32,7902033
10-Nov-15,45.27,45.33,44.80,45.10,9978260
9-Nov-15,45.53,45.54,45.03,45.30,10716025
6-Nov-15,45.99,46.03,45.29,45.78,14140471
5-Nov-15,46.20,46.43,46.10,46.20,11642769
4-Nov-15,46.58,46.65,46.04,46.14,9701450
3-Nov-15,46.70,46.74,46.18,46.45,11863957
2-Nov-15,47.02,47.08,46.52,46.78,11681280
30-Oct-15,46.43,46.98,46.28,46.88,14712106
29-Oct-15,46.49,46.56,46.00,46.40,7896133
28-Oct-15,46.44,46.80,46.06,46.48,11425746
27-Oct-15,46.19,46.30,46.01,46.17,9539356
26-Oct-15,46.32,46.54,46.15,46.36,10800950
23-Oct-15,46.14,46.33,45.94,46.16,13268439
22-Oct-15,44.98,45.90,44.98,45.89,15342368
21-Oct-15,45.44,45.71,44.71,44.86,17081827
20-Oct-15,44.92,45.80,44.79,45.24,19695677
19-Oct-15,44.48,44.82,44.26,44.70,17479852
16-Oct-15,44.92,44.97,44.45,44.70,15587714
15-Oct-15,44.24,44.70,44.06,44.67,11704348
14-Oct-15,44.26,44.54,43.93,43.99,19540939
13-Oct-15,44.14,44.50,44.14,44.36,11520971
12-Oct-15,44.18,44.31,44.01,44.30,9872687
9-Oct-15,44.28,44.53,44.00,44.16,11938298
8-Oct-15,43.68,44.31,43.55,44.23,10251861
7-Oct-15,43.78,43.99,43.46,43.85,11901124
6-Oct-15,44.00,44.43,43.98,44.06,14944816
5-Oct-15,43.24,44.02,43.24,44.00,14404700
2-Oct-15,42.55,42.90,42.20,42.84,22207510
1-Oct-15,43.49,43.64,42.69,42.96,22243778
