Date,Open,High,Low,Close,Volume
31-Dec-15,129.14,130.54,128.64,128.66,1208733
30-Dec-15,130.01,130.97,129.09,129.64,1430082
29-Dec-15,127.95,130.81,127.52,130.30,2003167
28-Dec-15,123.97,124.78,123.05,124.64,614568
24-Dec-15,123.50,124.66,121.75,124.29,424611
23-Dec-15,122.38,124.16,122.33,123.87,268191
22-Dec-15,123.15,123.34,121.22,122.70,201031
21-Dec-15,122.73,123.10,121.38,122.70,339315
18-Dec-15,121.85,122.65,120.16,122.33,1120881
17-Dec-15,123.05,123.52,120.90,122.20,734145
16-Dec-15,122.89,123.35,120.45,122.97,777140
15-Dec-15,121.51,122.58,121.14,122.07,740822
14-Dec-15,123.79,124.06,120.30,120.77,689536
11-Dec-15,117.91,125.70,116.50,123.63,1777198
10-Dec-15,118.99,119.85,117.27,119.13,721353
9-Dec-15,119.84,120.24,117.51,118.86,539935
8-Dec-15,122.38,122.86,119.95,120.00,456488
7-Dec-15,123.68,124.03,121.01,123.05,417005
4-Dec-15,120.77,123.73,120.77,123.73,312611
3-Dec-15,122.36,122.45,120.05,120.48,355698
2-Dec-15,121.67,122.68,121.14,122.20,390826
1-Dec-15,122.15,122.78,120.90,121.70,557203
30-Nov-15,122.38,122.60,121.51,121.75,441829
27-Nov-15,122.28,122.45,121.56,122.20,87372
25-Nov-15,122.83,122.94,122.01,122.15,224841
24-Nov-15,122.46,123.15,121.32,122.68,260507
23-Nov-15,122.28,123.60,121.54,122.86,522644
20-Nov-15,120.32,121.22,119.66,121.06,236220
19-Nov-15,118.12,120.03,117.09,119.89,514146
18-Nov-15,117.38,118.30,115.50,118.30,809944
17-Nov-15,117.22,118.04,115.47,117.32,483740
16-Nov-15,114.91,116.98,114.07,116.98,287151
13-Nov-15,116.08,116.79,115.31,116.00,461652
12-Nov-15,117.11,117.35,115.81,116.11,479303
11-Nov-15,116.90,117.75,116.11,117.35,325706
10-Nov-15,116.72,117.18,115.03,116.77,185166
9-Nov-15,116.58,116.98,115.47,116.69,362572
6-Nov-15,118.17,118.75,116.34,116.93,947048
5-Nov-15,119.23,119.95,118.64,119.95,189130
4-Nov-15,119.18,119.55,118.62,119.15,233815
3-Nov-15,120.45,120.45,118.75,119.02,316109
2-Nov-15,118.49,120.11,118.01,120.05,328884
30-Oct-15,118.78,118.78,117.17,118.17,409985
29-Oct-15,119.31,119.42,118.15,118.73,349165
28-Oct-15,116.53,118.68,115.36,118.68,666824
27-Oct-15,116.19,117.06,114.54,116.85,396495
26-Oct-15,116.29,117.14,114.86,116.71,189297
23-Oct-15,114.83,116.56,113.96,116.48,305595
22-Oct-15,113.85,115.26,113.52,114.25,269011
21-Oct-15,113.24,114.81,112.90,113.38,389507
20-Oct-15,111.50,113.27,110.92,112.87,177589
19-Oct-15,111.44,111.81,109.27,111.50,204100
16-Oct-15,111.81,112.34,111.18,111.71,152874
15-Oct-15,110.57,111.95,110.23,111.47,181981
14-Oct-15,110.68,112.05,110.01,110.15,653821
13-Oct-15,111.18,112.32,110.65,111.52,142682
12-Oct-15,111.42,112.29,111.42,111.79,105527
9-Oct-15,111.95,112.58,111.19,111.55,144200
8-Oct-15,111.44,112.44,110.60,111.89,384742
7-Oct-15,112.61,112.71,110.52,111.79,293368
6-Oct-15,111.31,111.68,110.70,111.68,296828
5-Oct-15,110.44,111.71,110.44,111.60,179258
2-Oct-15,107.36,109.96,107.21,109.91,367468
1-Oct-15,108.61,109.93,107.92,108.56,527631
30-Sep-15,108.40,108.64,107.34,108.53,649259
29-Sep-15,107.58,107.84,106.78,107.55,345765
28-Sep-15,108.45,108.45,106.57,107.21,320981
25-Sep-15,109.09,109.85,108.66,109.06,398331
24-Sep-15,110.17,110.46,108.08,108.53,524826
23-Sep-15,111.42,111.44,110.38,110.83,583687
22-Sep-15,111.05,113.06,110.60,111.13,301236
21-Sep-15,111.47,112.17,110.97,111.84,207362
18-Sep-15,112.00,112.29,110.66,110.89,437317
17-Sep-15,113.85,114.36,112.82,113.06,232681
16-Sep-15,112.72,113.80,112.30,113.72,237567
15-Sep-15,112.29,113.01,111.55,112.69,617316
14-Sep-15,112.77,113.43,111.89,111.92,577572
11-Sep-15,113.99,114.07,112.26,112.71,1215470
10-Sep-15,114.89,115.63,114.12,114.33,322433
9-Sep-15,115.71,116.19,114.86,115.07,436249
8-Sep-15,113.51,115.07,113.30,114.97,329341
4-Sep-15,112.19,112.69,111.84,111.95,470153
3-Sep-15,113.22,113.75,112.71,112.95,380493
2-Sep-15,113.59,113.64,112.11,112.93,456800
1-Sep-15,112.58,113.30,112.13,112.53,611764
31-Aug-15,114.38,114.94,113.53,114.14,395368
28-Aug-15,116.08,116.71,114.70,114.89,362083
27-Aug-15,115.31,116.64,113.70,116.64,604005
26-Aug-15,115.36,115.73,113.64,114.22,895583
25-Aug-15,116.26,116.98,113.43,113.48,554399
24-Aug-15,113.83,117.22,111.63,114.57,473228
21-Aug-15,119.34,119.97,118.15,118.22,581012
20-Aug-15,120.90,121.40,120.11,120.50,330749
19-Aug-15,122.38,122.86,120.82,121.67,225074
18-Aug-15,122.86,123.50,122.15,122.94,232849
17-Aug-15,122.28,123.07,121.64,123.07,217686
14-Aug-15,121.24,122.70,121.24,122.52,192268
13-Aug-15,121.22,122.09,121.22,121.43,231796
12-Aug-15,120.85,121.85,119.42,121.40,267491
11-Aug-15,121.75,122.46,120.95,121.62,352433
10-Aug-15,123.15,124.05,122.38,122.97,182843
7-Aug-15,122.38,123.07,121.54,122.57,169282
6-Aug-15,125.14,125.44,122.34,122.70,366395
5-Aug-15,124.53,125.64,124.42,124.87,373580
4-Aug-15,124.37,125.01,123.50,124.32,383096
3-Aug-15,123.10,124.32,122.62,124.19,420752
31-Jul-15,123.71,123.79,122.86,123.15,282239
30-Jul-15,123.84,124.50,123.26,123.50,375528
29-Jul-15,122.25,124.29,122.04,124.16,473703
28-Jul-15,122.36,122.86,121.64,122.36,285740
27-Jul-15,121.83,122.46,121.24,121.93,262919
24-Jul-15,123.15,123.58,122.15,122.33,238950
23-Jul-15,123.26,123.63,122.70,123.15,303629
22-Jul-15,123.10,123.84,122.83,123.15,298865
21-Jul-15,124.08,124.22,122.99,123.26,348662
20-Jul-15,124.50,124.82,123.84,124.03,261058
17-Jul-15,124.37,124.71,123.87,124.50,224518
16-Jul-15,125.11,125.13,123.89,124.48,593387
15-Jul-15,124.79,125.02,124.05,124.37,415758
14-Jul-15,125.11,125.22,124.05,124.50,598248
13-Jul-15,124.50,125.30,124.45,124.66,444493
10-Jul-15,124.50,124.64,124.00,124.48,236719
9-Jul-15,124.48,124.50,123.89,124.00,302808
8-Jul-15,123.52,124.50,123.02,123.50,263143
7-Jul-15,124.74,125.01,123.42,124.48,591545
6-Jul-15,123.23,125.04,122.78,124.93,542797
2-Jul-15,124.32,125.75,123.44,124.16,571652
1-Jul-15,125.62,125.91,122.81,124.13,1837065
30-Jun-15,128.95,129.35,123.87,124.24,2467970
29-Jun-15,122.33,122.33,119.95,120.26,266111
26-Jun-15,121.43,123.58,121.43,123.50,131945
25-Jun-15,125.17,126.52,123.87,123.89,115669
24-Jun-15,126.15,126.25,124.95,124.98,104710
23-Jun-15,126.36,126.68,125.64,126.15,247776
22-Jun-15,126.57,126.81,125.14,126.15,104302
19-Jun-15,126.97,127.31,125.93,126.04,176827
18-Jun-15,126.81,127.55,126.01,127.23,89262
17-Jun-15,126.52,127.18,125.83,126.44,162847
16-Jun-15,125.62,126.54,125.14,126.14,181377
15-Jun-15,125.30,126.15,124.85,125.77,149047
12-Jun-15,126.97,127.50,125.96,126.17,181677
11-Jun-15,126.09,127.84,126.09,127.44,144300
10-Jun-15,125.62,126.52,125.06,125.99,175851
9-Jun-15,125.22,125.40,124.74,125.03,143299
8-Jun-15,125.48,125.88,124.71,125.35,134082
5-Jun-15,125.09,125.72,124.58,125.38,80531
4-Jun-15,125.64,126.07,124.93,125.01,115812
3-Jun-15,126.54,126.76,125.81,126.22,159182
2-Jun-15,125.85,126.46,125.09,126.09,155616
1-Jun-15,126.15,126.52,125.11,126.12,173059
29-May-15,127.26,127.60,125.31,125.72,282876
28-May-15,127.07,127.52,126.44,126.99,153808
27-May-15,127.55,127.79,126.65,127.23,252945
26-May-15,128.05,128.27,126.68,127.13,147304
22-May-15,128.03,128.53,127.79,128.42,103539
21-May-15,128.64,128.85,127.84,128.05,215643
20-May-15,128.77,129.06,127.95,128.87,191555
19-May-15,128.24,130.20,126.83,128.56,276608
18-May-15,125.59,128.11,125.32,128.11,214777
15-May-15,126.46,126.57,125.14,125.56,207144
14-May-15,125.27,126.22,125.01,126.17,214173
13-May-15,125.59,125.70,124.82,124.87,242678
12-May-15,125.38,125.77,124.85,125.22,244898
11-May-15,126.89,127.44,125.85,125.96,244933
8-May-15,127.84,128.08,126.54,126.86,176515
7-May-15,125.51,127.07,124.50,126.91,288464
6-May-15,125.17,126.04,122.04,125.72,289371
5-May-15,126.38,127.47,125.27,126.22,373234
4-May-15,129.14,129.27,126.60,126.89,474374
1-May-15,129.11,129.80,127.97,128.95,296527
30-Apr-15,129.99,130.30,128.16,128.82,302048
29-Apr-15,130.54,130.75,127.95,130.07,411274
28-Apr-15,129.77,130.97,129.51,130.65,301143
27-Apr-15,131.23,131.36,129.48,129.96,263138
24-Apr-15,129.80,130.89,128.98,130.83,258882
23-Apr-15,129.46,130.77,129.46,129.85,236742
22-Apr-15,129.64,129.64,128.34,129.19,119876
21-Apr-15,130.01,130.78,129.35,129.67,103953
20-Apr-15,129.72,129.99,129.22,129.80,127020
17-Apr-15,129.93,130.19,128.85,129.48,118285
16-Apr-15,131.05,131.71,130.36,130.54,155648
15-Apr-15,131.89,132.34,131.23,131.26,142917
14-Apr-15,131.07,131.81,130.49,131.76,142674
13-Apr-15,130.41,131.31,130.33,131.02,118556
10-Apr-15,130.44,131.10,130.08,130.68,124120
9-Apr-15,130.01,130.60,129.51,130.22,145193
8-Apr-15,129.59,130.25,129.14,130.04,238428
7-Apr-15,130.12,130.41,129.38,129.64,170971
6-Apr-15,127.76,130.09,127.73,129.72,156761
2-Apr-15,128.00,128.64,127.50,128.42,169914
1-Apr-15,127.42,128.26,126.60,128.13,261218
31-Mar-15,128.32,128.40,127.18,127.63,302667
30-Mar-15,127.81,129.32,127.47,128.82,141145
27-Mar-15,126.57,127.18,125.85,127.15,194103
26-Mar-15,127.20,127.47,126.36,127.28,239168
25-Mar-15,128.87,129.30,127.55,127.66,232977
24-Mar-15,129.67,129.83,128.74,128.85,179420
23-Mar-15,130.04,130.65,129.77,129.83,160173
20-Mar-15,130.70,131.02,129.67,130.25,387163
19-Mar-15,130.57,131.15,129.51,130.30,234539
18-Mar-15,129.91,131.42,129.35,130.75,214011
17-Mar-15,129.91,130.12,128.77,130.07,239838
16-Mar-15,128.42,130.25,127.87,130.09,372206
13-Mar-15,127.68,128.05,126.57,127.87,301100
12-Mar-15,127.42,127.81,127.02,127.55,307396
11-Mar-15,124.85,126.81,124.82,126.44,270544
10-Mar-15,125.14,125.27,123.42,124.79,193080
9-Mar-15,124.95,126.07,124.32,125.93,145148
6-Mar-15,126.52,127.15,124.81,125.06,167651
5-Mar-15,125.77,127.05,125.32,126.54,118519
4-Mar-15,126.94,126.94,125.46,125.83,188069
3-Mar-15,127.15,127.89,126.15,127.31,632159
2-Mar-15,126.62,127.60,125.83,127.44,502910
27-Feb-15,125.56,126.73,125.30,126.41,426488
26-Feb-15,126.01,126.52,125.28,125.96,332781
25-Feb-15,126.20,126.57,125.65,126.14,172653
24-Feb-15,126.83,127.07,126.17,126.44,319582
23-Feb-15,126.17,126.52,125.59,126.49,193498
20-Feb-15,126.01,126.81,125.14,126.49,352244
19-Feb-15,125.30,126.52,124.95,126.46,522860
18-Feb-15,126.04,126.75,125.24,125.83,497999
17-Feb-15,126.78,127.34,125.27,126.33,392698
13-Feb-15,127.84,128.48,124.42,126.70,657229
12-Feb-15,128.98,129.48,126.28,128.16,523616
11-Feb-15,119.42,127.02,119.42,126.83,689289
10-Feb-15,119.20,119.81,118.52,119.18,309351
9-Feb-15,118.44,119.55,118.15,118.73,307882
6-Feb-15,119.50,119.71,118.73,118.91,213151
5-Feb-15,119.07,119.76,118.62,119.18,230211
4-Feb-15,117.96,119.34,117.24,118.89,341860
3-Feb-15,116.79,118.30,115.63,118.12,225852
2-Feb-15,115.18,116.45,114.41,116.45,221400
30-Jan-15,114.94,115.52,114.30,114.70,261816
29-Jan-15,113.48,115.92,113.40,115.73,525866
28-Jan-15,114.94,114.94,113.43,113.48,249851
27-Jan-15,114.38,115.05,113.99,114.22,224011
26-Jan-15,114.25,115.55,113.64,115.44,214064
23-Jan-15,115.15,115.55,114.38,114.52,188010
22-Jan-15,114.91,115.26,113.64,115.15,512855
21-Jan-15,114.36,115.44,113.91,114.22,261789
20-Jan-15,116.45,116.90,114.25,114.49,366398
16-Jan-15,116.34,116.77,115.66,116.34,266087
15-Jan-15,116.69,117.46,115.47,116.29,239593
14-Jan-15,116.34,116.87,115.62,116.58,237943
13-Jan-15,117.96,119.73,116.69,117.62,418866
12-Jan-15,118.57,118.94,117.48,117.48,270410
9-Jan-15,119.84,119.84,118.36,118.54,307613
