"Date","Open","High","Low","Close","Volume","DOW","log_returns"
2011-01-07,19.26,19.27,19,19.13,324794,"Friday",-0.00156698909055297
2011-01-14,18.6,18.67,18.5,18.58,141036,"Friday",-0.00107584733346355
2011-01-21,18.01,18.07,17.57,17.67,220469,"Friday",-0.0140491212151792
2011-01-28,18.21,18.29,17.78,17.8,136841,"Friday",-0.0205734251100402
2011-02-04,18.23,18.23,17.93,17.98,72535,"Friday",-0.0127108646960421
2011-02-11,18.06,18.34,18.06,18.33,68335,"Friday",0.00986850114075377
2011-02-18,18.4,18.4,18.26,18.34,170220,"Friday",0.00109110758233433
2011-02-25,17.89,18.16,17.89,18.15,69583,"Friday",0.0166670524852113
2011-03-04,17.96,18.01,17.8,17.87,144603,"Friday",0.0016802020194735
2011-03-11,17.7,17.92,17.6,17.75,97498,"Friday",0.00451722958981948
2011-03-18,17.59,18.01,17.45,18.01,191905,"Friday",0.0315875105394285
2011-03-25,18.27,18.45,18.13,18.24,87019,"Friday",0.00219539056343576
2011-04-01,18.7,18.74,18.34,18.43,199955,"Friday",-0.0145437521788092
2011-04-08,18.8,18.85,18.65,18.74,156548,"Friday",0.00374231925664459
2011-04-15,18.16,18.45,18.15,18.42,144140,"Friday",0.0114661370876443
2011-04-29,18.37,18.43,18.29,18.39,112432,"Friday",-0.00217273306550192
2011-05-06,18.51,18.65,18.34,18.41,112702,"Friday",0.00435493339337301
2011-05-13,18.91,18.94,18.54,18.68,104885,"Friday",-0.0132945324205349
2011-05-20,18.86,18.9,18.64,18.76,92149,"Friday",-0.0058464158023801
2011-05-27,18.8,18.91,18.76,18.85,89190,"Friday",0.00798939003347909
2011-06-03,18.77,18.88,18.69,18.69,191271,"Friday",-0.00905465573783948
2011-06-10,19.11,19.12,18.77,18.79,153892,"Friday",-0.0168869448268079
2011-06-17,19.16,19.24,19.06,19.13,329240,"Friday",0.00366588522610556
2011-06-24,19.35,19.41,19.08,19.16,291322,"Friday",-0.00831605624165777
2011-07-01,19.45,19.59,19.4,19.53,296999,"Friday",0.00461894585629441
2011-07-08,19.8,19.99,19.75,19.96,167375,"Friday",0.00100250634962551
2011-07-15,19.22,19.29,19.05,19.12,139598,"Friday",-0.00417537141048063
2011-07-22,19.1,19.1,18.86,18.95,70148,"Friday",-0.0084078267237464
2011-07-29,18.1,18.17,17.87,18.02,169730,"Friday",-0.0104886415593248
2011-08-05,17.6,17.79,16.9,17.51,294552,"Friday",-0.00682985011201831
2011-08-12,18.52,18.76,18.12,18.35,191899,"Friday",-0.0151436101129176
2011-08-19,18.18,18.72,18.16,18.39,184713,"Friday",-0.00108695662875657
2011-08-26,18.18,18.47,18.04,18.38,82757,"Friday",0.00709803689904032
2011-09-02,18.46,18.76,18.37,18.39,158452,"Friday",-0.0177854324332163
2011-09-09,18.14,18.21,17.73,17.87,188725,"Friday",-0.0210417508571639
2011-09-16,18.63,18.7,18.54,18.55,295166,"Friday",0.00215866246803786
2011-09-23,17.61,17.99,17.54,17.91,116585,"Friday",0.0180286573231538
2011-09-30,18.09,18.57,18.01,18.05,168549,"Friday",-0.0153933770727233
2011-10-07,17.73,17.87,17.45,17.49,137124,"Friday",-0.00910649434879529
2011-10-14,17.85,18.13,17.75,18.11,146658,"Friday",0.0183900418095635
2011-10-21,17.97,18.17,17.85,18.17,132867,"Friday",0.0245137623219631
2011-10-28,19.21,19.3,18.88,18.91,145697,"Friday",-0.0178201780634271
2011-11-04,18.52,18.58,18.06,18.23,118653,"Friday",-0.0275916881197045
2011-11-11,18.57,18.86,18.41,18.84,111070,"Friday",0.0236316045332772
2011-11-18,18.73,18.79,18.6,18.67,126113,"Friday",-0.0032085589023656
2011-11-25,17.86,18.14,17.67,17.67,68327,"Friday",-0.0129324265151038
2011-12-02,18.51,18.57,18.34,18.42,73205,"Friday",0.0032626456348166
2011-12-09,18.24,18.65,18.1,18.56,90338,"Friday",0.0190378336185377
2011-12-16,18.97,19.16,18.81,19.15,402935,"Friday",0.0131407935610581
2011-12-23,19.08,19.23,18.9,19.13,69007,"Friday",0.00261711743202087
2011-12-30,19.1,19.3,19.02,19.05,122632,"Friday",-0.00732220844689868
2012-01-06,19.19,19.34,19.19,19.29,71903,"Friday",0.00363542337549116
2012-01-13,18.33,18.47,18.22,18.43,160863,"Friday",-0.00325027371730169
2012-01-20,18.94,19.09,18.83,18.86,131271,"Friday",-0.00792187929502663
2012-01-27,18.67,18.87,18.65,18.85,98265,"Friday",0.00745477360802171
2012-02-03,19.19,19.25,19.15,19.25,147654,"Friday",0.00677615311053792
2012-02-10,18.89,19.02,18.77,18.8,137788,"Friday",-0.0100556549882906
2012-02-17,19.15,19.22,19.11,19.21,84485,"Friday",0.00417319332830379
2012-02-24,18.9,19.06,18.84,19.05,126727,"Friday",0.00473560474583401
2012-03-02,18.99,19.14,18.75,18.95,133987,"Friday",-0.00316122497190241
