"Date","Open","High","Low","Close","Volume","DOW","log_returns"
2011-01-10,19.13,19.2,19.05,19.1,357208,"Monday",-0.00156944839957696
2011-01-24,17.65,17.7,17.51,17.69,178345,"Monday",0.00113122184008896
2011-01-31,17.92,17.96,17.72,17.75,145825,"Monday",-0.00281294137661492
2011-02-07,18.06,18.23,17.96,18.12,74219,"Monday",0.00775627157135883
2011-02-14,18.31,18.39,18.21,18.32,92827,"Monday",-0.000545702605629028
2011-02-28,18.29,18.35,18.15,18.29,109216,"Monday",0.00768390169191457
2011-03-07,17.97,17.97,17.51,17.55,187195,"Monday",-0.0180693792594617
2011-03-14,17.62,17.75,17.55,17.66,112928,"Monday",-0.00508332074561091
2011-03-21,18.2,18.2,17.95,18.01,127519,"Monday",0
2011-03-28,18.36,18.49,18.25,18.4,122198,"Monday",0.00873367996875452
2011-04-04,18.5,18.55,18.38,18.5,149627,"Monday",0.00379096040254723
2011-04-11,18.79,18.79,18.65,18.71,239542,"Monday",-0.00160213652427776
2011-04-18,18.32,18.32,18.05,18.09,132986,"Monday",-0.0180777314199569
2011-04-25,18.16,18.28,18.01,18.18,95011,"Monday",-0.00439078641748969
2011-05-02,18.5,18.5,18.15,18.15,126490,"Monday",-0.0131364779053702
2011-05-09,18.49,18.65,18.39,18.62,139730,"Monday",0.0113422766039348
2011-05-16,18.69,18.77,18.42,18.43,105625,"Monday",-0.0134736611189648
2011-05-23,18.52,18.67,18.45,18.46,97531,"Monday",-0.0161207145033724
2011-06-06,18.67,19.03,18.62,18.71,221444,"Monday",0.00106951881852657
2011-06-13,18.94,19,18.75,18.77,183651,"Monday",-0.00106496282695634
2011-06-20,19.15,19.33,19.03,19.32,194324,"Monday",0.00988304533221074
2011-06-27,19.22,19.44,19.13,19.42,187295,"Monday",0.0134786903204644
2011-07-11,19.88,20,19.8,19.8,186740,"Monday",-0.00804833318282805
2011-07-18,19.01,19.01,18.46,18.66,280009,"Monday",-0.0243527122040574
2011-07-25,18.77,18.84,18.46,18.48,159787,"Monday",-0.0251148653148974
2011-08-01,18.24,18.37,17.91,18.25,216195,"Monday",0.0126828278483089
2011-08-08,16.95,17.51,16.77,16.77,567107,"Monday",-0.0431805704626433
2011-08-15,18.51,18.86,18.51,18.81,212513,"Monday",0.0247590688123598
2011-08-22,18.75,18.75,18.13,18.33,152271,"Monday",-0.00326797676461643
2011-08-29,18.49,19,18.49,18.98,111589,"Monday",0.0321226762542408
2011-09-12,17.68,17.99,17.63,17.97,124311,"Monday",0.00558037162413072
2011-09-19,18.34,18.56,18.17,18.43,110747,"Monday",-0.0064900173717124
2011-09-26,17.99,18.51,17.91,18.46,179908,"Monday",0.0302470130020858
2011-10-03,17.73,18.07,17,17,287944,"Monday",-0.0599323407226739
2011-10-10,17.69,18.12,17.66,18.11,140319,"Monday",0.0348349828648118
2011-10-17,18.02,18.4,17.9,18.19,248178,"Monday",0.00440772063470884
2011-10-24,18.22,18.39,18.16,18.38,145487,"Monday",0.0114912345194611
2011-10-31,18.65,19.02,18.55,18.88,140757,"Monday",-0.00158772195301182
2011-11-07,18.14,18.53,18.11,18.52,143812,"Monday",0.0157826405274615
2011-11-14,18.79,18.79,18.44,18.58,114800,"Monday",-0.0138965357625249
2011-11-21,18.49,18.61,18.4,18.43,124008,"Monday",-0.0129381858718998
2011-11-28,18.03,18.24,17.92,18.03,228026,"Monday",0.0201687508836206
2011-12-05,18.56,18.79,18.44,18.62,100330,"Monday",0.0107992410217603
2011-12-12,18.37,18.71,18.27,18.7,156405,"Monday",0.00751479650248665
2011-12-19,19.17,19.19,18.53,18.79,158872,"Monday",-0.0189779022012808
2012-01-09,19.24,19.32,18.97,19,204134,"Monday",-0.0151478477511975
2012-01-23,18.93,18.93,18.64,18.76,126579,"Monday",-0.00531633362723261
2012-01-30,18.77,18.92,18.75,18.89,121998,"Monday",0.00211976761939825
2012-02-06,19.04,19.25,18.75,18.98,257025,"Monday",-0.0141252675520116
2012-02-13,18.89,19,18.79,18.97,108074,"Monday",0.00900191411101892
2012-02-27,18.97,19.13,18.81,19.05,85492,"Monday",0
2012-03-05,19.02,19.33,18.95,19.3,221910,"Monday",0.0183011643824043
2012-03-12,19.75,19.75,19.61,19.72,141159,"Monday",-0.00101368483084618
2012-03-19,19.45,19.81,19.44,19.65,136036,"Monday",0.004590673708599
2012-03-26,19.68,19.85,19.6,19.69,123980,"Monday",0.00662422804436291
2012-04-02,19.55,19.63,19.43,19.63,140455,"Monday",0
2012-04-09,19.35,19.4,19.29,19.3,134165,"Monday",-0.0113344850741068
2012-04-16,18.65,18.99,18.62,18.89,126556,"Monday",0.0122504860942203
2012-04-23,18.81,18.82,18.62,18.77,114728,"Monday",-0.0127053059019202
2012-04-30,19.4,19.41,19.26,19.35,105372,"Monday",-0.000516662372640031
2012-05-07,18.16,18.22,18.05,18.18,222302,"Monday",-0.00109950533341685
2012-05-14,17.79,18.19,17.16,17.43,351321,"Monday",-0.0226895723431193
2012-05-21,17.15,17.25,16.76,16.97,279471,"Monday",-0.0122988373099746
2012-06-04,14.57,14.84,14.52,14.74,424595,"Monday",0.0122868439926505
2012-06-11,14.93,14.93,14.4,14.4,300779,"Monday",-0.0199387836038309
2012-06-18,14.3,14.4,14.19,14.25,156571,"Monday",-0.0118592251421434
2012-06-25,14.29,14.5,14.12,14.45,199510,"Monday",0.000692281093761071
2012-07-02,14.89,15.32,14.8,15.32,384019,"Monday",0.0345319835423759
2012-07-09,16.83,17.3,16.64,17.25,521593,"Monday",0.0360027080843062
2012-07-16,17.09,17.15,16.34,16.39,469858,"Monday",-0.0470745238003709
2012-07-23,15.47,15.72,15.19,15.69,328331,"Monday",0
2012-07-30,15.68,15.85,15.6,15.71,204188,"Monday",0
2012-08-06,16.12,16.44,16.08,16.19,252117,"Monday",0.00681750393872393
2012-08-13,16.11,16.24,16,16.08,109455,"Monday",-0.00681750393872393
2012-08-20,16.28,16.4,16.21,16.28,138081,"Monday",-0.0049019706002067
2012-08-27,16.32,16.4,16.14,16.37,154501,"Monday",0.00920534269577677
2012-09-10,16.77,17.08,16.75,17,213055,"Monday",0.0106446895114143
2012-09-17,16.93,17.05,16.85,17.05,148284,"Monday",0.00352526804568498
2012-09-24,17.69,17.98,17.5,17.65,207838,"Monday",-0.00790071829843786
2012-10-01,17.21,17.4,17.16,17.23,172238,"Monday",0.00232423114508018
2012-10-08,17.41,17.54,17.29,17.37,215177,"Monday",-0.00172562596746939
2012-10-15,16.32,16.44,16.19,16.28,144740,"Monday",-0.00245398896156646
2012-10-22,15.74,15.91,15.69,15.83,165738,"Monday",0.00379747291797372
2012-11-05,15.07,15.27,15.01,15.09,168545,"Monday",-0.00198609797162952
2012-11-12,14.81,14.87,14.61,14.66,92240,"Monday",-0.00476353401603369
2012-11-19,13.67,13.94,13.67,13.94,192970,"Monday",0.0261642832018278
2012-11-26,14.05,14.44,14,14.36,188584,"Monday",0.0232486695057084
2012-12-03,15.15,15.18,14.93,15.18,171260,"Monday",0.00926545344579033
2012-12-10,14.84,15.1,14.82,15.06,217102,"Monday",0.00399202126953746
2012-12-17,15.47,15.76,15.46,15.76,196007,"Monday",0.0192190412704569
2012-12-24,15.88,15.88,15.64,15.73,80162,"Monday",-0.0120064633460508
2012-12-31,15.78,15.95,15.57,15.91,191272,"Monday",0.0101074770780532
2013-01-07,16.71,16.96,16.7,16.87,185865,"Monday",0.00952955395057442
2013-01-14,16.82,16.82,16.66,16.8,288177,"Monday",-0.00297177038915741
2013-01-28,16.93,17.16,16.88,17.12,157374,"Monday",0.00938974034983886
2013-02-04,17.36,17.36,17.08,17.17,164550,"Monday",-0.0144552965149729
2013-02-11,17.5,17.5,17.27,17.31,88744,"Monday",-0.00977300103927137
2013-02-25,16.89,16.95,16.6,16.6,214307,"Monday",-0.0113807757269515
2013-03-04,16.38,16.57,16.38,16.51,104249,"Monday",0.00851586654899306
2013-03-11,16.87,16.87,16.3,16.67,212765,"Monday",-0.0225395069668228
2013-03-18,17.43,17.72,17.41,17.6,109996,"Monday",-0.00227014853453911
2013-03-25,17.77,17.95,17.74,17.86,110240,"Monday",0.0050519332817931
2013-04-01,17.59,17.72,17.45,17.55,184495,"Monday",0
2013-04-08,17.48,17.65,17.28,17.43,214117,"Monday",-0.0028645106954599
2013-04-15,18.02,18.05,17.37,17.45,270799,"Monday",-0.0332518659860415
2013-04-22,17.22,17.33,16.96,17.29,157213,"Monday",0.00813012608325048
2013-04-29,18.1,18.27,18.08,18.17,121652,"Monday",0.00496552744404966
2013-05-06,18.07,18.18,17.76,17.83,167192,"Monday",-0.0105998203051429
2013-05-13,18.5,18.69,18.13,18.6,190232,"Monday",0.0064725145056177
2013-05-20,18.95,19.09,18.79,18.88,130824,"Monday",-0.003700770811081
2013-06-03,17,17.2,16.82,17.18,308858,"Monday",0.00994451014833908
2013-06-10,17.18,17.28,17.04,17.27,115919,"Monday",0.0104773950310877
2013-06-17,17.55,17.82,16.85,17.02,163154,"Monday",-0.0203554571077857
