"Date","Open","High","Low","Close","Volume","DOW","log_returns"
2011-01-07,14.6,14.83,14.21,14.48,1050919,"Friday",-0.00825314175672043
2011-01-14,14.57,14.67,14.23,14.54,970052,"Friday",-0.00137457066316671
2011-01-21,13.8,13.92,13.68,13.76,1535357,"Friday",0.00510019320484023
2011-01-28,14.22,14.6,13.8,13.93,2218363,"Friday",-0.0469767409225765
2011-02-04,14.29,14.63,14.22,14.58,1148910,"Friday",0.0214912950917672
2011-02-11,15.34,15.57,15.19,15.5,836036,"Friday",0.00647251450561726
2011-02-18,16.22,16.5,16.11,16.2,2949178,"Friday",-0.019560525854494
2011-02-25,15.18,15.39,14.95,15.26,1367551,"Friday",0.0158523795203225
2011-03-04,16.06,16.16,15.78,16,1122271,"Friday",-0.00995033085316832
2011-03-11,15.36,15.75,15.17,15.61,2171302,"Friday",0.0122463663921573
2011-03-18,15.82,16.35,15.74,16.18,2857321,"Friday",0.0301151992760835
2011-03-25,17.85,18.44,17.72,18,2287455,"Friday",0.0134230203321404
2011-04-01,18.33,18.34,17.6,17.94,1538179,"Friday",0.00167364055802954
2011-04-08,18.68,18.75,18.19,18.37,926145,"Friday",-0.00542889498411414
2011-04-15,18.19,18.62,18.19,18.47,1206906,"Friday",0.00979333180837427
2011-04-29,19.11,19.14,18.77,18.96,980839,"Friday",-0.00263365967346196
2011-05-06,18.59,18.64,18.18,18.41,1072388,"Friday",0.00872891521648578
2011-05-13,18.52,18.53,18.1,18.21,1145797,"Friday",-0.0114661370876443
2011-05-20,17.57,17.65,16.99,17.3,1334940,"Friday",-0.0200292818755723
2011-05-27,17.23,17.53,17.17,17.43,725977,"Friday",0.0150291846225454
2011-06-03,16.63,17,16.53,16.74,1412467,"Friday",-0.0142351158218723
2011-06-10,16.07,16.17,15.68,15.99,1497486,"Friday",-0.0148978546806369
2011-06-17,15.97,16.08,15.59,15.7,1610402,"Friday",-0.00571611591328836
2011-06-24,15.99,16.06,15.4,15.8,1390619,"Friday",-0.00630916919326507
2011-07-01,17.15,17.45,17.02,17.36,1002913,"Friday",0.0156752121047048
2011-07-08,17.41,17.55,17.28,17.5,663754,"Friday",-0.0130572391566481
2011-07-15,16.09,16.23,15.66,15.74,1459717,"Friday",-0.0188803594491112
2011-07-22,16.08,16.56,16,16.39,1348717,"Friday",0.0190951290049184
2011-07-29,14.97,15.79,14.69,15.11,1515838,"Friday",-0.00330360392957774
2011-08-05,14.1,14.35,12.97,13.51,4816764,"Friday",-0.0241327982174164
2011-08-12,12.81,13.14,12.43,12.92,2213051,"Friday",0.0203290816384256
2011-08-19,11.48,11.9,11.34,11.61,3364862,"Friday",-0.0102828669555839
2011-08-26,11.25,11.98,11.03,11.92,2675359,"Friday",0.048999917709792
2011-09-02,12.62,12.82,12.19,12.35,1552738,"Friday",-0.0489829352543665
2011-09-09,12.07,12.77,11.55,11.74,1520966,"Friday",-0.0408901352991307
2011-09-16,12.96,13.04,12.6,12.83,2118110,"Friday",-0.00776401415622097
2011-09-23,10.39,10.67,10.2,10.51,1306058,"Friday",0.0163073158085765
2011-09-30,9.97,10.07,9.66,9.67,1667432,"Friday",-0.0415249531780195
2011-10-07,10.64,11.2,10.54,10.61,4035855,"Friday",0.0325699286854246
