"Date","Open","High","Low","Close","Volume","DOW","log_returns"
2011-01-10,14.41,14.53,14.08,14.28,1336649,"Monday",-0.0139084300461323
2011-01-24,13.7,14.43,13.51,14.01,2110596,"Monday",0.0180055278437181
2011-01-31,14.09,14.13,13.73,13.84,1592468,"Monday",-0.00648183760219068
2011-02-07,14.63,15.33,14.59,14.95,1818387,"Monday",0.0250605732561833
2011-02-14,15.45,15.63,15.34,15.52,1146050,"Monday",0.00128949082987173
2011-02-28,15.35,15.35,15,15.32,1011355,"Monday",0.00392413845613415
2011-03-07,16.04,16.11,15.33,15.37,1522971,"Monday",-0.0401711646892768
2011-03-14,15.32,15.65,15.16,15.6,1576331,"Monday",-0.000640820271849307
2011-03-21,16.23,16.58,16.07,16.48,1952137,"Monday",0.0183716128509799
2011-03-28,18.16,18.37,17.89,18.26,1336478,"Monday",0.014341117270658
2011-04-04,17.96,18.2,17.88,18.13,2065102,"Monday",0.0105351681361094
2011-04-11,18.34,18.49,18,18.09,828648,"Monday",-0.0153595998198304
2011-04-18,18.11,18.26,17.91,18.24,1596031,"Monday",-0.012530809564963
2011-04-25,19.15,19.36,19.05,19.2,1276728,"Monday",0
2011-05-02,19.08,19.08,18.63,18.7,866129,"Monday",-0.013807972966335
2011-05-09,18.31,18.61,17.81,18.47,1940874,"Monday",0.00325379896616207
2011-05-16,18.12,18.16,17.69,17.78,1697309,"Monday",-0.0238966636537579
2011-05-23,17.07,17.12,16.65,16.81,1485165,"Monday",-0.0287325540832093
2011-06-06,16.49,16.83,16.08,16.13,1468350,"Monday",-0.0371201729242117
2011-06-13,16.03,16.23,15.62,15.96,1368728,"Monday",-0.00187793482420018
2011-06-20,15.61,16.03,15.43,15.9,1499874,"Monday",0.0126583968719238
2011-06-27,15.8,16.53,15.75,16.53,2526555,"Monday",0.0451669718000121
2011-07-11,17.12,17.32,16.71,16.84,1129960,"Monday",-0.038443872115288
2011-07-18,15.73,15.73,15.42,15.47,1451970,"Monday",-0.0173025784042822
2011-07-25,16.1,16.26,16.09,16.13,784723,"Monday",-0.0159905006186212
2011-08-01,15.41,15.55,14.82,15.12,1219322,"Monday",0.000661594466738968
2011-08-08,12.9,13.15,11.52,11.92,6544982,"Monday",-0.125212490334904
2011-08-15,13.15,13.3,13.04,13.26,1809702,"Monday",0.0259754864032606
2011-08-22,12,12.11,11.33,11.39,3481242,"Monday",-0.0191310182507092
2011-08-29,12.08,12.65,12.06,12.61,2034548,"Monday",0.0562724883396246
2011-09-12,11.53,11.89,11.16,11.45,3312134,"Monday",-0.0250120843997017
2011-09-19,12.57,12.72,12.25,12.53,1980130,"Monday",-0.0236604097195681
2011-09-26,10.66,10.78,10.16,10.7,1102080,"Monday",0.0179165565790007
2011-10-03,9.53,9.74,8.89,8.89,2674287,"Monday",-0.0841012599393895
2011-10-10,10.93,11.4,10.86,11.22,2288049,"Monday",0.0559009474686589
2011-10-17,12.09,12.16,11.47,11.51,1600971,"Monday",-0.0573997207593888
2011-10-24,12.23,13.07,12.2,12.9,2428263,"Monday",0.0541533576241773
2011-10-31,14.02,14.56,14,14.1,2297642,"Monday",-0.0362156569375101
2011-11-07,13.66,13.79,13.17,13.54,1330417,"Monday",-0.0124772260900943
2011-11-14,13.81,13.91,13.49,13.7,1772574,"Monday",-0.00872098550544465
2011-11-21,12.26,12.6,12.17,12.46,2331683,"Monday",-0.0103793346969487
2011-11-28,11.84,11.9,11.41,11.49,2137670,"Monday",0.0202204691491201
2011-12-05,12.35,12.5,11.97,12.15,2177810,"Monday",-0.00246609249519336
2011-12-12,11.48,11.58,11.22,11.39,1513672,"Monday",-0.0268530643446194
2011-12-19,11.02,11.14,10.39,10.4,1817422,"Monday",-0.0524464753725424
2012-01-09,11.23,11.54,11.05,11.44,2226709,"Monday",0.0220954636278181
2012-01-23,13.28,13.63,13.24,13.54,1698745,"Monday",0.0148812269966512
2012-01-30,14.35,14.6,14.17,14.44,1300650,"Monday",-0.0110193952496109
2012-02-06,14.77,15.09,14.71,15.05,1368435,"Monday",0.0127049519052718
2012-02-13,15.18,15.31,14.95,15.08,1384108,"Monday",0.00865806274311431
2012-02-27,13.17,13.32,12.94,13.22,3163586,"Monday",-0.00452830962474726
2012-03-05,12.77,13.13,12.74,13.12,2027935,"Monday",0.025474167925192
2012-03-12,13.57,13.67,13.25,13.29,991730,"Monday",-0.0237929439382207
2012-03-19,14.32,14.57,14.17,14.23,1642891,"Monday",-0.0035075448096773
2012-03-26,14.3,14.55,14.29,14.45,1406352,"Monday",0.0209797904691942
2012-04-02,14.11,14.33,13.9,14.26,1505157,"Monday",0.00774379089690314
2012-04-09,13.67,13.92,13.48,13.51,1208896,"Monday",-0.0363412083768084
2012-04-16,12.69,12.81,12.48,12.58,1093592,"Monday",-0.00633916544373569
2012-04-23,12.13,12.18,11.93,12.1,1460938,"Monday",-0.0155804709752481
2012-04-30,13.09,13.25,12.85,13.16,1507984,"Monday",0.00152091284070677
2012-05-07,15.56,16.83,15.35,16.6,2471863,"Monday",0.0430835861363117
2012-05-14,15.9,15.93,15.38,15.45,2057949,"Monday",-0.0405889576605372
2012-05-21,13.69,14.58,13.5,14.44,2783888,"Monday",0.0606679053016275
2012-06-04,13.41,13.55,12.86,13.14,1463706,"Monday",-0.0181000416436179
2012-06-11,13.68,13.81,13.28,13.35,2168525,"Monday",-0.00746272120158986
2012-06-18,13.78,14.33,13.62,14.3,2022518,"Monday",0.0190616431514918
2012-06-25,14.29,14.43,13.87,14.07,996698,"Monday",-0.0301037783002309
2012-07-02,15.19,15.4,14.9,15.37,985864,"Monday",0.0111221296982738
2012-07-09,15.83,15.89,15.37,15.54,1300667,"Monday",-0.0241588354767357
2012-07-16,15.15,15.16,14.77,15,876176,"Monday",-0.0165293019512105
2012-07-23,14.09,14.31,13.91,14.18,904174,"Monday",-0.0195536956266373
2012-07-30,14.63,14.84,14.16,14.77,1541024,"Monday",0.0102076422216557
2012-08-06,15.25,15.5,14.98,15.23,1960201,"Monday",0.00394737354662933
2012-08-13,15.32,15.7,15.24,15.63,945242,"Monday",0.0135267762982019
2012-08-20,16.24,16.34,15.9,16.04,840268,"Monday",-0.0166928141945539
2012-08-27,16.9,17.9,16.25,16.51,3663230,"Monday",0.0326283175939079
2012-09-10,16.64,16.91,16.56,16.72,824781,"Monday",0.00119688823384578
2012-09-17,17.27,17.36,16.98,17.05,564320,"Monday",-0.0203200024909576
2012-09-24,16.65,16.75,16.06,16.12,899416,"Monday",-0.0413181493307309
2012-10-01,15.5,15.83,15.32,15.46,1111616,"Monday",0.00518807908177799
2012-10-08,16.67,17.03,16.25,16.93,755296,"Monday",0.00651854160024223
2012-10-15,17.01,17.57,16.93,17.51,1238750,"Monday",0.0307359654145594
2012-10-22,17.01,17.12,16.84,17.06,545835,"Monday",0.00234741891830481
2012-11-05,16.3,16.5,16.1,16.22,966222,"Monday",-0.0146881465616571
2012-11-12,16.8,17.59,16.76,17.04,1853063,"Monday",0.0237540860081067
2012-11-19,16.79,17.36,16.62,17.34,1444665,"Monday",0.0496555904458611
2012-11-26,17.63,17.69,17.35,17.63,583103,"Monday",-0.00452745538496346
2012-12-03,19.1,19.33,18.82,18.91,1172670,"Monday",-0.00158520508756599
2012-12-10,19.05,19.25,19.01,19.16,1950102,"Monday",0.00523287431665853
2012-12-17,19.16,19.28,19.06,19.13,1090261,"Monday",0
2012-12-24,20.17,20.17,19.36,20.12,456435,"Monday",-0.00248200673458188
2012-12-31,19.39,20,19.39,19.82,963412,"Monday",0.0224499224392218
2013-01-07,21.54,21.7,21.32,21.59,1832999,"Monday",-0.00738351300797691
2013-01-14,20.92,21.35,20.92,21.24,1003629,"Monday",0.0156586829331955
2013-01-28,21.92,22.21,21.65,22.01,1316579,"Monday",0.000909090971700444
2013-02-04,22.41,22.61,21.93,22.18,989237,"Monday",-0.020968870006822
2013-02-11,22.86,22.92,22.44,22.84,722233,"Monday",-0.000875273578854863
2013-02-25,24.18,24.97,23.02,23.08,3612490,"Monday",-0.0239737508979987
2013-03-04,23.53,23.97,23.41,23.95,1831132,"Monday",0.0172672220247936
2013-03-11,25.8,26.19,25.49,26.11,1920934,"Monday",0.0115563689805152
2013-03-18,27.5,28.06,27.08,28.03,2491357,"Monday",-0.00249421116300308
2013-03-25,27.63,28,26.31,26.76,2064138,"Monday",-0.0207107994425613
2013-04-01,27.84,28.21,27.22,27.58,1683341,"Monday",-0.00902370317264367
2013-04-08,26.97,27.96,26.94,27.93,1193052,"Monday",0.023547546981824
2013-04-15,28.79,28.84,27.28,27.48,2602423,"Monday",-0.0548713106823899
2013-04-22,28.02,28.35,27.46,27.95,1544472,"Monday",-0.00178731057409554
2013-04-29,29.16,29.38,28.45,28.87,2513862,"Monday",-0.00724765899047508
2013-05-06,29.7,30.35,29.5,30.18,1334187,"Monday",0.016706035040523
2013-05-13,30.85,30.85,29.85,30.57,2100011,"Monday",-0.0117074507942352
2013-05-20,32.05,32.63,31.78,31.95,1544136,"Monday",-0.00250078279752319
2013-06-03,33.23,33.57,32.29,33.17,2214720,"Monday",0.000301522691867007
2013-06-10,33.86,34.14,33.45,33.7,875878,"Monday",0.00356718570892145
