"Date","Open","High","Low","Close","Volume","DOW","log_returns"
2011-01-07,90.98,91.3,90.27,91.19,6350343,"Friday",0.00549814448609798
2011-01-14,92.12,92.88,91.82,92.83,5563772,"Friday",0.00702667611947838
2011-01-21,93.37,93.94,93.1,93.78,7433741,"Friday",0.0114752720425493
2011-01-28,94.49,94.85,92.93,93.37,12448042,"Friday",-0.014671749466701
2011-02-04,96.93,97.33,96.52,97.11,10529644,"Friday",-0.00205740222763495
2011-02-11,96.09,97.18,95.89,96.45,7326729,"Friday",-0.00258866310751049
2011-02-18,97.41,98.81,97.03,98.72,8860412,"Friday",0.0158255383057302
2011-02-25,101.71,102.63,101.35,102.1,8523958,"Friday",0.000685837483406004
2011-03-04,104.13,104.78,102.5,103.75,9846175,"Friday",-0.00423199631328419
2011-03-11,98.1,100.75,97.6,99.93,6865583,"Friday",0.00854233625253897
2011-03-18,103.37,103.97,102.36,102.8,11376734,"Friday",0.00546236239184061
2011-03-25,105.72,107.01,105.38,106.78,8986687,"Friday",0.0131977782909001
2011-04-01,108.29,108.78,107.51,108.32,6499084,"Friday",0.00769198917899239
2011-04-08,109.35,109.94,109.14,109.66,6734716,"Friday",0.00658739802037456
2011-04-15,105.52,106.5,104.35,106.24,8871650,"Friday",0.012883846272679
2011-04-29,108.48,109.6,107.78,109.44,6755827,"Friday",0.00577321191131919
2011-05-06,103.34,104.45,102,102.88,9533770,"Friday",0.00253041497548967
2011-05-13,103.45,103.49,101.27,102.39,8959943,"Friday",-0.00360712065495772
2011-05-20,103.55,103.81,101.77,102.57,8767965,"Friday",-0.0125946249204008
2011-05-27,103.64,104.22,102.53,103.21,5796656,"Friday",-0.00145229245644973
2011-06-03,99.73,101.69,99.57,101,7692295,"Friday",-0.0011874135572878
2011-06-10,100.94,101,98.98,99.67,9113844,"Friday",-0.0155304266312957
2011-06-17,100.23,100.84,98.73,99.17,12037162,"Friday",-0.00261832979394772
2011-06-24,99.54,99.74,97.81,97.9,8032598,"Friday",-0.0148030686487042
2011-07-01,102.71,104.19,102.01,104.09,6579693,"Friday",0.0120815271296877
2011-07-08,105.45,106,105.07,105.89,6334821,"Friday",-0.00658887925868257
2011-07-15,105.68,106.3,105.14,106.19,10161078,"Friday",0.0144173985489617
2011-07-22,109.39,109.66,108.82,108.97,5415613,"Friday",-0.00421246044155676
2011-07-29,103.72,105.23,103.07,104.02,9698897,"Friday",-0.00966283528975787
2011-08-05,98.03,99.34,93.82,97.61,17596348,"Friday",0.00791981511701589
2011-08-12,95.64,97.05,94.92,95.86,13365378,"Friday",0.018849607747625
2011-08-19,92.09,95.36,92.08,93.29,13452849,"Friday",0.000536106805313352
2011-08-26,94.68,97.35,93.36,96.85,9216683,"Friday",0.00923195188151116
2011-09-02,96.31,97.06,95.07,96.41,8978196,"Friday",-0.0216496425760475
2011-09-09,97.01,97.39,94.78,95.19,13346809,"Friday",-0.03326753064768
2011-09-16,100,100.16,98.29,99.63,13862870,"Friday",0.00372065389747078
2011-09-23,90.13,90.84,88.56,90.01,12228151,"Friday",-0.00177600224282148
2011-09-30,92.96,94.8,92.52,92.59,11919556,"Friday",-0.0192539908768969
2011-10-07,95.67,95.73,93.66,94.4,10534505,"Friday",-0.00222210556489788
2011-10-14,98.97,100.56,98.85,100.47,7366119,"Friday",0.0270368531500393
2011-10-21,104.5,105.84,104.21,105.53,10886876,"Friday",0.0204870270843971
2011-10-28,108.85,109.99,107.26,109.64,10341886,"Friday",0.00347190846701295
2011-11-04,105.75,106.6,104.48,106.43,8403964,"Friday",0.00282273427922242
2011-11-11,106.69,107.52,106.61,107.05,6352503,"Friday",0.0145850621195702
2011-11-18,100.52,101.5,97.52,97.88,13677206,"Friday",-0.0222276275841846
2011-11-25,94.03,94.45,92.29,92.29,5257266,"Friday",-0.0156958715730342
2011-12-02,103.04,103.19,101.5,101.69,6638101,"Friday",-0.00137578638052727
2011-12-09,102.74,104.5,102.71,104.25,6624080,"Friday",0.0193710657559993
2011-12-16,100.32,100.86,99.59,100.86,14709715,"Friday",0.0118686876692147
2011-12-23,106.63,107.61,106.1,107.5,3779599,"Friday",0.0111314932672029
2011-12-30,106.79,107.5,106.18,106.4,5010355,"Friday",-0.0100061619455181
2012-01-06,109.41,109.61,108.09,108.31,8214829,"Friday",-0.00726740699137896
2012-01-13,104.62,106.15,103.51,106.09,8268333,"Friday",0.0106131954234732
2012-01-20,106.95,107.2,106.25,106.89,7285050,"Friday",-0.000374146482711168
2012-01-27,104.39,104.67,103.12,103.96,10581990,"Friday",-0.0249834889277558
2012-02-03,104.91,105.6,104.48,105.5,6819797,"Friday",0.0173052743459348
2012-02-10,105.19,105.52,104.58,105.28,6138175,"Friday",-0.0103001146865669
2012-02-17,107.02,107.24,106.04,106.66,5666749,"Friday",0.00131344422672441
2012-02-24,108.8,109.4,108.5,109.08,5834328,"Friday",0.00671482999501993
2012-03-02,109.5,109.87,109,109.61,5377442,"Friday",-0.00136755274994371
2012-03-09,109.89,110.41,109.37,109.57,5704314,"Friday",-0.00418944146451938
2012-03-16,110.43,110.83,110.1,110.28,11092847,"Friday",0.0022695302737743
2012-03-23,105.68,106.9,104.85,106.36,6603094,"Friday",0.00954142612462139
2012-03-30,107.04,107.24,106.41,107.21,6122596,"Friday",0.0033635461029915
2012-04-13,102.29,102.36,100.72,100.78,6848072,"Friday",-0.0178005388471689
2012-04-20,103.11,103.84,102.42,102.52,5816719,"Friday",9.75467005606134e-05
2012-04-27,106.78,106.8,105.67,106.2,4998852,"Friday",-0.000188306186414522
2012-05-04,105.27,105.49,103.26,103.72,6241203,"Friday",-0.0216497893687002
2012-05-11,102.95,103.95,102.47,102.69,4944684,"Friday",-0.00650329882408762
2012-05-18,100.48,100.75,98.24,98.46,11137897,"Friday",-0.0169188325717435
2012-05-25,100.04,100.24,98.42,98.86,5561632,"Friday",-0.0120652981812457
2012-06-01,96.65,97.29,96.02,96.41,9244037,"Friday",-0.0195158207025434
2012-06-08,99.89,101,99.69,100.84,5763644,"Friday",0.00447250161628432
2012-06-15,103,104.5,102.64,104.33,11091450,"Friday",0.0233707606560252
2012-06-22,100.65,101.12,99.58,100.44,11713363,"Friday",0.00419036829862662
2012-06-29,105.32,105.51,104.35,105.5,10651700,"Friday",0.0195258883407519
2012-07-06,104.99,105.35,104.39,105.07,4612023,"Friday",-0.00909527823702305
2012-07-13,105.34,106.19,104.87,106.01,6771892,"Friday",0.00928740565032182
2012-07-20,108.16,109.25,107.5,109.19,9371207,"Friday",0.00321057011092929
2012-07-27,109.38,109.5,107.13,109.26,8340173,"Friday",0.0091022556447653
2012-08-03,111.14,111.88,110.9,111.12,5967565,"Friday",0.0169718644703893
2012-08-10,111.96,113.64,111.28,113.55,5107883,"Friday",0.008135158491962
2012-08-17,113.31,113.57,112.51,112.66,5642517,"Friday",-0.00584124149574805
2012-08-24,110.77,112.2,110.76,112.01,3453250,"Friday",0.00644874603831447
2012-08-31,111.67,112.95,111.67,112.16,5557680,"Friday",0.0110270515357112
2012-09-07,112.97,114,112.74,114,5058175,"Friday",0.00854517819185574
2012-09-14,116.93,118.22,116.48,117.25,8979577,"Friday",0.00590224543943929
2012-09-21,118.53,118.53,117.47,117.8,10282633,"Friday",-0.000424358164654137
2012-09-28,116.88,116.89,116.15,116.56,5635284,"Friday",-0.00547571525596346
2012-10-05,117.42,118.25,117.12,117.5,4508112,"Friday",0.00298316863040871
2012-10-12,113.08,113.29,111.61,112.07,5916013,"Friday",-0.00879497518320882
2012-10-19,114.9,114.99,113.11,113.38,7160504,"Friday",-0.0112262185840795
2012-10-26,110.67,111.69,110.58,111.18,4777575,"Friday",0.00198073351874672
2012-11-02,110.7,111.21,107.57,108.37,8375390,"Friday",-0.0281144842064869
2012-11-09,105.26,106.69,105.08,105.84,5835170,"Friday",-0.000283406548588161
2012-11-16,101.56,102.49,101,102.4,8242516,"Friday",0.00764634643982109
2012-11-23,104.87,105.47,104.46,105.47,2776380,"Friday",0.0130745766675995
2012-11-30,106.1,106.37,105.27,105.69,6677143,"Friday",-0.000945715977427319
2012-12-07,106.73,107,106.14,106.99,4948392,"Friday",0.00505998081102632
2012-12-14,107.61,108.39,107.4,107.82,5890063,"Friday",-0.00083437635211947
2012-12-21,109.57,110.3,108.56,109.71,15620698,"Friday",-0.00608843718195562
2012-12-28,107.68,107.78,106.3,106.45,5277398,"Friday",-0.0192590964512425
2013-01-04,109.99,110.62,109.9,110.5,4414546,"Friday",0.00526269248376909
2013-01-11,111.2,112.08,110.8,111.73,5458248,"Friday",0.0113412556750623
2013-01-18,115.23,115.24,114.06,115.24,8543505,"Friday",0.0043482110426023
2013-01-25,115.52,116.38,115.15,116.2,4745906,"Friday",0.00604231445596337
2013-02-01,115.84,116.69,115.05,116.5,6418181,"Friday",0.0116556467390616
2013-02-08,114.93,115.78,114.9,115.64,4457118,"Friday",0.00537589086253742
2013-02-15,115.5,115.7,114.03,114.96,6353402,"Friday",-0.00650281911747719
2013-02-22,115.51,116.23,114.82,115.96,5207873,"Friday",0.00840013599288181
2013-03-01,116.73,117.24,115.95,116.9,5570247,"Friday",-0.00213629647578184
2013-03-08,118.95,119.11,117.99,118.57,4992714,"Friday",8.43419222027464e-05
2013-03-15,119.59,119.92,118.91,119.68,10223474,"Friday",-0.0026702285558784
2013-03-22,120.66,121.4,120.48,121.18,5190800,"Friday",0.00695597372463741
2013-04-05,116.64,117.64,116.17,117.52,5030210,"Friday",-0.00466913705339689
2013-04-12,120.46,120.9,119.5,119.94,6391928,"Friday",-0.00838561931567305
2013-04-19,116.36,116.95,115.83,115.9,7573485,"Friday",0.00267830303952987
2013-04-26,119,120.41,118.68,120.04,6012549,"Friday",0.0128276753718097
2013-05-03,122.69,123.91,122.46,123.49,6384994,"Friday",0.0118113212812618
2013-05-10,123.38,123.71,122.12,123.23,10582385,"Friday",-0.00332158931388449
2013-05-17,122.74,123.42,122.27,123.42,6850911,"Friday",0.00536194314138605
2013-05-24,124.5,125.56,124.33,125.45,5593485,"Friday",0.000398644613611054
2013-05-31,124.64,125.3,122.75,122.75,7909239,"Friday",-0.0190435836546792
2013-06-07,121.22,121.97,120.14,121.7,6090252,"Friday",0.00916263787798055
2013-06-14,121.13,121.68,120.1,120.28,4414709,"Friday",-0.0114079107722311
2013-06-21,119.24,119.54,117.26,118.93,10692108,"Friday",0.00827427888547039
2013-06-28,118.79,119.56,118.14,118.34,6506617,"Friday",-0.00312170681689494
2013-07-05,119.69,120.86,119.1,120.51,4388524,"Friday",0.0119372008917251
2013-07-12,123.52,124.15,123.04,124.06,5615150,"Friday",0.00234031499304077
2013-07-19,125.79,126.91,125.17,126.91,5930469,"Friday",0.0114114876504647
2013-07-26,127.03,127.62,126.09,127.56,4830373,"Friday",-0.00156666176490017
2013-08-02,124.87,125.1,123.3,124.95,7480642,"Friday",-0.0118542300664553
2013-08-09,123.12,123.12,121.68,122.5,5739518,"Friday",-0.0046422691994632
2013-08-16,119.89,120.19,119.05,119.88,5653085,"Friday",-0.00308166653740827
2013-08-23,118.69,119.73,118.12,119.53,4682301,"Friday",0.0104281493322436
2013-08-30,120.52,120.88,120.07,120.43,4696073,"Friday",0.000498338880745131
2013-09-06,121.53,122.75,119.01,121.21,5690205,"Friday",-0.00131915263585025
2013-09-13,123.98,124.84,123.81,124.14,3094049,"Friday",0.00201588585785917
2013-09-20,125.66,126.23,124.74,124.92,10275346,"Friday",-0.00415402418722
2013-09-27,123.23,123.26,122.51,122.64,4520905,"Friday",-0.00690694656617197
2013-10-04,118.5,118.54,117.52,118.13,6538705,"Friday",-0.00101531441161384
2013-10-11,116.57,117.71,115.93,117.67,6535990,"Friday",0.0110233972473139
2013-10-18,119.61,119.85,119.13,119.65,6231468,"Friday",0.00108709296987541
2013-10-25,120.59,121.22,120.27,120.59,4274068,"Friday",0.000248807797261108
2013-11-01,119.04,119.44,117,118.01,9344455,"Friday",-0.0163889872431504
