"Date","Open","High","Low","Close","Volume","DOW","log_returns"
2011-01-10,90.95,91.17,90.12,90.41,6854364,"Monday",-0.00859036119629941
2011-01-24,93.89,94.53,93.66,94.1,7286380,"Monday",0.00340643292989373
2011-01-31,93.85,95.19,93.37,94.93,11167849,"Monday",0.016569683397873
2011-02-07,97.28,98.23,97.26,97.66,10259488,"Monday",0.00564770202725118
2011-02-14,95.5,97.16,95.5,96.95,7003259,"Monday",0.00517064233692288
2011-02-28,102.28,103.94,102.18,103.75,10220447,"Monday",0.0160314339401886
2011-03-07,104.12,104.77,103.01,103.01,8220119,"Monday",-0.00715808821520625
2011-03-14,99.16,101,99.03,100.8,7358817,"Monday",0.00866841476357028
2011-03-21,103.86,105.2,103.2,105.19,8789020,"Monday",0.0229828857301175
2011-03-28,106.4,107.1,106.04,106.04,6024573,"Monday",-0.00695426165121571
2011-04-04,108.52,108.57,107.85,108.23,4766018,"Monday",-0.000831216856910011
2011-04-11,109.74,109.9,107.57,107.78,6601803,"Monday",-0.0172925574705518
2011-04-18,104.95,104.99,103.04,104.5,7199772,"Monday",-0.0165136143232578
2011-04-25,107.37,107.78,106.68,107.42,3997719,"Monday",-0.00658782248013168
2011-05-02,109.48,109.58,107.61,108.18,6553717,"Monday",-0.0115799474309588
2011-05-09,103.25,104.86,103,104.09,7112368,"Monday",0.0116926490380678
2011-05-16,102.03,103.29,101.41,101.65,6762951,"Monday",-0.00725351151236975
2011-05-23,101.13,101.91,100.7,101.37,7489618,"Monday",-0.0117683029250113
2011-06-06,100.9,101.31,99.3,99.68,6982114,"Monday",-0.0131554618021168
2011-06-13,100.04,100.51,98.07,98.93,7999223,"Monday",-0.00745219964423338
2011-06-20,98.88,100.2,98.65,99.91,6428037,"Monday",0.00743423154689271
2011-06-27,97.94,99.64,97.94,98.9,7130468,"Monday",0.0101626890922022
2011-07-11,104.43,104.64,103.75,104.41,6975483,"Monday",-0.0140753631403436
2011-07-18,105.58,106.5,105.11,106.23,6950984,"Monday",0.000376612376167706
2011-07-25,107.55,109,107.46,108.1,6284864,"Monday",-0.00801589034363293
2011-08-01,106.08,106.13,103.92,105.38,9309739,"Monday",0.0129896764362138
2011-08-08,94.28,95.8,89.75,90.25,29764034,"Monday",-0.0783963499738833
2011-08-15,97,99.23,96.79,99.1,11859059,"Monday",0.0332406476044573
2011-08-22,96.55,96.55,92.95,93.3,10073611,"Monday",0.000107186880428323
2011-08-29,98.28,98.76,96.58,98.74,9725137,"Monday",0.0193267429777118
2011-09-12,93.94,95.93,93.16,95.91,13616696,"Monday",0.00753535747664547
2011-09-19,97.19,99.34,96.6,98.71,8524288,"Monday",-0.00927706562696873
2011-09-26,90.65,91.65,88.76,91.49,11901887,"Monday",0.01630890142245
2011-10-03,91.93,92.77,89.85,89.88,11385233,"Monday",-0.0297056971428278
2011-10-10,96.13,98.24,96.09,98.2,7497174,"Monday",0.0394651422089645
2011-10-17,99.91,100.25,98.4,98.61,6576526,"Monday",-0.0186864991299851
2011-10-24,105.5,106.87,105.27,106.27,7911572,"Monday",0.00698775270160468
