"Date","Open","High","Low","Close","Volume","DOW","log_returns"
2011-01-07,26.53,26.53,26.11,26.4,117228,"Friday",-0.00378072283990605
2011-01-14,26.83,26.97,26.76,26.9,113976,"Friday",0.0037243990909821
2011-01-21,26.81,27.17,26.74,27.09,123133,"Friday",0.0156253179030807
2011-01-28,27.77,27.99,27.36,27.52,204595,"Friday",-0.0122789552865168
2011-02-04,27.51,27.6,27.28,27.44,115019,"Friday",-0.00762392511065935
2011-02-11,26.72,27,26.72,27,108159,"Friday",0.00818152574130249
2011-02-18,28.5,28.88,28.44,28.74,108842,"Friday",0.0119007354837186
2011-02-25,28.34,29.52,28.23,29.31,150644,"Friday",0.0400262234329594
2011-03-04,27.81,28.46,27.78,28.16,118479,"Friday",0.0117879557520424
2011-03-11,26.58,26.6,25.03,26.53,362409,"Friday",-0.00676185897222092
2011-03-18,26.97,27.07,26.71,26.71,195715,"Friday",-0.00448263731566323
2011-03-25,28,28.44,27.98,28.08,72797,"Friday",0.00499822532879435
2011-04-01,28.44,28.57,28.22,28.25,69379,"Friday",-0.00212164153135808
2011-04-08,28,28.05,27.56,27.66,101376,"Friday",-0.0129312146722489
2011-04-15,27.79,28.09,27.71,28,61430,"Friday",0.0104111513003167
2011-04-29,28.5,28.74,27.83,27.92,163052,"Friday",-0.0389865001423666
2011-05-06,26.46,27.5,26.46,27.35,84133,"Friday",0.0278053130803366
2011-05-13,26.85,26.99,26.5,26.65,85104,"Friday",-0.00486618965117325
2011-05-20,26.51,26.6,26.15,26.59,65076,"Friday",0.00603547663873094
2011-05-27,26.88,27.12,26.79,27,36916,"Friday",0.00967629433053219
2011-06-03,27.13,27.49,27,27.49,95296,"Friday",0.00474020942280484
2011-06-10,28.22,28.89,27.97,28.8,176411,"Friday",0.0210534091978323
2011-06-17,27.14,27.16,26.45,26.45,139555,"Friday",-0.0220610928704548
2011-06-24,28.44,28.5,28,28.12,58555,"Friday",-0.00708720188305501
2011-07-01,27.29,27.57,27.25,27.51,155695,"Friday",0.00912914866809666
2011-07-08,27.7,27.79,27.45,27.67,95137,"Friday",-0.00791940784056289
2011-07-15,26.15,26.19,25.95,26.05,5040628,"Friday",-0.0486987606686142
