"Date","Open","High","Low","Close","Volume","DOW","log_returns"
2011-01-10,26.36,26.71,26.17,26.71,86554,"Monday",0.0116740169695988
2011-01-24,27.25,27.5,26.93,27.18,160603,"Monday",0.00331675262599385
2011-01-31,27.36,27.73,26.98,27.72,169703,"Monday",0.00724116125655927
2011-02-07,27.6,27.61,27.06,27.18,106201,"Monday",-0.00952039413468686
2011-02-14,27.15,28,27.12,27.98,225119,"Monday",0.0356531032330061
2011-02-28,29.59,29.83,28.75,29.18,106676,"Monday",-0.00444521162816125
2011-03-07,28.32,28.71,28.02,28.1,101337,"Monday",-0.00213295495014165
2011-03-14,26.36,26.91,26.01,26.63,132529,"Monday",0.0037622316761925
2011-03-21,26.97,27.33,26.9,27.33,82329,"Monday",0.0229469728181071
2011-03-28,28.04,28.35,27.71,27.79,51642,"Monday",-0.0103813354031979
2011-04-04,28.32,28.4,28.25,28.37,60423,"Monday",0.00423879122830995
2011-04-11,27.69,28.12,27.67,27.8,163832,"Monday",0.00504869445997924
2011-04-18,27.89,28.18,27.66,27.95,115081,"Monday",-0.00178731057409554
2011-04-25,28.74,28.75,28.5,28.67,49090,"Monday",0.00139616078525462
2011-05-02,27.98,28.49,27.63,27.83,219285,"Monday",-0.00322870235637263
2011-05-09,27.43,28.17,27.27,27.94,133717,"Monday",0.0213428249608256
2011-05-16,26.57,26.64,26.07,26.14,74620,"Monday",-0.0193224424157776
2011-05-23,26.34,26.49,26.21,26.27,58024,"Monday",-0.0121076015574801
2011-06-06,27.5,27.69,27.3,27.33,257082,"Monday",-0.00583730223717804
2011-06-13,28.75,28.95,27.61,27.85,96766,"Monday",-0.0335424207686073
2011-06-20,26.42,27.22,26.3,27.2,62611,"Monday",0.0279608149976429
2011-06-27,27.98,28.44,26.75,26.92,270550,"Monday",-0.0436115621659368
2011-07-11,27.48,27.54,27.23,27.47,87019,"Monday",-0.00725429369165242
2011-07-18,26,26.09,25.85,26.01,533401,"Monday",-0.00153668873881596
2011-07-25,25.85,25.94,25.76,25.79,297807,"Monday",-0.006184789718644
2011-08-01,26,26.1,25.63,25.74,323978,"Monday",-0.00542426746471936
2011-08-08,21.63,23.32,20.85,20.94,882914,"Monday",-0.0727425978290985
2011-08-15,24.1,24.98,24.09,24.75,230532,"Monday",0.0311884121630963
2011-08-22,23.45,23.89,22.4,22.41,266804,"Monday",-0.034213863454605
2011-08-29,22.51,23.39,22.51,23.38,180275,"Monday",0.0481915409848392
2011-09-12,24.9,25.45,24.51,25.36,185344,"Monday",0.00712310095282387
2011-09-19,25.95,26.05,25.52,25.74,269409,"Monday",-0.0165675143740738
2011-09-26,25.14,25.48,24.54,25.02,112631,"Monday",-0.000799041193132677
2011-10-03,24,24.22,22.65,23.12,299284,"Monday",-0.0460677271457905
2011-10-10,23.67,24.04,23.6,23.98,82204,"Monday",0.0304850025088497
2011-10-17,25.51,25.93,25.04,25.17,245197,"Monday",-0.0145930414571689
2011-10-24,26.18,26.37,26,26.32,517693,"Monday",0.0080107237460787
2011-10-31,26.05,26.6,26.05,26.39,229479,"Monday",-0.0131754211585644
2011-11-07,26.44,26.44,25.69,26.26,158006,"Monday",-0.0019022261775512
2011-11-14,26.57,26.8,26.26,26.8,184384,"Monday",0.0150378773645405
2011-11-21,26.1,26.27,25.51,26.25,113243,"Monday",-0.00114220457877723
2011-11-28,26.02,26.55,26.02,26.22,139351,"Monday",0.0200314864343794
2011-12-05,26.86,27.1,26.5,26.53,199011,"Monday",-0.00863206711037945
2011-12-12,26.53,26.71,26.31,26.56,68869,"Monday",-0.00450789643918981
2011-12-19,25.56,25.77,25.5,25.65,162025,"Monday",0.00429772101238513
2012-01-09,29.27,29.27,28.5,28.6,172574,"Monday",-0.0231563828779877
2012-01-23,29.29,29.45,27.75,28.8,289593,"Monday",-0.00864309615602021
2012-01-30,28.56,28.73,27.95,28.03,252849,"Monday",-0.0333305717158394
2012-02-06,28.82,29.13,28.82,29.13,222145,"Monday",0.00688945198329982
2012-02-13,30.09,30.1,29.82,29.93,217584,"Monday",-0.00300250434070826
2012-02-27,31.79,31.97,31.44,31.84,152157,"Monday",0
2012-03-05,30.89,31.26,30.79,31.11,97432,"Monday",0.0067731270058462
2012-03-12,31.39,31.85,31.38,31.83,105775,"Monday",0.0104216954624143
2012-03-19,33.4,33.62,32.86,33,317307,"Monday",-0.0144406841547942
2012-03-26,31.46,31.46,31,31.09,657598,"Monday",-0.00832804300826728
2012-04-02,30.72,31.15,30.58,30.74,291944,"Monday",0
2012-04-09,30.35,30.45,30.1,30.3,133857,"Monday",-0.00887142338741986
2012-04-16,30.95,31,30.27,30.66,114734,"Monday",-0.00520495644830188
2012-04-23,31.08,31.25,30.75,31.21,176372,"Monday",0.00192431104922575
2012-04-30,30.7,31,30.53,30.96,213295,"Monday",0.00550608678511733
2012-05-07,30.37,30.58,29.63,30.34,159578,"Monday",-0.00722499037793334
2012-05-14,29.96,30,29.5,29.83,117248,"Monday",-0.0103385946716923
2012-05-21,28.01,29.09,28.01,28.79,217291,"Monday",0.024970525466474
2012-06-04,27.56,27.74,26.7,27.33,302784,"Monday",-0.0105551480411696
2012-06-11,28.82,28.94,27.98,28.05,257339,"Monday",-0.022211383762714
2012-06-18,28.47,28.7,27.82,28.42,159456,"Monday",-0.0101523714640179
2012-06-25,28.45,28.48,28,28.22,129423,"Monday",-0.0161690693067515
2012-07-02,29.05,29.28,28.82,29.24,283712,"Monday",0.00583092031079291
2012-07-09,29.52,30.7,29.46,30.54,189027,"Monday",0.0305874909508339
2012-07-16,30.77,31.22,30.51,31.04,173139,"Monday",0.00906155067757464
2012-07-23,30.9,31.34,30.85,31.1,129444,"Monday",-0.00641027836091901
2012-07-30,30.54,30.83,30.03,30.49,192986,"Monday",-0.0191657644992835
2012-08-06,31.35,31.5,30.85,31.48,243931,"Monday",0.00509555242660031
2012-08-13,30.63,30.83,30.45,30.73,124093,"Monday",0.00195439801623287
2012-08-20,31.38,31.75,31.34,31.52,177676,"Monday",0.00381437207547064
2012-08-27,31.41,31.86,31.35,31.75,100978,"Monday",0.00695325178173123
2012-09-10,32.27,32.35,32.01,32.28,127326,"Monday",0.000309837337877372
2012-09-17,33.92,34,33.6,33.73,147834,"Monday",-0.0062066107325216
2012-09-24,33.64,34.09,33.45,33.9,147024,"Monday",0.00740195829566792
2012-10-01,33.91,35.18,33.71,34.56,334337,"Monday",0.0272784181836769
