"Date","Open","High","Low","Close","Volume","DOW","log_returns"
2011-01-07,34.42,34.6,34.18,34.38,11736053,"Friday",-0.00116279082868997
2011-01-14,35.11,36,35.02,35.89,13844170,"Friday",0.017425960911555
2011-01-21,36.82,36.99,36.47,36.51,11886912,"Friday",0.000547945219189216
2011-01-28,37.89,37.96,36.63,36.7,12588370,"Friday",-0.0342829503236151
2011-02-04,36.76,37.15,36.52,36.8,7565849,"Friday",0.00272109011436061
2011-02-11,37.03,37.48,36.67,37.48,10061952,"Friday",0.00454607013715513
2011-02-18,38.13,38.5,37.99,38.48,12903870,"Friday",0.00782680749990394
2011-02-25,37.2,37.48,36.78,37.08,9731186,"Friday",-0.00161681522690538
2011-03-04,37.45,37.86,36.78,37.22,9272359,"Friday",-0.00882712699603871
2011-03-11,37.03,37.35,36.67,37.14,7732467,"Friday",0.00188653876191891
2011-03-18,36.04,36.27,35.76,36,11372753,"Friday",0.00668898815079677
2011-03-25,37.41,37.82,37.34,37.42,7615853,"Friday",0.00160470748530184
2011-04-01,37.12,37.87,36.96,37.56,9255089,"Friday",0.0134014334828487
2011-04-08,37.9,37.96,37.24,37.46,9853016,"Friday",-0.00982874162899527
2011-04-15,37.95,38.4,37.94,38.17,10443701,"Friday",0.00868312257346116
2011-04-29,37.46,37.56,37.02,37.15,15948723,"Friday",-0.00857684164182748
2011-05-06,37.34,37.48,36.77,36.99,10694589,"Friday",-0.000540540553701785
2011-05-13,37.31,37.36,36.78,37.01,8670213,"Friday",-0.00753704779266462
2011-05-20,37.32,37.37,36.9,37.05,8157885,"Friday",-0.00913493724692671
2011-05-27,36.36,36.42,35.91,36,9596411,"Friday",-0.00526389911954128
2011-06-03,34.62,34.86,34.43,34.63,8840230,"Friday",-0.0131958311807931
2011-06-10,34.17,34.25,33.42,33.47,12392961,"Friday",-0.0253700922463653
2011-06-17,34.71,34.93,34.31,34.53,18325380,"Friday",0.000869187364586743
2011-06-24,35.62,35.69,35.08,35.08,15738494,"Friday",-0.0161179793563226
2011-07-01,36.29,36.96,36.26,36.73,9777851,"Friday",0.0139824073763086
2011-07-08,36.61,36.69,36.31,36.62,9823384,"Friday",-0.0116738124957312
2011-07-15,36.09,36.09,35.49,35.91,9923611,"Friday",-0.00139140136542792
2011-07-22,36.7,36.82,36.37,36.52,8011606,"Friday",-0.00546151002552175
2011-07-29,34.76,35.24,34.63,34.93,12101742,"Friday",-0.00627855943793332
2011-08-05,32.07,32.15,30.62,30.74,36484629,"Friday",-0.0307519427727851
2011-08-12,30.24,30.65,29.79,30.58,18737219,"Friday",0.0174835395196995
2011-08-19,31.85,32.86,31.79,31.88,15469076,"Friday",-0.00874459038875131
2011-08-26,34.1,34.47,33.61,34,18414823,"Friday",0.00471698987813873
2011-09-02,32.27,32.58,31.92,32.18,12278395,"Friday",-0.023038954824036
2011-09-09,32.06,32.35,31.48,31.87,11734530,"Friday",-0.0183434336572001
2011-09-16,34.63,35,34.48,34.61,20791737,"Friday",0.00958056391767403
2011-09-23,32.98,33.86,32.91,33.72,12993749,"Friday",0.0200695668359598
2011-09-30,33.25,33.65,32.84,32.87,10917152,"Friday",-0.0276045130500706
2011-10-07,33.64,34.34,33.48,33.92,12809456,"Friday",0.0160478926900134
2011-10-14,34.82,35.08,34.49,35.05,7651742,"Friday",0.0184283936712104
2011-10-21,36.15,36.86,35.99,36.86,14116875,"Friday",0.0311362802063586
2011-10-28,36.92,37.18,36.03,36.12,14076882,"Friday",-0.0340215149486083
2011-11-04,36.13,36.42,35.85,36.39,6245195,"Friday",-0.00164744683059892
2011-11-11,37.5,38.38,37.5,38.06,10188044,"Friday",0.0228551005889024
2011-11-18,37.83,37.95,37.3,37.88,11816701,"Friday",0.00688744444499356
2011-11-25,36.49,36.94,36.41,36.47,3616760,"Friday",-0.00137005090617892
2011-12-02,39.69,40.46,39.67,39.94,17910154,"Friday",0.0151365150267564
2011-12-09,40.12,40.41,39.99,40.23,10310979,"Friday",0.00798606690105474
