"Date","Open","High","Low","Close","Volume","DOW","log_returns"
2011-01-10,34.16,34.47,34.07,34.39,9825519,"Monday",0.000290824489471486
2011-01-24,36.46,36.65,36.3,36.65,8885310,"Monday",0.00382723266511498
2011-01-31,37.13,37.18,36.55,36.77,11189703,"Monday",0.00190554025265577
2011-02-07,36.8,36.88,36.57,36.6,7054335,"Monday",-0.00544960476756495
2011-02-14,37.47,37.66,37.27,37.58,9075374,"Monday",0.00266453661509791
2011-02-28,37.15,37.54,37.06,37.47,9737353,"Monday",0.0104628721079414
2011-03-07,37.26,37.7,36.83,36.87,8895479,"Monday",-0.0094480389680518
2011-03-14,36.92,36.94,36.28,36.68,8731653,"Monday",-0.0124629085362957
2011-03-21,36.29,36.7,36.28,36.43,7705463,"Monday",0.0118736725643624
2011-03-28,37.46,37.51,36.62,36.65,8594663,"Monday",-0.0207918925132833
2011-04-04,37.48,37.73,37.23,37.47,6576431,"Monday",-0.00239904153446657
2011-04-11,37.45,37.94,37.4,37.6,7039073,"Monday",0.00373035337990624
2011-04-18,37.78,37.82,37.21,37.76,8257580,"Monday",-0.0107995254798388
2011-04-25,37.61,37.71,37.29,37.56,8597721,"Monday",-0.0063694482854797
2011-05-02,37.44,37.67,37.15,37.35,7919220,"Monday",0.0053691404150582
2011-05-09,36.93,37.09,36.7,36.96,6550489,"Monday",-0.000811359070879369
2011-05-16,36.69,37.31,36.55,36.98,11606054,"Monday",-0.000810920439085816
2011-05-23,36.69,37,36.53,36.82,9676393,"Monday",-0.00622717593716393
2011-06-06,34.53,34.81,34.29,34.29,7485309,"Monday",-0.00986659193950157
2011-06-13,33.46,33.88,33.41,33.51,11743281,"Monday",0.00119438652598403
2011-06-20,34.29,34.98,34.28,34.77,7866674,"Monday",0.00692643461786924
2011-06-27,35.03,35.39,34.68,35.2,8425621,"Monday",0.00341491510006886
2011-07-11,36.26,36.66,36.16,36.36,8283717,"Monday",-0.00712526993708629
