"Date","Open","High","Low","Close","Volume","DOW","log_returns"
2011-01-07,44.54,44.59,42.64,43.64,69579337,"Friday",-0.0190654889774566
2011-01-14,44.51,45.94,44.45,44.91,86983737,"Friday",0.0102955251397328
2011-01-21,45.05,45.54,44.85,45.29,44767336,"Friday",0.011994812847258
2011-01-28,45.05,45.88,44.4,44.54,38603129,"Friday",-0.0124945846794113
2011-02-04,45,45.17,44.3,44.59,38172829,"Friday",-0.0193231997850121
2011-02-11,45.4,46.89,45.4,46.57,40814416,"Friday",0.0225851076475951
2011-02-18,47.82,48.13,47.55,48,23852134,"Friday",0.00375704887771233
2011-02-25,46.25,46.86,46.12,46.68,26783016,"Friday",0.0166328491572245
2011-03-04,45.98,46.04,45.1,45.52,27733362,"Friday",-0.0122272265695602
2011-03-11,45.28,45.84,45.25,45.74,20347910,"Friday",0.00460173924794427
2011-03-18,45.24,46.18,44.75,45.74,77445705,"Friday",0.0261365929756066
2011-03-25,45.7,46.38,45.67,45.86,20728953,"Friday",0.00283873975979443
2011-04-01,46.55,46.88,46.18,46.35,25395781,"Friday",0.00540834200926144
2011-04-08,47.52,47.66,46.63,46.84,23827177,"Friday",-0.0118846899715144
2011-04-15,45.24,45.37,44.83,44.89,32483879,"Friday",-0.00178054798877492
2011-04-29,45.81,46.02,45.4,45.63,23363095,"Friday",-0.00480980376316253
2011-05-06,45.47,45.71,44.76,45.04,26356067,"Friday",-0.00288216583507772
2011-05-13,44.06,44.1,42.98,43.15,32878376,"Friday",-0.0215505818404096
2011-05-20,43.83,44.09,43.09,43.13,29951525,"Friday",-0.0199708232585092
2011-05-27,42.7,43.15,42.54,42.79,24748707,"Friday",0.00797751767136923
2011-06-03,41.09,42.25,41.02,41.57,31837491,"Friday",-0.000961769730303708
2011-06-10,40.59,41.5,40.1,41.05,48547057,"Friday",0.00170669308768323
2011-06-17,40.85,41.06,40.54,40.8,32023979,"Friday",0.0108428859247076
2011-06-24,40.05,40.18,39.44,39.49,36143032,"Friday",-0.0145804493494954
2011-07-01,40.81,41.72,40.77,41.58,32136736,"Friday",0.0155117021967235
2011-07-08,40.7,40.97,40.56,40.74,20682965,"Friday",-0.0141362334527781
