"Date","Open","High","Low","Close","Volume","DOW","log_returns"
2011-01-10,43.27,43.76,43,43.4,30098079,"Monday",-0.00551471985851082
2011-01-24,45.21,45.48,44.86,45.02,27826781,"Monday",-0.00597942208953617
2011-01-31,44.41,45.1,44.4,44.94,23574462,"Monday",0.00894060492796189
2011-02-07,44.75,45.75,44.65,45.5,36790834,"Monday",0.0202027073175195
2011-02-14,46.6,46.9,46.47,46.54,28699124,"Monday",-0.00064439912014036
2011-02-28,46.81,47.18,46.42,46.69,25985944,"Monday",0.000214201564490146
2011-03-07,45.62,45.65,44.76,45.19,28122077,"Monday",-0.00727596639488759
2011-03-14,45.42,45.54,44.63,45.3,24513339,"Monday",-0.00966615610564681
2011-03-21,46.28,46.32,45.32,45.63,28998804,"Monday",-0.00240779365532395
2011-03-28,46.1,46.5,45.95,45.96,19047618,"Monday",0.0021781755507968
2011-04-04,46.12,46.52,46.05,46.34,15710209,"Monday",-0.000215773007633757
2011-04-11,47,47.27,46.75,46.86,25643410,"Monday",0.0004268943501331
2011-04-18,44.27,44.35,43.53,43.96,50974276,"Monday",-0.0209349232584204
2011-04-25,44.65,45.02,44.38,44.61,17360519,"Monday",-0.0015679250608267
2011-05-02,45.94,45.99,45.11,45.18,25913966,"Monday",-0.00991088389945416
2011-05-09,44.75,45.11,44.32,44.96,22475423,"Monday",-0.00177777824599934
2011-05-16,42.97,43.48,42.72,42.88,34907303,"Monday",-0.00627690076689014
2011-05-23,42.4,42.9,42.3,42.55,32316785,"Monday",-0.0135389556403687
2011-06-06,41.1,41.24,40.37,40.53,40895852,"Monday",-0.0253363126243289
2011-06-13,41.29,41.82,40.72,41.67,31768310,"Monday",0.0149906095359253
2011-06-20,40.5,40.81,40.12,40.48,21568823,"Monday",-0.00787405643090588
2011-06-27,39.4,40.11,39.33,39.88,30639635,"Monday",0.00982746979507976
2011-07-11,40.19,40.22,39.29,39.43,38327919,"Monday",-0.0326834629091239
2011-07-18,39.79,40,38.93,39.83,47604249,"Monday",-0.0037589318787008
2011-07-25,41.52,41.91,41.29,41.69,22531003,"Monday",-0.0119219342435417
2011-08-01,41.16,41.37,39.96,40.44,34042409,"Monday",-0.000247249352230305
2011-08-08,36.23,37.72,33.69,34.06,132612617,"Monday",-0.0988803751613063
2011-08-15,36.53,37.14,36.39,36.88,34830097,"Monday",0.0266535904504015
2011-08-22,35.12,35.18,33.35,33.41,50971319,"Monday",-0.0277467622996932
2011-08-29,36.82,37.64,36.47,37.64,27945757,"Monday",0.0387319909396289
2011-09-12,31.35,32.42,31.21,32.42,53381750,"Monday",0.0105427333092165
2011-09-19,32.69,32.89,32.13,32.49,33160246,"Monday",-0.028521350750998
2011-09-26,30.06,31.81,29.96,31.65,58696019,"Monday",0.067301682178067
2011-10-03,30.03,30.7,28.64,28.65,51002691,"Monday",-0.0500359597709443
2011-10-10,31.6,32.32,31.58,32.3,37324743,"Monday",0.0508045756354596
2011-10-17,31.64,32.09,30.97,31.04,40869712,"Monday",-0.0270157857069484
2011-10-24,33.61,34.69,33.57,34.57,45697155,"Monday",0.0338317307662854
2011-10-31,35.93,36,34.73,34.76,46438679,"Monday",-0.0540369379699994
2011-11-07,34.03,34.34,33.71,34.24,25935525,"Monday",0.00791676910104888
2011-11-14,32.95,32.98,32.22,32.55,27596216,"Monday",-0.0221792472984297
2011-11-21,30.02,30.19,29.6,29.91,39666395,"Monday",-0.0234605175876808
2011-11-28,29.71,30.07,28.82,29.16,45285387,"Monday",0.0235958205966824
2011-12-05,33.64,34.1,33.22,33.51,52216056,"Monday",0.0358483100118776
2011-12-12,32.55,32.6,31.76,32.04,35986439,"Monday",-0.0349621625621399
2011-12-19,31.87,31.9,30.42,30.7,47388002,"Monday",-0.038029826428815
2012-01-09,35.44,35.68,34.99,35.3,23006529,"Monday",-0.00169827383019161
2012-01-23,37.31,37.94,37.27,37.66,27500781,"Monday",0.00799790986836424
2012-01-30,36.66,37.17,36.36,37.01,24432067,"Monday",-0.00538939596046673
2012-02-06,38.06,38.32,37.8,38.14,23108329,"Monday",-0.00366396641248024
2012-02-13,38.08,38.34,37.61,38.3,24827981,"Monday",0.0181799237043552
2012-02-27,38.07,39.23,37.79,39.06,34036867,"Monday",0.0201713588637795
2012-03-05,40.7,40.71,40,40.4,30806826,"Monday",-0.00567692503253081
2012-03-12,40.86,40.98,40.2,40.54,30763746,"Monday",-0.0120143654302409
2012-03-19,44.44,45.35,44.21,45,41515244,"Monday",0.00960150281185523
2012-03-26,45.48,46.17,45.4,46.17,33530630,"Monday",0.0221184972374364
2012-04-02,45.75,46.35,45.46,46.13,27675928,"Monday",0.00325697823469362
2012-04-09,43.19,44.28,43.07,43.89,29376366,"Monday",-0.0102007004880229
2012-04-16,43.38,43.8,42.84,43.33,40388941,"Monday",0.00277328580797587
2012-04-23,41.92,42.96,41.8,42.85,25538094,"Monday",0.00303845039184925
2012-04-30,43.33,43.37,42.54,42.98,23521663,"Monday",-0.00834110489384887
2012-05-07,41.43,42.4,41.37,41.78,25910034,"Monday",0.000718304831555105
2012-05-14,36.1,36.47,35.76,35.79,96488404,"Monday",-0.032167721995549
2012-05-21,33.52,33.71,32.26,32.51,99557353,"Monday",-0.0296991524902994
2012-06-04,32.16,32.17,30.83,31,60495394,"Monday",-0.0295588022415445
2012-06-11,34.37,34.44,32.78,32.82,46404807,"Monday",-0.0258661037121812
2012-06-18,34.71,35.3,34.5,34.62,31084454,"Monday",-0.0117732874613323
2012-06-25,35.26,35.47,34.64,35.32,33115794,"Monday",-0.0187917463551801
2012-07-02,36.27,36.36,35.59,36.28,34281571,"Monday",0.0152759532116176
2012-07-09,33.81,34.12,33.54,33.96,30544925,"Monday",0.00176834705674223
2012-07-16,35.76,35.85,34.73,35.09,52368297,"Monday",-0.0275453053203241
2012-07-23,33.24,34.5,33.1,34.44,41248260,"Monday",0.0158036651731255
2012-07-30,36.5,36.52,35.94,36.14,30701699,"Monday",-0.0205402264445018
2012-08-06,36.24,36.8,36.11,36.3,18979186,"Monday",0.0058019226161079
2012-08-13,36.87,37.09,36.64,36.99,14457113,"Monday",0.000540832895822518
2012-08-20,36.92,37.5,36.8,37.37,17926581,"Monday",0.0104910175384139
2012-08-27,37.31,37.44,36.9,37.23,17619128,"Monday",0.0016129035754644
2012-09-10,39.23,39.78,38.73,38.76,20858745,"Monday",-0.0138357318526499
2012-09-17,41,41.44,40.95,41.19,19741058,"Monday",-0.00918324481655697
2012-09-24,40.61,41.47,40.59,41.23,20504116,"Monday",0.00852520082335939
2012-10-01,40.88,41.5,40.8,40.97,21957111,"Monday",0.0120320665795695
2012-10-08,41.33,41.84,41.11,41.66,18635403,"Monday",-0.0011994723760278
2012-10-15,41.91,42.41,41.73,42.38,26277471,"Monday",0.0180957318746646
2012-10-22,42.25,42.52,41.5,42.09,27996092,"Monday",-0.00544960476756451
2012-11-05,42.33,42.36,41.86,42.27,13253683,"Monday",-0.00354233455783781
2012-11-12,40.85,40.91,40.3,40.58,12820369,"Monday",-0.000985221754569832
2012-11-19,40.09,40.7,40.09,40.59,26784470,"Monday",0.0264618535422123
2012-11-26,40.79,40.88,40.09,40.88,20376505,"Monday",-0.00512383699986918
2012-12-03,41.27,41.37,40.75,40.81,18965875,"Monday",-0.00659423564264294
2012-12-10,42.54,42.67,42.01,42.31,22397285,"Monday",-0.00589138030141267
2012-12-17,43,43.51,42.81,43.48,23889797,"Monday",0.015529342096154
2012-12-24,43.72,44.02,43.71,43.92,8622420,"Monday",-0.00181983671698571
2012-12-31,43.1,44,43.05,43.97,24213813,"Monday",0.0167415904217112
2013-01-07,45.09,45.48,45.02,45.41,24457249,"Monday",0.00110168569036295
2013-01-14,45.89,46.18,45.48,45.88,19079465,"Monday",-0.00565096048443747
2013-01-28,46.84,47,46.48,46.64,19708169,"Monday",-0.0110875336269332
2013-02-04,47.54,47.81,47.38,47.68,20828175,"Monday",-0.00355909514186914
2013-02-11,48.51,48.9,48.38,48.66,13937728,"Monday",0.000616712939681907
2013-02-25,49.1,49.2,47.65,47.7,32776345,"Monday",-0.0250504766569701
2013-03-04,48.73,49.14,48.33,49.1,17698510,"Monday",0.00387716024920914
2013-03-11,50.23,50.77,49.91,50.48,19473159,"Monday",0.00556219153527415
2013-03-18,49.19,49.66,48.95,49.51,28017768,"Monday",-0.0102482560761414
2013-03-25,49.04,49.32,48.16,48.52,23582710,"Monday",-0.00534430871192493
2013-04-01,47.55,47.99,47.49,47.83,17449299,"Monday",0.00776580668458804
2013-04-08,47.9,48.59,47.59,48.58,18675807,"Monday",0.0138876726789956
2013-04-15,48.39,49.34,47.9,47.93,31528338,"Monday",-0.0222827457499162
2013-04-22,47.4,47.49,46.87,47.35,15232043,"Monday",0.00253753572406179
2013-04-29,49.08,49.1,48.65,48.92,13498061,"Monday",0.000817995955631812
2013-05-06,47.71,48.39,47.57,48.18,20830656,"Monday",0.012741686742535
2013-05-13,48.84,49.7,48.61,49.67,23987718,"Monday",0.0143974909151887
2013-05-20,52.28,52.63,51.91,52.29,22020134,"Monday",-0.000191222870838281
2013-06-03,54.6,54.86,53.04,54.49,28284621,"Monday",-0.00183351719865943
