"Date","Open","High","Low","Close","Volume","DOW","log_returns"
2011-01-07,29.1,29.11,28.66,28.85,47540432,"Friday",-0.0103449198423928
2011-01-14,28.01,28.45,27.91,28.43,34192520,"Friday",0.0123873465052982
2011-01-21,28.31,28.48,28.23,28.33,38022670,"Friday",0.0035360715770274
2011-01-28,28,28.02,27.41,27.49,41043420,"Friday",-0.0230143203246111
2011-02-04,28.06,28.06,27.83,27.97,18325740,"Friday",-0.000714796313493693
2011-02-11,28.13,28.59,28.09,28.47,22252220,"Friday",0.00811148866490496
2011-02-18,28.53,28.58,28.35,28.57,19718796,"Friday",0.0024531289680767
2011-02-25,27.79,28.18,27.77,28.13,16066688,"Friday",0.00749334460759377
2011-03-04,28.22,28.35,27.79,27.92,26538523,"Friday",-0.00749334460759377
2011-03-11,28.49,28.72,28.24,28.46,21881156,"Friday",-0.00525671440031239
2011-03-18,27.95,28.05,27.74,27.94,26542933,"Friday",0.00718393894213065
2011-03-25,28.65,28.9,28.62,28.85,23664562,"Friday",0.010803380905418
2011-04-01,30.87,30.93,30.36,30.62,122007942,"Friday",0.000326637272216601
2011-04-08,30.58,30.72,30.49,30.71,26176955,"Friday",0.00555103466224427
2011-04-15,30.54,30.68,30.31,30.65,22685302,"Friday",0.0118150373430743
2011-04-29,31.38,31.8,31.07,31.12,25542357,"Friday",-0.00800132289239608
2011-05-06,31.56,31.68,31.12,31.26,24449601,"Friday",0.00128040990604461
2011-05-13,31.62,31.66,31.15,31.41,17719972,"Friday",-0.00729582934889805
2011-05-20,31.35,31.77,31.19,31.32,16854252,"Friday",-0.00255102179160538
2011-05-27,31.22,31.35,30.98,31.29,17248540,"Friday",0.00576924677124513
2011-06-03,30.6,30.87,30.52,30.65,21808571,"Friday",-0.0103863316028909
2011-06-10,30.27,30.55,30.21,30.34,23682838,"Friday",0.000329652219896559
2011-06-17,30.65,30.95,30.61,30.77,27914950,"Friday",0.0111112254250707
2011-06-24,30.77,30.79,30.44,30.44,20181972,"Friday",-0.00915637528598623
2011-07-01,31.42,31.73,31.38,31.68,20054004,"Friday",0.00855925339566976
2011-07-08,31.05,31.29,31.02,31.14,18641740,"Friday",-0.0028860048891346
2011-07-15,30.7,30.7,30.2,30.31,32968291,"Friday",-0.00886850943120443
2011-07-22,30.04,30.36,29.82,30.32,27530465,"Friday",0.00132013220492322
2011-07-29,28.99,29.34,28.77,29.26,27498378,"Friday",0
2011-08-05,29.05,29.28,28.21,28.93,53782296,"Friday",0.00519841752882177
2011-08-12,28.94,28.94,28,28.22,42592116,"Friday",-0.00776565851037203
2011-08-19,28.19,28.62,27.99,27.99,38019625,"Friday",-0.0166522891343441
2011-08-26,28.88,29.21,28.45,29.04,22739750,"Friday",-0.000688468185541691
2011-09-02,28.06,28.37,28.02,28.05,26462863,"Friday",-0.00781253973679341
2011-09-09,27.8,27.86,27.47,27.54,35976403,"Friday",-0.0151354240651007
2011-09-16,28.82,28.94,28.54,28.94,34265544,"Friday",0.0139181091546474
2011-09-23,27.77,27.95,27.51,27.85,103806784,"Friday",0.0035971261808494
2011-09-30,28.73,29,28.5,28.52,27793916,"Friday",-0.0111577168706529
2011-10-07,28.68,28.73,28.31,28.44,22391449,"Friday",0.00105540906894364
2011-10-14,29.37,29.43,28.97,29.17,23800227,"Friday",0.00240260970218298
2011-10-21,29.25,29.37,28.98,29.13,30228617,"Friday",0.00481762803777919
2011-10-28,29.48,29.8,29.31,29.74,24333610,"Friday",0.0203811402649503
2011-11-04,29.14,29.24,28.95,29.16,18416228,"Friday",-0.00955638672021841
2011-11-11,29.4,29.55,29.32,29.42,15112102,"Friday",0.0088768080328343
2011-11-18,28.68,28.75,28.44,28.64,22080302,"Friday",0.00104803503042605
2011-11-25,27.5,27.72,27.41,27.41,12036759,"Friday",-0.00509462528422899
2011-12-02,28.99,29.12,28.87,28.96,22166660,"Friday",0.00415225510076755
2011-12-09,29.08,29.1,28.8,29.03,24358600,"Friday",0.00587322469081375
2011-12-16,28.55,28.85,28.51,28.85,44931649,"Friday",0.00208188833002421
2011-12-23,29.72,29.98,29.72,29.87,18132922,"Friday",0.00705529551823281
2011-12-30,30.1,30.3,30.08,30.24,15690777,"Friday",0.00231749814036242
2012-01-06,30.07,30.09,29.6,29.68,45581958,"Friday",-0.0239691901129961
2012-01-13,30.05,30.1,29.81,30.07,22097161,"Friday",-0.00166140593125519
2012-01-20,30.42,30.52,30.35,30.51,26450328,"Friday",0.0029542118974315
2012-01-27,29.49,29.53,29.15,29.16,36360724,"Friday",-0.00989600295713844
2012-02-03,29.97,30.07,29.86,29.95,26296580,"Friday",0.00535655783626732
2012-02-10,29.82,29.97,29.7,29.84,25004463,"Friday",-0.00501421742535735
2012-02-17,30.14,30.15,30,30.01,31320574,"Friday",-0.000333166753040182
2012-02-24,30.43,30.49,30.29,30.34,18274830,"Friday",-0.00394737354662933
2012-03-02,30.67,31,30.6,30.87,23542566,"Friday",0.00780491766938418
2012-03-09,31,31.18,31,31.18,19202138,"Friday",0.00578965914448437
2012-03-16,31.7,31.71,31.51,31.59,28667216,"Friday",-0.00158152808545964
2012-03-23,31.66,31.72,31.38,31.52,77770324,"Friday",-0.00600982356057767
2012-03-30,31.32,31.38,31.16,31.23,21748065,"Friday",0.000640615012299062
2012-04-13,30.75,30.86,30.52,30.54,25030285,"Friday",-0.0097752489046421
2012-04-20,30.74,31.09,30.7,30.86,22069861,"Friday",0.00389610882456504
2012-04-27,32.47,32.75,32.45,32.67,22278263,"Friday",0.00706499636576652
2012-05-04,33.04,33.11,32.82,32.86,19113014,"Friday",-0.00757923895003287
2012-05-11,33.38,33.92,33.34,33.59,41985192,"Friday",0.0137891873123968
2012-05-18,33.41,33.81,33.4,33.66,38877730,"Friday",0.0110531371757263
2012-05-25,33.66,33.85,33.52,33.69,22284300,"Friday",0.00148522231371429
2012-06-01,34.1,34.21,33.78,33.9,29094151,"Friday",-0.00793305174079606
2012-06-08,34.13,34.66,34.11,34.55,27963180,"Friday",0.0113521812933097
2012-06-15,35.93,36,35.61,35.71,41594961,"Friday",0.000560224104288132
2012-06-22,35.21,35.33,34.99,35.17,87138781,"Friday",0.00398860927649602
2012-06-29,35.7,35.73,35.44,35.66,30462142,"Friday",0.00760031807762207
