"Date","Open","High","Low","Close","Volume","DOW","log_returns"
2011-01-10,28.54,28.61,28.13,28.34,41341767,"Monday",-0.0178357586915743
2011-01-24,28.46,28.56,28.31,28.48,19988338,"Monday",0.00528077270134952
2011-01-31,27.42,27.58,27.2,27.52,29257160,"Monday",0.00109071088798851
2011-02-07,27.97,28.01,27.7,27.96,32892635,"Monday",-0.000357589848258844
2011-02-14,28.4,28.53,28.21,28.46,22889948,"Monday",-0.000351308628240066
2011-02-28,28.25,28.4,28.16,28.38,21224665,"Monday",0.00884804923013105
2011-03-07,27.95,28.1,27.73,27.9,23886049,"Monday",-0.000716589066851903
2011-03-14,28.32,28.42,27.95,28.19,25277326,"Monday",-0.00953228753568514
2011-03-21,28.77,29.1,28.09,28.26,62007786,"Monday",0.0113880234275654
2011-03-28,29.02,29.63,28.9,29.36,50493897,"Monday",0.0175232107922061
2011-04-04,30.74,30.84,30.64,30.77,37656126,"Monday",0.00488679910441281
2011-04-11,30.75,30.84,30.64,30.66,22798170,"Monday",-0.0016294610090628
2011-04-18,30.42,30.48,30.22,30.31,21529719,"Monday",-0.0111549713125085
2011-04-25,30.67,30.73,30.43,30.55,13259704,"Monday",-0.00424629088145112
2011-05-02,31.6,31.72,31.12,31.21,27594052,"Monday",0.00288785697249727
2011-05-09,31.2,31.42,31.06,31.35,15382051,"Monday",0.00287494208559913
2011-05-16,31.32,31.39,31.01,31.06,32186937,"Monday",-0.0112054958300143
2011-05-23,31,31.16,30.94,31.08,18118320,"Monday",-0.00769234562315546
2011-06-06,30.55,30.6,30.35,30.36,17967142,"Monday",-0.00950670985479096
2011-06-13,30.28,30.84,30.25,30.55,23346815,"Monday",0.00689771169721798
2011-06-20,30.66,31.12,30.62,30.96,17484158,"Monday",0.0061558593875759
2011-06-27,30.65,30.94,30.5,30.76,18753499,"Monday",0.0104576116439583
2011-07-11,30.91,30.97,30.7,30.8,19328558,"Monday",-0.0109784764263234
2011-07-18,30.17,30.18,29.83,30.12,21971282,"Monday",-0.00628828813801885
2011-07-25,30.01,30.17,29.85,29.91,21250585,"Monday",-0.0136146881323143
2011-08-01,30.06,30.08,29.19,29.52,28478073,"Monday",0.00884660414029348
2011-08-08,28.31,28.91,27.5,27.7,40408437,"Monday",-0.043446705794751
2011-08-15,28.5,28.85,28.34,28.81,26191320,"Monday",0.0206916026717692
2011-08-22,28.68,28.68,28.26,28.45,35885179,"Monday",0.0163008570449779
2011-08-29,29.35,29.47,29.16,29.26,23318118,"Monday",0.00754720563538314
2011-09-12,27.3,27.92,27.29,27.88,25557722,"Monday",0.0122700925918142
2011-09-19,28.54,28.67,28.31,28.58,21656188,"Monday",-0.0125175487016165
2011-09-26,28.06,28.42,28,28.34,70599073,"Monday",0.0174412678892413
2011-10-03,28.64,28.85,28.16,28.16,32148845,"Monday",-0.0127030642562538
2011-10-10,28.84,29.17,28.78,29.17,20839328,"Monday",0.0253441789445898
2011-10-17,29.19,29.38,28.93,29.02,18492107,"Monday",-0.00515553642358801
2011-10-24,29.11,29.14,28.77,28.88,24212633,"Monday",-0.00861925694671806
2011-10-31,29.46,29.65,29.3,29.31,26339037,"Monday",-0.0145641863092081
2011-11-07,29.2,29.45,29.05,29.44,15008461,"Monday",0.00955638672021841
2011-11-14,29.26,29.32,29.05,29.19,21931812,"Monday",-0.00784853030726795
2011-11-21,28.39,28.49,28.15,28.36,22281961,"Monday",-0.00982464042851783
2011-11-28,27.92,28.11,27.76,27.95,24224945,"Monday",0.0195092892864137
2011-12-05,29.17,29.3,28.99,29.15,21861992,"Monday",0.00653934527898548
2011-12-12,29.02,29.08,28.92,29.01,25797566,"Monday",-0.00068917990322559
2011-12-19,28.98,29.06,28.65,28.74,19015359,"Monday",-0.00382011230322954
2012-01-09,29.81,29.85,29.5,29.66,26791849,"Monday",-0.000674081589393971
2012-01-23,30.51,30.56,30.26,30.4,19187435,"Monday",-0.00361189031640219
2012-01-30,29.12,29.38,29.02,29.34,29433308,"Monday",0.00615386557437825
2012-02-06,29.83,29.98,29.69,29.97,23567219,"Monday",0.000667556767113275
2012-02-13,29.92,30.12,29.84,30.04,23045013,"Monday",0.00668005156037355
2012-02-27,30.31,30.43,30.29,30.36,30633545,"Monday",0.000658978607043004
2012-03-05,30.85,31.12,30.75,30.99,39273111,"Monday",0.00387973328558866
2012-03-12,31.2,31.52,31.18,31.44,20572633,"Monday",0.00830410393137537
2012-03-19,31.46,31.74,31.35,31.65,19747361,"Monday",0.00189753377619173
2012-03-26,31.61,31.83,31.59,31.79,75572224,"Monday",0.00852950993303292
2012-04-02,31.28,31.59,31.27,31.45,21698981,"Monday",0.00701981185146261
2012-04-09,30.67,30.84,30.55,30.64,19224200,"Monday",-0.00974350027252946
2012-04-16,30.56,30.72,30.5,30.61,14736377,"Monday",0.00228945316683449
2012-04-23,30.87,30.9,30.61,30.61,27331530,"Monday",-0.00813409397769371
2012-04-30,32.53,32.95,32.52,32.91,26654024,"Monday",0.00731933734226997
2012-05-07,32.49,33.09,32.47,33,25772715,"Monday",0.0042514488573584
2012-05-14,33.42,33.56,33.05,33.53,30007272,"Monday",-0.00178784314606428
2012-05-21,33.71,33.94,33.56,33.63,24667714,"Monday",-0.000891663010481825
2012-06-04,33.91,34.27,33.85,34.15,26702496,"Monday",0.00734757163039435
2012-06-11,34.72,35,34.56,34.59,26192357,"Monday",0.00115707273539867
2012-06-18,35.66,35.98,35.6,35.63,22627250,"Monday",-0.00224278198861239
2012-06-25,34.96,35.05,34.77,34.95,87787166,"Monday",-0.006274977806072
2012-07-02,35.7,36.2,35.64,36.2,24804784,"Monday",0.0150295063967314
2012-07-09,35.38,35.54,35.23,35.54,17414115,"Monday",0.00281769698962497
2012-07-16,35.22,35.56,35.19,35.42,17691472,"Monday",0.00197824001210556
2012-07-23,35,35.5,34.89,35.38,27256283,"Monday",0.00254705104446051
2012-07-30,37.08,37.69,37.03,37.43,24768730,"Monday",0.0077779659917776
2012-08-06,37.58,37.98,37.57,37.61,16364448,"Monday",0.000797978496925644
2012-08-13,37.41,37.51,37.32,37.39,13117435,"Monday",-0.00267094175879823
2012-08-20,37.03,37.04,36.81,36.89,25286716,"Monday",-0.00756147270057683
2012-08-27,36.83,36.98,36.75,36.87,22007495,"Monday",-0.00216743514815798
2012-09-10,37.32,37.64,37.22,37.42,18280062,"Monday",0.00321199419617413
2012-09-17,37.14,37.65,37.11,37.6,28920043,"Monday",0.00908368522240632
2012-09-24,38.3,38.49,38.22,38.25,20126386,"Monday",0.00445435034938058
2012-10-01,37.63,37.97,37.6,37.75,53521328,"Monday",0.00132538124106851
2012-10-08,37.71,37.88,37.5,37.66,15015279,"Monday",-0.00529662255217067
2012-10-15,35.4,35.43,34.83,35.21,46237299,"Monday",-0.0118578464507832
2012-10-22,35.24,35.39,35.05,35.26,20800975,"Monday",-0.00170019876603522
2012-11-05,34.88,34.94,34.43,34.83,17674692,"Monday",-0.00286697444083073
2012-11-12,33.66,34.04,33.55,33.87,19996601,"Monday",0.00979091043461766
2012-11-19,33.46,33.89,32.71,33.82,21733123,"Monday",0.0203113314720174
2012-11-26,34.14,34.22,33.8,33.97,34859949,"Monday",-0.0114153149435623
2012-12-03,34.23,34.4,34.03,34.14,19613466,"Monday",0.000292954447678628
2012-12-10,33.68,33.88,33.47,33.73,20847385,"Monday",-0.000296428044263664
2012-12-17,34.08,34.27,33.96,34.23,24825520,"Monday",0.00644785352299015
2012-12-24,33.49,33.95,33.49,33.74,9673495,"Monday",0.00207684394483909
2012-12-31,33.13,33.73,33.1,33.71,26913518,"Monday",0.0116367119473275
2013-01-07,35.25,35.5,35.1,35.39,27504227,"Monday",0.00453130200422613
2013-01-14,34.16,34.22,33.96,34.02,21973765,"Monday",-0.00732174891880177
2013-01-28,34,34.3,33.92,34.13,23662862,"Monday",0.00322817595090008
2013-02-04,35.38,35.47,35,35.23,28240651,"Monday",-0.00791635460185036
