"Date","Open","High","Low","Close","Volume","DOW","log_returns"
2011-01-07,55.15,55.23,54.74,55.05,12546822,"Friday",0.00218221581416067
2011-01-14,55.51,55.64,54.99,55.07,6342235,"Friday",-0.00633543616044197
2011-01-21,55.88,56.44,55.68,55.73,5939429,"Friday",0.00323508549580609
2011-01-28,54.81,55.11,54.27,54.35,5657878,"Friday",-0.008792875848739
2011-02-04,53.97,54.5,53.72,54.27,5221697,"Friday",0.00387704722701177
2011-02-11,54.35,54.6,54.15,54.39,5744662,"Friday",-0.00312070010033727
2011-02-18,52.75,52.8,51.75,51.9,23068372,"Friday",-0.023799314616114
2011-02-25,52.22,52.71,51.64,52.36,9493890,"Friday",0.00689922246027175
2011-03-04,52.28,52.5,51.45,51.65,11075114,"Friday",-0.00829080233466595
2011-03-11,51.42,52,51.06,51.53,5803776,"Friday",0.00720618562949094
2011-03-18,50.59,50.68,49.45,49.99,15500010,"Friday",-0.00777128549898531
2011-03-25,50.56,50.59,49.89,49.95,9877131,"Friday",-0.0131266801314238
2011-04-01,50.07,50.58,50,50.36,5935924,"Friday",0.00697422374533385
2011-04-08,49.4,49.92,49.1,49.53,8384826,"Friday",-0.00181543166350862
2011-04-15,50.16,50.64,50.04,50.24,5316400,"Friday",0.00438859671047043
2011-04-29,49.77,49.77,49.02,49.1,9161995,"Friday",-0.0225543189289641
2011-05-06,50.8,50.85,50.44,50.51,8811581,"Friday",0.00337134677279138
2011-05-13,51.88,52.12,51.24,51.52,6294439,"Friday",-0.00464756839654656
2011-05-20,50.02,50.1,49.46,49.69,8134099,"Friday",-0.0120025445696443
2011-05-27,49.3,49.62,49.26,49.37,2940624,"Friday",-0.000809880586887246
2011-06-03,47.64,47.97,47.33,47.4,6391383,"Friday",-0.0115365726284162
2011-06-10,47.14,47.14,46.51,46.7,6467813,"Friday",-0.0098019109943186
2011-06-17,46.75,47.27,46.49,46.53,9075571,"Friday",0.00172080059670954
2011-06-24,47.53,47.63,46.32,46.33,12522215,"Friday",-0.027673115384212
2011-07-01,47.05,47.97,46.84,47.93,5429171,"Friday",0.0215107408311734
2011-07-08,51,51.44,50.88,51.14,9819136,"Friday",-0.0103103724360527
2011-07-15,50.93,51.12,50.39,51.09,8227206,"Friday",0.00588929852955289
2011-07-22,51.81,51.88,51.35,51.81,3985259,"Friday",0.00154529681127347
2011-07-29,50.81,51.83,50.43,51.49,9511447,"Friday",0.0208013779694158
2011-08-05,48.34,48.86,47.3,48.65,11255099,"Friday",0.0174169859940019
2011-08-12,48.01,48.88,46.95,48.48,6869852,"Friday",0.0252754969559139
2011-08-19,50.03,50.91,49.76,49.92,8574743,"Friday",-0.0143200537747483
2011-08-26,50.09,51.16,49.55,50.83,4688357,"Friday",0.0104816543531179
2011-09-02,50.64,50.64,49.71,49.71,4702317,"Friday",-0.0267952917067564
2011-09-09,50.26,50.52,49.51,50.02,7976515,"Friday",-0.0113310028543721
2011-09-16,51.96,53.39,51.9,52.66,11129601,"Friday",0.0183983725537797
2011-09-23,49.07,49.68,48.81,49.14,8057613,"Friday",0.000203520912475774
2011-09-30,49.74,49.89,49.01,49.04,8794629,"Friday",-0.0239761661339974
2011-10-07,52.17,52.35,51,51.56,7249785,"Friday",-0.00676527176815123
2011-10-14,53.01,53.32,52.57,52.95,4802011,"Friday",0.00416351850503727
2011-10-21,54.13,54.65,53.85,54.64,5881026,"Friday",0.0171670113451663
2011-10-28,55.29,55.55,54.8,55.24,5384874,"Friday",-0.00990731331634542
2011-11-04,52.07,52.35,51.42,52.17,5265436,"Friday",-0.00134086793387445
2011-11-11,52,53.13,51.98,53.07,4291823,"Friday",0.0248009659259938
2011-11-18,52.81,53.22,52.2,53,6125043,"Friday",0.00681562653506029
2011-11-25,51.66,51.86,51.21,51.21,2330030,"Friday",-0.00622933686567384
2011-12-02,52.34,53.35,52.34,52.88,7522846,"Friday",0.0139010140966493
2011-12-09,53.72,53.9,53.29,53.5,3975714,"Friday",0.000560904941320661
2011-12-16,52.43,52.58,51.8,52.2,4165238,"Friday",0.00249352771378542
2011-12-23,51.51,51.72,51.11,51.7,3340768,"Friday",0.00835199571877432
2011-12-30,51.74,51.74,51.22,51.22,2559382,"Friday",-0.00894077870296694
2012-01-06,48.81,49.56,48.48,48.95,12595664,"Friday",0.00902940671939412
2012-01-13,49.65,50.22,49.48,49.82,6843811,"Friday",0.000200742748842409
2012-01-20,51.11,51.11,49.96,50.17,7244808,"Friday",-0.0144456850603154
2012-01-27,50.45,50.79,49.92,50.05,5636747,"Friday",-0.00895083052008472
2012-02-03,52.29,52.7,52.05,52.14,6084391,"Friday",0.00268868992392823
2012-02-10,52.36,52.44,52.02,52.43,3216778,"Friday",-0.00513650896287521
2012-02-17,52.24,52.71,52.12,52.64,5030178,"Friday",0.0135796291608341
2012-02-24,54.79,55.46,54.62,55.22,10355534,"Friday",0.0131245048328101
2012-03-02,56.59,56.9,56.36,56.59,3462073,"Friday",-0.0029995611374094
2012-03-09,57.36,57.8,57.3,57.69,4200001,"Friday",0.00800561184778736
2012-03-16,58.82,58.95,58.11,58.41,5758827,"Friday",-0.00580404497205045
2012-03-23,57.97,58.4,57.62,58.19,4879667,"Friday",0.00447813356004545
2012-03-30,58.09,58.52,58.09,58.27,3725650,"Friday",0.00498925766147362
2012-04-13,57.82,58.06,57.4,57.43,4509759,"Friday",-0.00866857023232726
2012-04-20,56.93,57.39,56.72,57.28,3609611,"Friday",0.00859126876304916
2012-04-27,57.64,58.62,57.31,58.26,3882828,"Friday",0.0133047318960893
2012-05-04,56.13,56.42,55.52,55.65,5671495,"Friday",-0.0160431248405759
2012-05-11,55.17,56.11,55.11,55.43,3942397,"Friday",0.00216723942512687
2012-05-18,55.07,56,54.91,55.46,7144305,"Friday",0.0117893811296064
2012-05-25,57.43,57.71,57.17,57.62,4293839,"Friday",0.00644208722203299
2012-06-01,57.22,57.47,56.85,57.2,4810286,"Friday",-0.0123361828519464
2012-06-08,57.24,59.25,57.24,59.2,6427375,"Friday",0.0322719389299895
2012-06-15,58.92,59,58.23,58.5,6017833,"Friday",-0.000854335805914985
2012-06-22,57.6,57.83,57.48,57.56,5384419,"Friday",0.00278357869364587
2012-06-29,57.86,58.25,56.93,58.19,7684406,"Friday",0.012624465117435
2012-07-06,56.8,58.2,56.71,58.07,5031607,"Friday",0.0159697891431385
2012-07-13,59.82,61.98,59.69,61.95,10553111,"Friday",0.0339850485237241
2012-07-20,61.08,61.6,61,61.37,3588729,"Friday",0.00195726697616916
2012-07-27,61.25,61.88,61.22,61.52,3561747,"Friday",0.00750533789065688
2012-08-03,62.43,62.86,62.06,62.36,3918064,"Friday",0.00627364721555956
2012-08-10,62.76,62.89,62.38,62.84,2934525,"Friday",0.00238986810154351
2012-08-17,64.02,64.14,63.75,64.14,3022773,"Friday",0.00359235060281815
2012-08-24,63,63.8,62.98,63.69,2764664,"Friday",0.0110515807494371
2012-08-31,64.53,64.55,64,64.09,3870271,"Friday",-0.00109161804212388
2012-09-07,64.86,64.97,63.87,64,3875785,"Friday",-0.0133480175195002
2012-09-14,65.09,65.09,64.36,64.67,4480451,"Friday",-0.00601250558670419
2012-09-21,65.49,65.8,65.26,65.44,4165933,"Friday",0.000611433831338992
2012-09-28,63.52,63.88,62.98,63.47,4027625,"Friday",-0.00188887196093823
2012-10-05,64,64.41,63.95,64.18,3802071,"Friday",0.0082923106782955
2012-10-12,61.32,62.08,61.27,61.52,4324066,"Friday",0.00439847577255215
2012-10-19,62.87,63.02,61.83,62.23,3781030,"Friday",-0.0113446930551344
2012-10-26,63.43,64.23,63.32,63.92,5307606,"Friday",0.0125946249203999
2012-11-02,63.33,63.43,62.62,62.71,3712080,"Friday",-0.00366096708133146
2012-11-09,61.69,62.43,61.51,62.02,3963542,"Friday",0.00322997696833216
2012-11-16,62.37,62.66,61.89,62.5,3858260,"Friday",0.00096046109512482
2012-11-23,64.1,64.5,63.69,64.48,1819047,"Friday",0.0118566131565254
2012-11-30,62.67,63.24,62.07,63.13,6046327,"Friday",0.00540026725351694
2012-12-07,62.37,62.39,61.86,62.28,3634609,"Friday",0.00128534722066398
2012-12-14,60.97,61.3,60.47,60.5,3369009,"Friday",-0.0123204843880407
2012-12-21,60.13,60.25,59.41,59.6,8671807,"Friday",-0.0126710598283442
2012-12-28,58.73,59.62,58.54,58.57,3479091,"Friday",-0.0061276787481308
2013-01-04,60.72,60.79,59.9,60.58,5249203,"Friday",0.00695712595750653
2013-01-11,60.17,60.53,59.99,60.07,4481822,"Friday",-0.00398737860082488
