"Date","Open","High","Low","Close","Volume","DOW","log_returns"
2011-01-10,55.3,55.5,55.03,55.22,10864752,"Monday",0.00308334333331928
2011-01-24,55.58,55.95,54.85,55.8,5538004,"Monday",0.00125526780581975
2011-01-31,54.91,54.96,54.43,54.83,6002559,"Monday",0.008792875848739
2011-02-07,54.42,54.9,54.24,54.8,5204171,"Monday",0.00971860587865647
2011-02-14,54.19,54.19,53.58,53.63,5852113,"Monday",-0.0140717004400357
2011-02-28,52.3,52.72,52.03,52.55,6730996,"Monday",0.00362215628126084
2011-03-07,51.82,52.16,51.17,51.3,7927346,"Monday",-0.0067994433889238
2011-03-14,51.35,51.35,50.82,51.07,4482964,"Monday",-0.00896692168058033
2011-03-21,50.99,51.01,50.39,50.71,6328334,"Monday",0.014300144381449
2011-03-28,50.17,50.22,49.4,49.55,6260630,"Monday",-0.00804024431856565
2011-04-04,50.5,50.55,49.76,50.06,5397681,"Monday",-0.00597492317251813
2011-04-11,49.53,49.77,49.24,49.26,5480050,"Monday",-0.00546615390775429
2011-04-18,49.94,50.35,49.65,50.27,4214837,"Monday",0.000596955544540645
2011-04-25,49.87,49.96,49.49,49.5,3665329,"Monday",-0.00804833318282805
2011-05-02,49.34,49.46,48.53,48.8,10165947,"Monday",-0.00612872194137326
2011-05-09,50.47,50.47,49.81,50,4758780,"Monday",-0.0101483310518153
2011-05-16,51.33,51.38,50.24,50.34,7051478,"Monday",-0.0231700920889284
2011-05-23,49.37,49.83,49.32,49.51,4948312,"Monday",-0.0036290362408975
2011-06-06,47.32,47.57,46.96,47.36,6071629,"Monday",-0.000844238125280672
2011-06-13,46.73,46.87,46.15,46.43,5930248,"Monday",-0.00579836264302136
2011-06-20,46.49,47.33,46.4,47.24,5650034,"Monday",0.0151437254726043
2011-06-27,45.93,46.54,45.65,46.46,8301466,"Monday",0.00280202791370598
2011-07-11,50.68,51.2,50.51,50.69,4802902,"Monday",-0.00883831737878271
2011-07-18,50.91,51,50.35,50.59,5829023,"Monday",-0.00983485503886161
2011-07-25,51.39,51.52,51.06,51.14,3376130,"Monday",-0.0130162109636562
2011-08-01,51.67,51.68,50.29,51.1,8813005,"Monday",-0.00760311684839099
2011-08-08,47.6,48.44,45.28,46.44,18146575,"Monday",-0.0464906518023236
2011-08-15,48.68,48.72,47.82,48.42,5971237,"Monday",-0.00123839025114636
2011-08-22,50.63,50.7,48.84,50.05,6144361,"Monday",0.00260078170005729
2011-08-29,51.3,51.4,50.77,51.34,4376903,"Monday",0.00998344398418327
2011-09-12,49.43,50.35,49.08,50.11,5302492,"Monday",0.00179766352216015
2011-09-19,51.92,52.98,51.83,52.76,6356683,"Monday",0.00189717378095056
2011-09-26,49.52,50.77,49.38,50.62,5928564,"Monday",0.0296733880239448
2011-10-03,48.68,49.2,47.79,47.8,8410516,"Monday",-0.0256106521305459
2011-10-10,52.07,52.71,51.84,52.63,4816872,"Monday",0.020540121294701
2011-10-17,52.66,53.2,52.62,52.9,4042207,"Monday",-0.000944733183162239
2011-10-24,54.41,55.18,54.41,54.72,4376619,"Monday",0.00146305805176006
2011-10-31,54.73,55.4,54.5,54.75,4293872,"Monday",-0.00890995984448129
2011-11-07,52.28,52.87,52.07,52.83,3869364,"Monday",0.0125715941419231
2011-11-14,52.5,53.02,52.29,52.65,3746920,"Monday",-0.00794555825981913
2011-11-21,52.05,52.78,51.62,52.54,5908178,"Monday",-0.00871712929472812
2011-11-28,52.41,52.56,51.35,51.63,4721158,"Monday",0.00816807341709858
2011-12-05,53.2,53.47,52.86,53.32,4378973,"Monday",0.0082862997670774
2011-12-12,53.42,53.64,53.02,53.47,4388556,"Monday",-0.000560904941320661
2011-12-19,52.17,52.44,51.3,51.44,3144249,"Monday",-0.0146664149592293
2012-01-09,49.02,49.02,48.28,48.57,6795529,"Monday",-0.00779331261886584
2012-01-23,50.17,50.62,49.93,50.15,6324078,"Monday",-0.000398724088217062
2012-01-30,49.89,50.52,49.75,50.33,5347774,"Monday",0.00557881502703905
2012-02-06,51.97,52.36,51.8,52.05,3709915,"Monday",-0.00172761344437777
2012-02-13,52.5,52.59,52.11,52.36,3114281,"Monday",-0.00133600554274205
2012-02-27,54.84,55.43,54.75,55.31,6293694,"Monday",0.00162851750457804
2012-03-05,56.71,56.86,56.12,56.7,4053839,"Monday",0.00194191957927448
2012-03-12,57.77,58.09,57.7,57.98,4660126,"Monday",0.00501427522471154
2012-03-19,58.37,58.5,57.82,58.37,4229270,"Monday",-0.000685048836517765
2012-03-26,58.32,58.95,58.19,58.86,3876171,"Monday",0.0114482241367488
2012-04-02,58.35,58.45,57.99,58.29,4146464,"Monday",0.000343170902475265
2012-04-09,56.81,57.7,56.74,57.52,5058796,"Monday",-0.00347102049287873
2012-04-16,57.55,57.67,57.14,57.39,4180558,"Monday",-0.000696742755934565
2012-04-23,57,57.05,56.21,56.64,3559814,"Monday",-0.0112360732669261
2012-04-30,58.06,58.26,57.48,57.94,3919979,"Monday",-0.00550775919008473
2012-05-07,55.7,56.16,55.66,55.76,3031160,"Monday",0.00197468873071482
2012-05-14,54.91,55.54,54.83,54.92,4174509,"Monday",-0.00924338253194357
2012-05-21,55.43,55.9,54.93,55.83,4780207,"Monday",0.00664931913463729
2012-06-04,57.26,57.8,56.99,57.57,6150550,"Monday",0.00644770030196629
2012-06-11,59.36,59.4,58.6,58.7,5272806,"Monday",-0.00848181505590961
2012-06-18,58.3,58.8,57.71,58.47,3834217,"Monday",-0.000512952050232052
2012-06-25,57.24,57.5,56.88,57.23,3674029,"Monday",-0.00574964559815605
2012-07-02,58.34,58.47,57.78,58.27,4113343,"Monday",0.00137386248640503
2012-07-09,58.26,58.29,57.55,58.04,4662295,"Monday",-0.00051675136797158
2012-07-16,61.73,62.18,61.45,61.5,6414341,"Monday",-0.00729043326267931
2012-07-23,60.78,60.86,60.25,60.44,4260214,"Monday",-0.015269978996467
2012-07-30,61.37,62.16,61.29,62.04,3638459,"Monday",0.00841701311094933
2012-08-06,62.55,62.9,62.39,62.39,2415816,"Monday",0.000480961933119417
2012-08-13,62.62,62.62,62.23,62.51,3507817,"Monday",-0.00526526944369898
2012-08-20,64,64.11,63.43,63.64,4224874,"Monday",-0.00782599079542301
