"Date","Open","High","Low","Close","Volume","DOW","log_returns"
2011-01-07,46.46,47.68,46.46,47.59,8071432,"Friday",0.0279127528075431
2011-01-14,49.48,49.64,49.09,49.33,5513860,"Friday",-0.00364225412768482
2011-01-21,47.74,48.08,47.15,47.26,11319050,"Friday",-0.00548640329562788
2011-01-28,47.73,47.8,46.67,46.77,7820500,"Friday",-0.0190602974789393
2011-02-04,46.78,47.26,46.6,47.12,3554490,"Friday",0.00681433641973017
2011-02-11,48.64,49.75,48.5,49.51,5880792,"Friday",0.0152643647602608
2011-02-18,48.82,48.86,48.32,48.57,4424552,"Friday",-0.00697581819361215
2011-02-25,47.15,47.3,46.8,47.02,4267430,"Friday",0.00340861003227388
2011-03-04,47.63,47.9,47.22,47.68,5135432,"Friday",-0.00188580464477628
2011-03-11,46.99,47.62,46.63,47.38,3513426,"Friday",0.00741450277368294
2011-03-18,47.58,48,47.07,47.51,9026852,"Friday",0.0129225397465964
2011-03-25,47.82,49,47.66,48.8,6386510,"Friday",0.0232182901020073
2011-04-01,49.5,49.62,48.89,49.14,5586956,"Friday",-0.000406917604800938
2011-04-08,48.32,48.44,47.29,47.83,4695470,"Friday",-0.00853549472672466
2011-04-15,48.78,49.45,48.45,49.14,5125192,"Friday",0.00899433700448871
2011-04-29,51.56,51.9,51.1,51.74,7137716,"Friday",0.00562071447782442
2011-05-06,51.54,51.77,50.99,51.17,4962506,"Friday",0.00607666282302688
2011-05-13,51.24,51.5,49.99,50.23,6286260,"Friday",-0.0195176230094258
2011-05-20,51.38,51.56,50.68,51,4501490,"Friday",-0.00781253973679386
2011-05-27,51.68,52.08,51.6,51.76,2947982,"Friday",0.00270845590217705
2011-06-03,50.26,50.98,49.95,50.57,5812168,"Friday",-0.0106216576882963
2011-06-10,50.4,50.59,49.71,49.8,5047964,"Friday",-0.0167267938053133
2011-06-17,49.9,50.25,49.58,50,7118342,"Friday",0.012072581234269
2011-06-24,50.8,50.87,49.9,50.02,5546614,"Friday",-0.015867052442545
2011-07-01,52.3,53.52,52.1,53.38,5390528,"Friday",0.0223536490877851
2011-07-08,52.62,52.93,51.73,52.15,6794970,"Friday",-0.0184293237213971
2011-07-15,50.53,50.62,49.54,50.37,4731108,"Friday",0.000198550581413048
2011-07-22,52.14,52.38,51.64,51.9,4770012,"Friday",-0.00576370471675025
2011-07-29,50.94,51.65,50.3,51.24,6021756,"Friday",-0.00661352342466515
2011-08-05,47,47.16,44.88,46.24,12767458,"Friday",-0.0032386943995304
2011-08-12,46.22,47.05,45.9,46.36,5730406,"Friday",0.00801303691971844
2011-08-19,42.43,43.65,42.25,42.84,11534760,"Friday",-0.004192878260036
2011-08-26,44.19,44.98,42.72,44.78,5848240,"Friday",0.0123583192903736
2011-09-02,44.96,44.96,43.96,44.14,4903872,"Friday",-0.0347318970715689
2011-09-09,43.48,43.79,42.27,42.54,8901950,"Friday",-0.0360149726807091
2011-09-16,45.88,46.13,45.42,45.82,5869502,"Friday",0.00437446016910759
2011-09-23,41.12,41.86,40.91,41.56,9220826,"Friday",0.00821459076871367
2011-09-30,41.8,42.14,40.83,40.84,7569160,"Friday",-0.0424269742153558
2011-10-07,44.97,45.02,43.94,44.4,6380808,"Friday",-0.00807541400554523
2011-10-14,45.62,46,45.24,45.98,3606400,"Friday",0.0202115843309372
2011-10-21,47.72,48.5,47.49,48.48,10311690,"Friday",0.0246410462631719
2011-10-28,51.02,51.48,50.76,51.01,6232606,"Friday",-0.00605884781260091
2011-11-04,50.01,50.72,49.18,50.62,4949002,"Friday",-0.00236779905415796
2011-11-11,50.83,51.58,50.8,51.44,3960486,"Friday",0.0246002762625217
2011-11-18,50.58,51.32,50.28,51.02,4950250,"Friday",0.0110367695007536
