"Date","Open","High","Low","Close","Volume","DOW","log_returns"
2011-01-10,47.91,49.01,47.66,48.68,9898616,"Monday",0.0226456129863073
2011-01-24,47.14,47.29,46.94,47.1,7692314,"Monday",-0.00339127073638945
2011-01-31,46.83,47.56,46.76,47.32,6642804,"Monday",0.0116910673723911
2011-02-07,47.25,47.64,47.06,47.3,4222862,"Monday",0.00381275615455579
2011-02-14,49.57,49.62,48.98,49.26,4294374,"Monday",-0.00506227668093961
2011-02-28,47.14,47.77,46.94,47.7,5801708,"Monday",0.014358354782372
2011-03-07,47.93,48.27,46.87,47.28,4291034,"Monday",-0.00842464965925149
2011-03-14,47.08,47.42,46.59,47.02,3713516,"Monday",-0.00762715561871596
2011-03-21,47.9,48.47,47.68,48.28,3865476,"Monday",0.0160771810305005
2011-03-28,48.88,49.19,48.7,48.81,4915022,"Monday",0.00020489703995441
2011-04-04,49.2,49.4,48.84,49.3,3073282,"Monday",0.0032507139556115
2011-04-11,47.94,48.12,47.19,47.68,5015580,"Monday",-0.00314103493511109
2011-04-18,48.48,48.65,47.82,48.38,4482978,"Monday",-0.0155868619111517
2011-04-25,47.98,48.58,47.87,48.5,5243350,"Monday",0.0097379822667043
2011-05-02,51.92,52.07,51.56,51.81,4717030,"Monday",0.00135200406881397
2011-05-09,51.1,51.49,50.78,51.24,2923938,"Monday",0.00136705421153271
2011-05-16,50.11,51.03,49.99,50.5,6265218,"Monday",0.00536087851936085
2011-05-23,50.25,50.9,49.83,50.8,6470626,"Monday",-0.00392927813988964
2011-06-06,50.45,50.86,50.05,50.06,3724740,"Monday",-0.0101362290882636
2011-06-13,49.85,50.74,49.74,50.32,5170786,"Monday",0.0103876283615776
2011-06-20,49.93,51.09,49.8,50.9,4871524,"Monday",0.0178399181283311
2011-06-27,50.16,50.39,49.7,50,4819720,"Monday",-0.000399920021326938
2011-07-11,51.64,51.73,50.7,51.14,6195886,"Monday",-0.0195572115837406
2011-07-18,50.25,50.36,49.54,50.25,4816482,"Monday",-0.00238521281837434
2011-07-25,51.34,53,51.3,52.43,5884804,"Monday",0.0101601564125984
2011-08-01,51.74,51.81,49.85,50.66,7831392,"Monday",-0.0113838324550044
2011-08-08,44.66,45.44,43.5,43.72,18978218,"Monday",-0.0560395610557842
2011-08-15,46.8,47.44,46.37,46.92,6352106,"Monday",0.0120070053137238
2011-08-22,43.66,44,42.85,42.99,8589068,"Monday",0.00349528492864204
2011-08-29,45.11,45.44,44.76,45.42,5169988,"Monday",0.0141909255068038
2011-09-12,41.97,42.54,41.08,42.14,9589970,"Monday",-0.00944740139604816
2011-09-19,45.19,45.19,44.04,44.82,5596116,"Monday",-0.0220662086525687
2011-09-26,41.94,42,40.98,41.86,7218726,"Monday",0.00719255078682668
2011-10-03,40.76,41.52,39.9,39.92,7648176,"Monday",-0.0227845418532016
2011-10-10,45.04,46,44.9,46,4888570,"Monday",0.0354019270509158
2011-10-17,45.78,45.78,44.5,44.66,4173680,"Monday",-0.0291282729230238
2011-10-24,48.46,49.06,48.34,48.7,6428358,"Monday",0.00452768832748518
2011-10-31,50.59,50.72,49.76,49.78,4993688,"Monday",-0.024408394995389
2011-11-07,50.4,51.54,49.8,50.84,4811620,"Monday",0.00433669120427549
2011-11-14,51.1,51.6,50.91,51.48,4947088,"Monday",0.00077730279856203
2011-11-21,50.34,50.53,48.75,49.2,7612818,"Monday",-0.0363240892154031
2011-11-28,48.9,49.48,48.73,49.26,4573578,"Monday",0.0346998878175802
2011-12-05,52.24,53,51.84,52.3,4883172,"Monday",0.0185261956278828
2011-12-12,50.39,50.77,49.9,50.3,3564418,"Monday",-0.0114648419261734
2011-12-19,50.07,50.46,49.14,49.24,5588938,"Monday",-0.0141159835353744
2012-01-09,54.08,54.81,53.67,54.74,4670294,"Monday",0.0180650073976389
2012-01-23,56.66,56.72,55.38,55.61,5267962,"Monday",-0.0144606643743783
2012-01-30,56.82,57.5,56.68,57.32,6584442,"Monday",-0.00226540133479336
2012-02-06,57.96,58.06,57.18,57.52,4388884,"Monday",-0.00934424518369248
2012-02-13,56.31,56.66,55.76,56.59,5280870,"Monday",0.0137000630462563
2012-02-27,55.76,56.98,55.6,56.37,3763642,"Monday",0.00106496282695723
2012-03-05,55.3,55.68,54.56,54.78,5357052,"Monday",-0.0119761910467151
2012-03-12,53.94,54.38,53.66,54.08,5859224,"Monday",0.00481928643594909
2012-03-19,56.24,56.84,56.1,56.5,3227546,"Monday",-0.0014149277210258
