"Date","Open","High","Low","Close","Volume","DOW","log_returns"
2011-01-07,72.81,72.92,71,72.15,7146131,"Friday",-0.00470133609290624
2011-01-14,72.06,72.87,72.03,72.48,2422960,"Friday",0.00317833474218254
2011-01-21,73.02,73.09,72.45,72.89,4601724,"Friday",0.00316042860106602
2011-01-28,72.93,72.96,70.64,70.73,5646379,"Friday",-0.0303559927704402
2011-02-04,74.46,74.6,73.6,74.34,2959002,"Friday",0.000672811705390686
2011-02-11,74.65,75.63,74.39,75.32,4248450,"Friday",0.00732896877712719
2011-02-18,76.47,77,76.09,76.47,5038680,"Friday",0.00183246124575476
2011-02-25,73.98,74.05,73.3,73.46,3731530,"Friday",-0.00299035155553007
2011-03-04,73.56,73.65,71.63,72.44,4916950,"Friday",-0.0139824073763082
2011-03-11,73,74.52,73,74.09,4739832,"Friday",0.0133154141233414
2011-03-18,72.58,72.6,71.28,71.6,5953188,"Friday",-0.000139655052248777
2011-03-25,72.14,72.59,71.99,72.04,3461985,"Friday",-0.00083252398314837
2011-04-01,74.99,75.14,74.28,74.48,3623525,"Friday",0.00215053846322899
2011-04-08,74.11,74.13,72.84,73.25,4212094,"Friday",-0.0101868453069933
2011-04-15,72.6,72.96,72.35,72.71,3609040,"Friday",0.00413451526123598
2011-04-29,74.85,75.34,74.62,74.97,4396352,"Friday",0.002136467630657
2011-05-06,74.9,74.95,74,74.1,3980411,"Friday",0.00189112578311779
2011-05-13,74.43,74.71,73.79,74.14,3774973,"Friday",-0.00269396714652004
2011-05-20,74.07,74.39,73.95,74.05,4709307,"Friday",-0.00337041100990554
2011-05-27,73.34,73.42,72.74,72.96,2702146,"Friday",-0.000137052011452532
2011-06-03,71.76,71.76,70.84,71.15,5370115,"Friday",-0.0163103915480596
2011-06-10,69.05,69.29,68.13,68.5,4866809,"Friday",-0.0114668503711099
2011-06-17,69.64,69.83,69.17,69.17,5585098,"Friday",0.00173636275719247
2011-06-24,71.25,71.49,70.51,71.12,4743819,"Friday",-0.00280820178929009
2011-07-01,73.09,74.12,72.9,73.96,3674934,"Friday",0.0140243295227815
2011-07-08,74.79,74.95,74.13,74.57,4053069,"Friday",-0.0106710362996756
2011-07-15,73.65,73.65,72.33,73.08,4211234,"Friday",-0.00382409643840287
2011-07-22,74.24,74.67,73.96,74.16,2886938,"Friday",-0.0032310205814472
2011-07-29,68.64,69.68,68.36,69.22,6237464,"Friday",0.00115640371372017
2011-08-05,66.17,66.97,64.4,65.69,10325082,"Friday",0.00702722109637666
2011-08-12,65.04,65.74,64.4,65.2,5740056,"Friday",0.00738919618237066
2011-08-19,61.54,63.08,61.53,61.7,6606767,"Friday",-0.00935641605445525
2011-08-26,63.25,64.94,62.21,64.7,4754846,"Friday",0.0162047796529086
2011-09-02,66,66.2,65.28,65.61,5251984,"Friday",-0.0160269532731823
2011-09-09,64.25,64.78,63.61,64.22,6722127,"Friday",-0.0105329350486763
2011-09-16,66.32,66.77,65.2,66.59,8253406,"Friday",0.00617611362906434
2011-09-23,61.89,62.53,61.12,62,9247689,"Friday",-0.00273818323615416
2011-09-30,64.02,64.69,63.12,63.15,6157434,"Friday",-0.0237845666620018
2011-10-07,66.95,67,65.51,66.26,5510942,"Friday",-0.00391625745297741
2011-10-14,68.94,69.28,68.3,68.96,3865665,"Friday",0.0126962668605621
2011-10-21,69.86,70.71,69.51,70.06,7502669,"Friday",0.0123511551457165
2011-10-28,71.17,72.04,71.12,71.49,3817864,"Friday",-0.000838926223700298
2011-11-04,70.06,70.19,69.02,69.99,4583340,"Friday",-0.0081110369970876
2011-11-11,70.72,71.3,70.65,70.78,3051663,"Friday",0.012796989651461
2011-11-18,69.3,69.47,68.8,69.14,3691490,"Friday",0.00304193759591787
2011-11-25,66.52,67.15,66.46,66.46,1690685,"Friday",-0.00659870420773512
2011-12-02,71.76,72.09,71,71.07,4107371,"Friday",-0.000843881906620325
2011-12-09,72.38,72.64,71.76,72.45,3741888,"Friday",0.00595281054596253
2011-12-16,72.09,72.4,71.36,71.76,6937877,"Friday",0.00293071174808013
2011-12-23,73.15,73.48,72.91,73.47,1870416,"Friday",0.00641771848379502
2011-12-30,73.55,73.75,73.11,73.19,1774587,"Friday",-0.00463468659499533
2012-01-06,73.13,73.94,73.05,73.48,3177498,"Friday",0.00491133320103021
