"Date","Open","High","Low","Close","Volume","DOW","log_returns"
2011-01-07,36.04,36.04,35.41,35.93,29542594,"Friday",-0.00831490378155841
2011-01-14,35.69,35.87,35.39,35.46,22160385,"Friday",-0.00954259276059277
2011-01-21,34.81,35.17,34.76,34.95,24069271,"Friday",0.00977581103256631
2011-01-28,36.38,36.39,35.58,35.63,20718388,"Friday",-0.0238502708306116
2011-02-04,36.43,36.48,35.98,36.31,12097969,"Friday",-0.00192598766373209
2011-02-11,36.42,36.51,36.1,36.39,16062602,"Friday",-0.000824062675393478
2011-02-18,36.37,36.81,36.27,36.62,16522112,"Friday",0.00685028024746703
2011-02-25,35.57,36.04,35.51,35.97,11400594,"Friday",0.0109015754698434
2011-03-04,36.31,36.48,35.85,36.08,13436266,"Friday",-0.00773057411485523
2011-03-11,36.13,36.38,35.65,35.85,16821235,"Friday",-0.0152252075970658
2011-03-18,35.61,35.84,35.35,35.84,20821620,"Friday",0.0143321267356762
2011-03-25,37.24,37.32,37.15,37.29,10849344,"Friday",0.0029542118974315
2011-04-01,38.58,38.74,38.31,38.47,14663379,"Friday",-0.0018179462220167
2011-04-08,37.9,37.9,37.56,37.72,9324882,"Friday",-0.00105988351204322
2011-04-15,37.77,37.98,37.48,37.85,11300155,"Friday",0.00370566861319199
2011-04-29,37.98,38.08,37.63,37.78,13427188,"Friday",-0.0128864373642474
2011-05-06,37.46,37.5,37.08,37.28,11075607,"Friday",0.00430108189939071
2011-05-13,37.51,37.51,36.95,37.26,10424842,"Friday",-0.004552156742895
2011-05-20,37.25,37.32,37.02,37.15,10643848,"Friday",-0.0045656048153746
2011-05-27,36.74,36.75,36.44,36.67,7431753,"Friday",0.00163755495108964
2011-06-03,35.85,36.03,35.6,35.63,12067704,"Friday",-0.015042066346262
2011-06-10,35.48,35.58,35.17,35.19,12515085,"Friday",-0.0135480480373067
2011-06-17,35.45,35.92,35.43,35.51,19279698,"Friday",0.00763254588701745
2011-06-24,36.08,36.17,35.88,36,19918696,"Friday",-0.0013879252748481
2011-07-01,37.06,37.86,37.06,37.8,14943894,"Friday",0.0151942147409168
2011-07-08,37.17,37.51,37.12,37.48,12436226,"Friday",0.00160213652427776
2011-07-15,36.83,36.99,36.65,36.82,12761516,"Friday",-0.00162822288346121
2011-07-22,37.01,37.17,36.43,36.74,30321805,"Friday",-0.022339779798898
2011-07-29,35.31,35.74,34.87,35.29,16671760,"Friday",-0.0104299747478156
2011-08-05,35.14,35.35,34.02,35.05,35815892,"Friday",0.00371588250919785
2011-08-12,34.86,34.9,34.07,34.3,21382450,"Friday",-0.00928619557616894
2011-08-19,34.76,35.53,34.67,34.71,23215335,"Friday",-0.0103182342783916
2011-08-26,35.65,36.04,35.11,35.76,14955768,"Friday",-0.000279602965613357
2011-09-02,35.69,35.94,35.5,35.56,13663063,"Friday",-0.00895862654489132
2011-09-09,35.12,35.35,34.97,35.24,22931977,"Friday",-0.00396488766366021
2011-09-16,36.42,36.75,36.2,36.72,19766641,"Friday",0.0145387281766385
2011-09-23,35.45,35.94,35.36,35.88,32850061,"Friday",0.00811533766849415
2011-09-30,36.93,37.34,36.78,36.8,16556193,"Friday",-0.00946592598888296
2011-10-07,35.78,36.46,35.76,36.16,17205774,"Friday",0.00693772728598407
2011-10-14,37.29,37.36,37.09,37.33,9253384,"Friday",0.0083389857811409
2011-10-21,37.16,37.46,36.68,37.42,17613808,"Friday",0.00858835123255419
2011-10-28,37.58,37.73,37.37,37.63,13473511,"Friday",-0.000796918623660048
2011-11-04,37.27,37.32,36.86,37.17,9054271,"Friday",-0.00750472565406746
2011-11-11,37.56,37.73,37.38,37.52,8823687,"Friday",0.00507683121153146
2011-11-18,36.73,36.84,36.25,36.46,11795898,"Friday",-0.00656098581000775
2011-11-25,35.34,35.73,35.32,35.35,5519185,"Friday",0
2011-12-02,37.9,38.07,37.65,37.85,14106432,"Friday",0.00211584315909219
2011-12-09,38.09,38.5,37.94,38.43,12405874,"Friday",0.016264786673911
2011-12-16,38.61,38.78,38.46,38.78,19879308,"Friday",0.00932649247409501
2011-12-23,39.42,39.98,39.41,39.98,13237540,"Friday",0.0174092955018854
2011-12-30,39.85,40.25,39.82,40.12,10114352,"Friday",0.00174628957936651
2012-01-06,38.54,38.55,38.15,38.33,22327430,"Friday",-0.0157891205515899
2012-01-13,38.81,38.96,38.59,38.92,8994892,"Friday",0
2012-01-20,39.02,39.09,38.7,38.97,14808698,"Friday",-0.000769526779028418
2012-01-27,37.54,37.63,37.21,37.21,17110791,"Friday",-0.00348759575504509
2012-02-03,37.86,37.88,37.53,37.84,11413851,"Friday",0.00742708984361506
2012-02-10,37.7,37.75,37.52,37.69,12456280,"Friday",-0.00608387010777722
2012-02-17,38.29,38.55,38.16,38.46,12111843,"Friday",0.0107176558529387
2012-02-24,38.16,38.32,37.92,38.14,9693060,"Friday",0.000262226302800705
2012-03-02,38.48,38.81,38.43,38.67,11979913,"Friday",0.00622570104245312
2012-03-09,39.31,39.35,38.93,39.1,11756401,"Friday",-0.00306435377688041
2012-03-16,39.62,39.66,39.36,39.57,22441118,"Friday",0.000758437654862387
2012-03-23,39.66,39.82,39.3,39.42,40367194,"Friday",-0.00606982136707579
2012-03-30,38.32,38.34,38,38.23,12023848,"Friday",0.00419397731391502
2012-04-13,37.45,37.56,37.15,37.26,15657909,"Friday",-0.00775301303670117
2012-04-20,38.24,38.91,38.24,38.73,19323704,"Friday",0.0150887357961946
2012-04-27,40.15,40.44,40.14,40.23,10340668,"Friday",0.00223964259350495
2012-05-04,40.53,40.64,40.24,40.26,9942416,"Friday",-0.0093943830585812
2012-05-11,40.82,41.43,40.79,41.16,15429609,"Friday",0.0149311304044271
2012-05-18,41.61,41.96,41.26,41.53,20257584,"Friday",0.003860077169342
2012-05-25,41.46,41.65,41.28,41.45,7417580,"Friday",0.0014485758206626
2012-06-01,41.52,41.68,40.95,41.03,14446984,"Friday",-0.0147577372926735
2012-06-08,41.69,42.44,41.6,42.44,13470961,"Friday",0.019030069999014
2012-06-15,43.9,44.14,43.46,43.55,20359839,"Friday",-0.00458190950511161
2012-06-22,43.61,43.95,43.49,43.95,83962176,"Friday",0.0142073883793681
2012-06-29,44.42,44.77,44.25,44.44,18467046,"Friday",0.0106323815787106
2012-07-06,44.26,44.49,44,44.42,10816404,"Friday",-0.0105252343275595
2012-07-13,44.73,45.29,44.73,45.21,9736721,"Friday",0.0120161659424864
2012-07-20,44.15,44.68,43.85,44.49,17101013,"Friday",-0.00112321701127094
2012-07-27,44.66,45.06,44.56,44.9,22061718,"Friday",0.00984788621215804
2012-08-03,45.13,45.14,44.34,44.46,12997656,"Friday",-0.00359228046833593
2012-08-10,44.13,44.6,43.94,44.6,8547083,"Friday",0.00584665483785285
2012-08-17,44.19,44.23,43.97,44.06,9489673,"Friday",-0.00136085301110489
2012-08-24,42.21,43.24,42.19,43.17,12798091,"Friday",0.0215414557642033
2012-08-31,42.99,43.12,42.65,42.94,8908062,"Friday",0.00396687021181785
2012-09-07,44.1,44.15,43.5,43.72,12683867,"Friday",-0.00978726374163097
2012-09-14,45.23,45.23,44.3,44.53,21974738,"Friday",-0.023305904483927
2012-09-21,45.72,45.92,45.52,45.64,22003806,"Friday",0.0032920034119619
2012-09-28,45.63,45.7,45.26,45.57,28238921,"Friday",-0.00416074179575121
2012-10-05,46.93,47.32,46.82,47.05,16909451,"Friday",-0.00445340572737329
2012-10-12,45.27,45.39,44.59,44.62,12901572,"Friday",-0.0129148978337992
2012-10-19,45.97,46.02,45.09,45.16,13432656,"Friday",-0.0136355752429593
2012-10-26,44.17,44.86,44.02,44.73,11651393,"Friday",0.0107890459908182
2012-11-02,44.98,45.43,44.5,44.52,17221836,"Friday",-0.0138302449820458
2012-11-09,42.28,43.22,42.01,42.64,13324989,"Friday",0.000703812345768551
2012-11-16,41.66,41.66,40.51,41.4,27896874,"Friday",-0.0072202479734873
2012-11-23,43.3,43.77,43.16,43.76,5132944,"Friday",0.0138060177237915
2012-11-30,44.16,44.31,43.8,44.12,16997650,"Friday",0.00249631356230173
2012-12-07,44.4,44.5,43.91,44.41,11139579,"Friday",-0.00090029265590319
2012-12-14,44.42,44.83,44.19,44.21,10604819,"Friday",-0.00698751856919211
2012-12-21,43.55,43.98,43.25,43.57,21108408,"Friday",-0.00549326169645603
2012-12-28,43.24,43.39,42.84,42.9,9331815,"Friday",-0.0134292363190376
2013-01-04,44.04,44.36,43.75,44.3,14932109,"Friday",0.00543233567689283
2013-01-11,43.73,43.74,43.04,43.3,11624102,"Friday",-0.00667513124185692
2013-01-18,42.2,42.54,42.07,42.54,14149861,"Friday",0.00968473378116563
2013-01-25,42.71,42.81,42.34,42.67,13780001,"Friday",0.00187661326478672
2013-02-01,44.2,44.84,44.11,44.56,17702075,"Friday",0.0215501137643535
2013-02-08,44.51,44.61,44.17,44.35,8161529,"Friday",-0.00247719978046224
2013-02-15,44.39,44.62,44.16,44.4,11986419,"Friday",0.00157782068121692
2013-02-22,45.23,45.44,44.72,45.4,18830625,"Friday",0.00618649785749881
