"Date","Open","High","Low","Close","Volume","DOW","log_returns"
2011-01-10,36.55,36.58,35.82,35.92,38507599,"Monday",-0.000278357691428255
2011-01-24,34.88,35.28,34.88,35.24,15934302,"Monday",0.00826333238815957
2011-01-31,35.64,35.9,35.38,35.62,14490731,"Monday",-0.000280701756229185
2011-02-07,36.3,36.35,36,36.02,13812786,"Monday",-0.00801884567843425
2011-02-14,36.31,36.34,35.73,35.9,17738098,"Monday",-0.0135567161298353
2011-02-28,36.06,36.94,35.96,36.92,18196251,"Monday",0.0260681519271193
2011-03-07,36.13,36.23,35.92,36.01,10091401,"Monday",-0.0019420175336391
2011-03-14,35.74,35.74,34.91,35.18,23404524,"Monday",-0.0188658277362173
2011-03-21,36.66,37.3,36.38,36.46,27024559,"Monday",0.0171511811437872
2011-03-28,37.44,37.92,37.42,37.75,19192431,"Monday",0.0122602815043042
2011-04-04,38.53,38.69,38.49,38.61,11427466,"Monday",0.00363259351194145
2011-04-11,37.75,38,37.72,37.85,11903545,"Monday",0.00344052211820101
2011-04-18,37.6,37.72,37.15,37.31,12301240,"Monday",-0.0143695926503913
2011-04-25,37.07,37.12,36.82,36.99,10231108,"Monday",0.00216508880245581
2011-05-02,38.33,38.33,37.44,37.56,13416774,"Monday",-0.00584020773330129
2011-05-09,37.28,37.34,37.08,37.24,8455160,"Monday",-0.00107353740852423
2011-05-16,37.26,37.26,36.9,36.97,10999422,"Monday",-0.00781359222490208
2011-05-23,36.75,36.93,36.64,36.85,9106061,"Monday",-0.00810815252842279
2011-06-06,35.57,35.6,35.16,35.21,13838837,"Monday",-0.0118578464507832
2011-06-13,35.23,35.82,35.23,35.63,11570098,"Monday",0.012426028284251
2011-06-20,35.35,35.8,35.2,35.65,11910789,"Monday",0.00393479990530876
2011-06-27,36.08,36.5,35.95,36.4,12533541,"Monday",0.0110498361865852
2011-07-11,37.11,37.18,37.01,37.12,11499239,"Monday",-0.0096515494522218
2011-07-18,36.68,36.74,36.27,36.71,10904514,"Monday",-0.00299197829618869
2011-07-25,36.46,36.52,36.13,36.22,14793197,"Monday",-0.0142546273317126
2011-08-01,36.35,36.39,35.15,35.87,20648036,"Monday",0.0163016538570124
2011-08-08,33.98,34.6,32.59,33.12,18218766,"Monday",-0.0566382839635402
2011-08-15,34.6,35.1,34.42,35.05,13781533,"Monday",0.0216302593087052
2011-08-22,35.4,35.43,34.75,34.82,15379023,"Monday",0.00316410446634796
2011-08-29,36.05,36.25,35.81,36.14,13381062,"Monday",0.0105703348587691
2011-09-12,34.78,35.3,34.65,35.25,15458398,"Monday",0.00028372819029876
2011-09-19,36.41,36.41,36.03,36.28,12192940,"Monday",-0.0120549405053536
2011-09-26,36.11,36.41,35.84,36.36,21606903,"Monday",0.0132892321186828
2011-10-03,36.73,37.15,36.24,36.34,23211636,"Monday",-0.0125787822068602
2011-10-10,36.5,36.9,36.48,36.9,9761111,"Monday",0.0202580155225061
2011-10-17,37.28,37.43,36.9,36.94,9836873,"Monday",-0.0105023181553987
2011-10-24,37.46,37.47,36.76,36.93,14718479,"Monday",-0.0131810919814721
2011-10-31,37.46,37.55,36.95,36.98,14592413,"Monday",-0.0174243786463673
2011-11-07,37.21,37.35,35.17,37.34,11946277,"Monday",0.00456315380441552
2011-11-14,37.33,37.33,36.83,37,16872830,"Monday",-0.0139562114937997
2011-11-21,36.18,36.32,35.86,36.07,12219431,"Monday",-0.0107542743350693
2011-11-28,36.29,36.42,36,36.25,17777760,"Monday",0.025140988958102
2011-12-05,38.07,38.3,37.97,38.05,13423087,"Monday",0.00527010442423714
2011-12-12,38.24,38.39,37.98,38.35,12291411,"Monday",-0.00208387676348742
2011-12-19,38.79,39.1,38.48,38.63,14520042,"Monday",-0.00387547313631575
2012-01-09,38.45,38.53,38.14,38.37,13966418,"Monday",0.00104302486639751
2012-01-23,38.9,39,38.27,38.4,19142939,"Monday",-0.0147346597569369
2012-01-30,37.11,37.62,37.07,37.61,15701859,"Monday",0.0106924301237137
2012-02-06,37.82,38.19,37.82,38.14,14943013,"Monday",0.00789685598859569
2012-02-13,37.78,38.24,37.69,38.13,12676181,"Monday",0.0116065665904284
2012-02-27,38.07,38.19,37.89,38.13,14544647,"Monday",-0.000262226302800705
2012-03-05,38.65,39.28,38.62,39,13777538,"Monday",0.0084975405104406
2012-03-12,39.11,39.47,39.02,39.32,9557904,"Monday",0.00561082828764592
2012-03-19,39.46,39.79,39.3,39.65,10246127,"Monday",0.00201969268352364
2012-03-26,39.5,39.54,39.11,39.33,45995339,"Monday",-0.00228571528085597
2012-04-02,38.29,38.61,38.21,38.52,13260511,"Monday",0.00755703922160356
2012-04-09,37.36,37.61,37.36,37.46,10516621,"Monday",-0.00532482621306363
2012-04-16,37.33,37.55,37.21,37.43,8038464,"Monday",0.004552156742895
2012-04-23,38.45,38.8,38.41,38.57,14943066,"Monday",-0.00413972130652418
2012-04-30,40.09,40.4,40.08,40.38,11165127,"Monday",0.00372162692299449
2012-05-07,40.06,40.66,39.85,40.53,12063656,"Monday",0.00668402042857208
2012-05-14,40.92,41.11,40.48,40.89,14553084,"Monday",-0.00658137658929814
2012-05-21,41.69,41.77,41.22,41.34,12139894,"Monday",-0.00458550338903985
2012-06-04,41,41.41,40.92,41.34,10611378,"Monday",0.00752704779952751
2012-06-11,42.61,42.95,42.47,42.56,14176880,"Monday",0.0028235312876066
2012-06-18,43.52,44.13,43.51,43.82,12275383,"Monday",0.00618063086880882
2012-06-25,43.61,43.78,43.39,43.65,55991408,"Monday",-0.00684934184557484
2012-07-02,44.29,44.93,44.25,44.93,12354595,"Monday",0.0109657583106393
2012-07-09,44.45,44.75,44.4,44.74,11190892,"Monday",0.00717813759570207
2012-07-16,45.12,45.51,45.08,45.27,8267694,"Monday",0.00132626014135351
2012-07-23,44.21,44.47,43.68,44.35,12504637,"Monday",-0.00315173606236208
2012-07-30,44.71,45.08,44.69,44.95,10605110,"Monday",0.00111296616942091
2012-08-06,44.65,44.88,44.5,44.69,9577881,"Monday",0.00515985440930944
2012-08-13,44.44,44.5,44.2,44.27,6283804,"Monday",-0.00742661228196884
2012-08-20,43.93,44.06,43.64,43.7,9232915,"Monday",-0.00820423927265246
2012-08-27,43.1,43.24,42.55,42.76,10625593,"Monday",-0.00954272341054141
2012-09-10,43.79,44.32,43.74,44.06,11247898,"Monday",0.00774667806585905
2012-09-17,44.44,44.64,44.27,44.58,14993300,"Monday",0.00112220862411183
2012-09-24,45.8,45.85,45.5,45.68,8858597,"Monday",0.000876040353880114
2012-10-01,45.64,48.77,45.4,45.81,28876581,"Monday",0.00525280262285932
2012-10-08,47.01,47.07,46.54,46.57,8720307,"Monday",-0.0102543090371023
2012-10-15,44.48,44.72,43.75,44.5,17318454,"Monday",-0.00269299983219184
2012-10-22,45.02,45.1,44.52,44.77,10691731,"Monday",-0.00867346702858685
2012-11-05,44.45,44.52,43.86,44.2,9781561,"Monday",-0.00721373732369157
2012-11-12,42.65,42.94,42.5,42.56,6683460,"Monday",-0.00187793482420018
2012-11-19,41.83,42.82,41.67,42.81,16544360,"Monday",0.0334908393255859
2012-11-26,43.43,43.51,43.04,43.3,12282071,"Monday",-0.0105675231052813
2012-12-03,44.47,44.5,44.03,44.1,11462526,"Monday",-0.000453411932501702
2012-12-10,44.44,44.45,43.93,44.03,11137861,"Monday",-0.008593449536348
2012-12-17,44.25,44.3,43.86,44.12,12611304,"Monday",-0.00203781345285003
2012-12-24,43.26,43.7,43.26,43.54,3375878,"Monday",-0.000688784322949498
2012-12-31,42.53,43.27,42.49,43.27,14652902,"Monday",0.00858772830282239
2013-01-07,44.25,44.87,44.01,44.69,20898473,"Monday",0.00876508589427027
2013-01-14,42.92,43.09,42.49,42.59,15075837,"Monday",-0.0165331510733222
2013-01-28,42.77,42.89,42.46,42.77,13578079,"Monday",0.00234082503890853
2013-02-04,44.25,44.75,44.02,44.52,14191295,"Monday",-0.000898069211684671
2013-02-11,44.3,44.44,44.12,44.32,5750092,"Monday",-0.000676666316560048
2013-02-25,45.5,45.99,45.43,45.72,19948913,"Monday",0.00702373387930733
2013-03-04,46.7,47.11,46.59,47.11,9940422,"Monday",0.00831295419197842
2013-03-11,47.86,47.98,47.55,47.81,9541408,"Monday",-0.00313250752130134
2013-03-18,47.96,49.15,47.96,48.75,14772599,"Monday",0.0150876066507486
2013-03-25,49.19,49.44,48.97,49.16,12634319,"Monday",0.00285190659786716
2013-04-01,49.06,49.38,49.01,49.22,6928588,"Monday",0.00142319836973437
2013-04-08,49.14,49.43,48.77,49.43,11466919,"Monday",-0.00262652944207398
2013-04-15,50.66,51.06,50.26,50.64,14451335,"Monday",-0.00433498215805317
2013-04-22,52.2,52.29,51.89,52.19,11213264,"Monday",-0.00114898518959894
2013-04-29,53.65,53.72,53.26,53.46,10124541,"Monday",-0.00317490228406081
2013-05-06,52.57,52.65,51.94,52.05,7316917,"Monday",-0.0120310818141025
2013-05-13,52.83,52.89,52.41,52.55,5352521,"Monday",-0.00644918775492842
2013-05-20,53.29,53.4,52.6,52.74,8045501,"Monday",-0.0114997968226214
2013-06-03,48.43,48.71,47.77,48.66,17575703,"Monday",0.00370599559431728
2013-06-10,50.87,50.87,50.12,50.53,9617647,"Monday",0.00575569714387392
2013-06-17,51.45,51.63,50.35,50.71,9887822,"Monday",-0.00707411085262466
