"Date","Open","High","Low","Close","Volume","DOW","log_returns"
2011-01-07,93.06,93.54,92.5,92.95,222684,"Friday",-0.00171987573298527
2011-01-14,92.69,94.28,92.61,94.07,136813,"Friday",0.0147785940961187
2011-01-21,94.04,94.3,93.32,93.32,224220,"Friday",-0.0063024296632932
2011-01-28,100.4,100.79,99.92,100.24,1027134,"Friday",-0.00318725369417905
2011-02-04,98.68,99.47,98.41,99.34,653373,"Friday",0.00991409233121221
2011-02-11,100.08,102.33,100.08,101.88,476332,"Friday",0.0120471487630418
2011-02-18,103.52,105.24,103.31,105.11,244414,"Friday",0.0144700910098807
2011-02-25,102.07,103.02,101.93,102.52,515168,"Friday",0.0103932693573272
2011-03-04,102.57,102.91,100.9,101.99,227137,"Friday",-0.00693734767208642
2011-03-11,99.87,104.08,99.6,102.83,655416,"Friday",0.0250111501409824
2011-03-18,103.71,104.32,102.73,102.91,463688,"Friday",-0.00387935701335351
2011-03-25,104.45,106.15,104.26,105.35,312051,"Friday",0.00905846480165895
2011-04-01,108.08,108.74,107.13,107.66,514527,"Friday",0.00699075410740324
2011-04-08,108.5,108.61,105.91,106.65,420805,"Friday",-0.0164601289148329
2011-04-15,106.94,107.05,105.91,106.49,338619,"Friday",-0.00374918425856219
2011-04-29,109.72,110.07,108.79,109.46,282168,"Friday",-0.00628388753258058
2011-05-06,107.5,108.32,106.62,107.76,316340,"Friday",0.00960425117623576
2011-05-13,108.48,109.24,107.05,108.13,399015,"Friday",-0.00101677690508684
2011-05-20,106.09,106.62,105.54,105.62,401390,"Friday",-0.00641753806911449
2011-05-27,107.84,109.35,107.15,108.74,425681,"Friday",0.00831106455377739
2011-06-03,110.38,112.13,110.2,111.81,398597,"Friday",0.00403280557316688
2011-06-10,110.33,110.41,108.03,108.87,455370,"Friday",-0.0173917427118697
2011-06-17,107.95,108.13,105.72,106.33,399516,"Friday",-0.00870832789178433
2011-06-24,105.17,105.59,104.21,105.46,213148,"Friday",0.000284508513464843
2011-07-01,108.26,109.96,108.11,109.22,295795,"Friday",0.00293416678509306
2011-07-08,109.67,110.97,109.11,110.33,342191,"Friday",-0.00379953415303014
2011-07-15,107.42,107.81,105.64,106.28,170102,"Friday",-0.00796592938285379
2011-07-22,104.85,105.91,104.37,105.88,217331,"Friday",0.00882233109225883
2011-07-29,106.54,108.45,105.58,108.45,396393,"Friday",0.012246186998417
2011-08-05,101.22,101.24,96.32,98.44,580875,"Friday",-0.0189178513617554
2011-08-12,97.3,98.22,95.81,96.48,241430,"Friday",-0.00320795018212205
2011-08-19,93.72,96.71,93.72,95.13,313712,"Friday",-0.00272937393875061
2011-08-26,98.44,101.99,98.04,101.06,651840,"Friday",0.0228192447512834
2011-09-02,100.29,101.59,99.73,99.87,213772,"Friday",-0.0240403327025378
2011-09-09,98.78,98.86,95.58,96.56,354946,"Friday",-0.0272758111368745
2011-09-16,95.23,96.08,93.43,96.05,307829,"Friday",0.0129940002846975
2011-09-23,89.3,89.99,88.13,88.61,332846,"Friday",-0.00742076713205986
2011-09-30,90.36,91.76,90.15,91.05,331102,"Friday",-0.00809455305738283
2011-10-07,94.04,94.52,91.71,92.34,261989,"Friday",-0.0156874389333357
2011-10-14,97.67,97.67,95.34,95.97,162493,"Friday",-0.00612893415973925
2011-10-21,101.35,104.24,100.66,104.08,946258,"Friday",0.0357984435976908
2011-10-28,97.01,97.36,96.37,96.56,552582,"Friday",-0.0178594503638445
2011-11-04,95.71,96.13,94.7,95.68,277831,"Friday",-0.0041718875694059
2011-11-11,97.77,98.65,97.3,98.2,108097,"Friday",0.0149792479655826
2011-11-18,94.81,95.23,92.69,92.9,358871,"Friday",-0.0147454322481373
2011-11-25,90.73,91.89,90.54,91.73,116873,"Friday",0.0107410063766036
2011-12-02,94.86,96.77,94.54,96.64,348248,"Friday",0.0289753632036822
2011-12-09,100.64,101.22,100.19,100.61,237024,"Friday",0.00478231458424716
2011-12-16,100.71,100.9,99.63,100.13,321694,"Friday",-0.0020950773363948
2011-12-23,102.3,103.36,102.09,103.34,385882,"Friday",0.0139344520184359
