"Date","Open","High","Low","Close","Volume","DOW","log_returns"
2011-01-10,92.34,93.48,92.34,93.19,281619,"Monday",0.00257870563011142
2011-01-24,93.47,95.07,93.47,95.05,163635,"Monday",0.0183686217812093
2011-01-31,99.66,100.21,98.01,99.55,713804,"Monday",-0.00690728007760733
2011-02-07,99.06,99.44,98.6,99.39,308284,"Monday",0.000503195300709969
2011-02-14,101.93,102.25,101.72,101.99,200121,"Monday",0.00107911915117054
2011-02-28,102.81,103.42,102.52,103.02,273745,"Monday",0.00486524264156873
2011-03-07,101.77,102.38,100.5,100.87,249485,"Monday",-0.011042210195682
2011-03-14,102.22,105.06,102.2,103.87,916791,"Monday",0.0100629779986203
2011-03-21,103.5,104.66,103.5,104.21,350537,"Monday",0.0125532741563354
2011-03-28,105.03,105.46,104.62,104.87,170817,"Monday",-0.00456665240388343
2011-04-04,107.71,107.84,106.33,106.68,401518,"Monday",-0.00914441381899778
2011-04-11,106.7,107.47,106.3,106.78,289154,"Monday",0.00121819815468083
2011-04-18,105.96,106.46,105.7,106.33,416182,"Monday",-0.00150361836429713
2011-04-25,107.13,107.39,106.81,107.15,301530,"Monday",-0.00121251705383685
2011-05-02,109.7,110.73,109.7,109.96,251618,"Monday",0.00455747758127334
2011-05-09,107.81,107.87,106.62,106.75,375039,"Monday",-0.00941687999337493
2011-05-16,107.97,108.42,106.89,107.05,269320,"Monday",-0.0100381919217538
2011-05-23,105.03,105.24,103.47,104.69,420354,"Monday",-0.00884414494752406
2011-06-06,111.5,111.92,110.5,111.18,356472,"Monday",-0.00565049263395334
2011-06-13,108.77,110.04,108.32,108.79,308036,"Monday",-0.000735091460096982
2011-06-20,105.85,106.89,105.4,105.72,305293,"Monday",-0.00575337592690683
2011-06-27,105.3,105.88,104.77,105.32,163624,"Monday",-0.00132839947421459
2011-07-11,109.4,109.83,108.58,109.19,257565,"Monday",-0.0103863907462403
2011-07-18,105.85,105.93,104.19,104.74,143156,"Monday",-0.0145960320402709
2011-07-25,105.03,105.77,104.5,105.03,203974,"Monday",-0.00806035372421654
2011-08-01,108.82,109.38,106.2,106.78,380480,"Monday",-0.0155185942008433
2011-08-08,96.34,97.38,89.38,89.56,1130745,"Monday",-0.0945384337923016
2011-08-15,97.43,99.2,96.8,99.13,216140,"Monday",0.0270963870659306
2011-08-22,97.03,97.22,94.25,94.7,323265,"Monday",-0.00453037702633363
2011-08-29,101.96,102.7,100.9,102.07,481205,"Monday",0.009944452551645
2011-09-12,94.09,95.52,93.03,95.13,411054,"Monday",-0.0149201995709101
2011-09-19,94.75,95.87,94.3,95.34,215415,"Monday",-0.0074194394378857
2011-09-26,89.43,90.6,87.71,90.49,231514,"Monday",0.0209946293038312
2011-10-03,90.7,92.48,89.09,89.09,420041,"Monday",-0.0217617114410649
2011-10-10,93.91,96.29,93.91,96.24,279662,"Monday",0.0413676545875807
2011-10-17,95.81,95.81,94.28,94.44,377366,"Monday",-0.0160709304122246
2011-10-24,105.3,107.81,105.09,107.73,918313,"Monday",0.0344682627018509
2011-10-31,95.63,97.56,95.5,96.19,485321,"Monday",-0.00383917462475214
2011-11-07,94.86,95.66,94.44,95.63,257941,"Monday",-0.000522711840870826
2011-11-14,97.54,97.62,96.34,97.43,260796,"Monday",-0.00787204392316987
2011-11-21,91.81,92.98,90.75,92.69,316559,"Monday",-0.00226305393205184
2011-11-28,91.44,93.27,91.44,92.71,471707,"Monday",0.0106268620973271
2011-12-05,99.58,99.97,97.27,99.66,530607,"Monday",0.0307716586667537
2011-12-12,99.79,100.66,96.05,100.48,320630,"Monday",-0.00129295358407067
2011-12-19,100.61,100.93,99.79,100.13,260426,"Monday",0
2012-01-09,102.99,103.5,101.67,102.22,458599,"Monday",-0.00857203768278048
2012-01-23,100.98,101.88,100.29,101.38,381745,"Monday",-0.00285644124286666
2012-01-30,102.65,102.91,101.7,102.46,430905,"Monday",-0.00136545422561252
2012-02-06,103.47,105.01,102.97,103.97,179036,"Monday",-0.000288503151494091
2012-02-13,104.03,104.64,103.34,103.79,252677,"Monday",0.00357126000912267
2012-02-27,93.51,94.65,91.66,92.42,827170,"Monday",-0.0108690873627442
2012-03-05,93.14,94.12,92.79,93.93,460333,"Monday",0.00790940420885988
2012-03-12,92.45,93.54,92.45,92.93,571951,"Monday",-0.00225721598498296
2012-03-19,95.15,95.28,94.83,95.15,272821,"Monday",0.00136719798338358
2012-03-26,93.38,93.83,93.06,93.46,340829,"Monday",0.0068714034592503
2012-04-02,92.37,93.48,91.92,92.82,401973,"Monday",0.00172525382452715
2012-04-09,91.95,92.9,91.92,92.74,411622,"Monday",-0.00053899640177324
2012-04-16,93.4,93.56,92.53,93.01,594731,"Monday",0.00172172645566082
2012-04-23,94.97,95.79,94.97,95.68,571805,"Monday",-0.000522438755940158
2012-04-30,95.36,96.74,95.36,96.58,1182640,"Monday",-0.00989086983651077
2012-05-07,95.79,96.29,95.47,96.21,397872,"Monday",0.00103993353798071
2012-05-14,94.75,95.1,93.96,93.99,402397,"Monday",-0.0120559835861558
2012-05-21,91.15,91.58,90.87,91.1,503398,"Monday",0.0014280224319414
2012-06-04,91.84,92.82,91.58,92.74,337649,"Monday",0.00768526811254944
2012-06-11,94.73,94.79,92.66,92.72,533926,"Monday",-0.0166848790364345
2012-06-18,93.59,94.65,93.43,94.04,322601,"Monday",0.00340861003227388
2012-06-25,94.15,94.68,93.24,93.72,304219,"Monday",-0.0117742012560411
2012-07-02,97.22,97.75,96.98,97.4,247125,"Monday",0.00762654423155151
2012-07-09,98.49,98.49,97.17,97.56,171734,"Monday",-0.00897965217513619
2012-07-16,97.7,97.93,97.11,97.11,208966,"Monday",-0.00656884225921228
2012-07-23,97.09,98.09,96.85,97.93,335666,"Monday",-0.00224398298976691
2012-07-30,98.7,98.89,97.96,98.15,615912,"Monday",-0.00720778715634296
2012-08-06,94.6,95.15,93.93,94.46,430224,"Monday",-0.00538458778688966
2012-08-13,93.96,94.09,93.51,94.04,127253,"Monday",0.000851063881157188
2012-08-20,98.22,98.22,97.06,97.67,282263,"Monday",-0.00408705994484304
2012-08-27,97.85,98.17,97.38,97.88,174598,"Monday",0.00112445705689179
2012-09-10,97.7,98.09,97.47,97.88,161079,"Monday",0.00214778911508517
2012-09-17,97.38,97.96,97.24,97.38,271441,"Monday",-0.00164169952735183
2012-09-24,95.81,96.85,95.5,96.69,227239,"Monday",0.00518458233093266
2012-10-01,97.96,99.66,97.93,98.44,503878,"Monday",0.0065226484820835
2012-10-08,98.14,99.06,97.96,98.86,117715,"Monday",0.00212647541018907
2012-10-15,96.37,96.77,95.79,96.58,171690,"Monday",0.00217673058219958
2012-10-22,94.89,95.1,93.75,94.38,279635,"Monday",-0.0028566913570911
2012-11-05,90.44,91.55,90.21,91.23,545301,"Monday",0.0122416747933398
2012-11-12,90.28,90.28,89.43,89.54,597530,"Monday",-0.00200825683918815
2012-11-19,89.19,90.28,89.14,90.09,221937,"Monday",0.00523066130535188
2012-11-26,91.95,92.32,90.83,91.18,250645,"Monday",-0.00840937626503457
2012-12-03,91.79,92.72,91.28,91.44,274133,"Monday",-0.0161635020826925
2012-12-10,91.47,91.66,90.89,91.26,113102,"Monday",-0.0019704439872994
2012-12-17,90.75,91.66,90.62,90.75,426964,"Monday",0.00430678154515807
2012-12-24,88.37,89.17,88.16,88.72,68367,"Monday",-0.000225402908651695
2012-12-31,88.53,88.87,88,88.82,192709,"Monday",0.00383531208993126
2013-01-07,91.31,92.26,91.31,91.39,352014,"Monday",-0.00295001579686716
2013-01-14,91.18,91.52,90.7,91.39,154284,"Monday",0.00142348778485424
2013-01-28,92.79,92.91,92.14,92.85,196788,"Monday",0.00485830915107677
2013-02-04,95.21,95.36,93.99,94.25,218385,"Monday",-0.0123373737598405
2013-02-11,95.79,96.32,95.44,95.55,231529,"Monday",-0.00885653093021777
2013-02-25,97.59,97.99,97.32,97.7,773051,"Monday",0.00245952163337737
2013-03-04,100.45,101.3,99.76,101.11,344133,"Monday",0.00416254317578435
2013-03-11,100.34,100.85,100.26,100.74,249773,"Monday",0.00288284905656067
2013-03-18,100.16,100.87,99.79,99.97,385686,"Monday",-0.007176348948434
2013-03-25,102.46,103.23,102.21,102.73,158463,"Monday",0.00419451427059148
2013-04-01,104.4,104.9,103.42,104.21,181351,"Monday",-0.00383105535133321
2013-04-08,101.72,102.2,101.35,101.99,116639,"Monday",0.00215940405858639
2013-04-15,103.6,105.72,103.6,103.84,302648,"Monday",-0.003364902468312
2013-04-22,102.2,103.1,101.54,102.7,119483,"Monday",0.00488043916490888
2013-04-29,103.55,104.05,103.23,103.31,285652,"Monday",-0.00232041098023927
2013-05-06,108.21,108.48,108.03,108.11,130677,"Monday",-0.000924556278876665
2013-05-13,107.36,109.54,107.34,109.35,277376,"Monday",0.0139050999587802
2013-05-20,110.12,110.25,109.17,109.77,234482,"Monday",-0.00581344175182075
2013-06-03,103.58,103.84,102.46,103.84,339346,"Monday",0.00356953733892063
2013-06-10,105.22,105.32,104.11,104.24,386430,"Monday",-0.00783568270922608
2013-06-17,107.02,109.7,106.91,109.56,572760,"Monday",0.0284212603675851
2013-06-24,108.45,109.62,106.44,109.48,850396,"Monday",0
2013-07-01,108.72,109.01,108.01,108.72,465539,"Monday",0.00636680351399477
2013-07-08,109.17,110.25,108.95,109.7,370006,"Monday",0.00851380617542574
2013-07-15,115.52,115.71,114.83,115.1,277575,"Monday",0.00741228595352261
2013-07-22,114.89,115.6,114.81,115.02,116510,"Monday",-0.000434612549758739
2013-07-29,113.62,113.91,112.66,112.95,192790,"Monday",-0.0093409209316162
2013-08-05,114.41,114.75,112.87,113.72,279098,"Monday",-0.0106709662967965
2013-08-12,111.5,112.79,111.23,111.52,248599,"Monday",-0.00598991554465922
2013-08-19,110.65,111.26,110.52,110.62,72051,"Monday",-0.0011745043587128
2013-08-26,112.56,112.84,111.28,111.47,103854,"Monday",-0.00875318200379205
2013-09-09,110.83,111.42,110.57,111.42,170394,"Monday",0.00603143566742492
2013-09-16,114.28,115.52,114.28,115.5,331709,"Monday",0.0164109828328671
2013-09-23,118.41,118.41,116.22,116.95,343942,"Monday",-0.00834473507169076
2013-09-30,114.68,115.68,114.33,114.78,247418,"Monday",-0.00737818546065405
2013-10-07,115.18,115.18,113.83,114.2,108271,"Monday",-0.00923914878661058
2013-10-14,114.83,117.09,114.83,117.01,189935,"Monday",0.0132486452671019
2013-10-21,119.2,119.76,119.2,119.76,122042,"Monday",0.00267558688043845
2013-10-28,121.99,122.78,121.85,122.01,170707,"Monday",0.000819941010187897
2013-11-04,118.99,119.13,117.56,117.67,402512,"Monday",-0.0109872640125968
2013-11-11,118.52,119.66,118.18,119.18,163593,"Monday",0.00622845208544209
2013-11-18,119.87,119.87,118.25,118.49,241384,"Monday",-0.0115792533903596
2013-11-25,119.63,119.87,119.05,119.1,150028,"Monday",-0.0031018174678783
2013-12-02,118.91,120.44,117.54,119.36,389789,"Monday",0.00621903004487034
2013-12-09,119.5,119.63,118.62,119.31,205557,"Monday",0.00176167152645501
2013-12-16,118.2,118.2,117.17,117.4,196141,"Monday",-0.000681198936423044
2013-12-23,119.28,119.36,118.68,118.89,145817,"Monday",-0.00109285034625284
2013-12-30,118.36,118.91,117.96,118.33,270467,"Monday",0.000930036000243994
2014-01-06,115.97,116.26,115.21,116,386161,"Monday",0.000258654137752501
2014-01-13,117.06,117.64,116.32,116.74,261251,"Monday",-0.0031644242784008
2014-01-27,115.74,115.8,114.3,114.57,152872,"Monday",-0.0100739019544518
2014-02-03,113.88,114.97,111.47,111.55,117584,"Monday",-0.0223393741612652
2014-02-10,113.14,114.25,112.98,113.93,141340,"Monday",0.00881606697444504
2014-02-24,112,112.42,111.76,111.76,215382,"Monday",-0.00187726332339899
2014-03-03,108.61,109.54,108.37,108.77,306476,"Monday",-0.00238751261253078
2014-03-10,113.67,113.93,113.19,113.32,292941,"Monday",-0.00659662007749073
2014-03-17,112.77,113.35,112.05,113.22,264982,"Monday",0.00824801802406672
2014-03-24,114.86,115.58,112.26,112.4,452263,"Monday",-0.019558371664
2014-03-31,113.59,117.22,113.35,116.9,544217,"Monday",0.0322510458336946
2014-04-07,116.42,116.53,112.9,113.88,306073,"Monday",-0.0145580743105524
2014-04-14,111.34,111.42,110.46,111.1,262851,"Monday",0.00405863014852592
2014-04-21,111.87,112.29,111.68,112.19,148127,"Monday",0.00240953219964712
2014-04-28,114.6,114.83,112.5,113.85,361837,"Monday",-0.00306950471216183
2014-05-05,108.85,109.35,108.64,109.14,217373,"Monday",-0.000458022267888936
2014-05-12,110.04,111.41,110.04,110.54,256689,"Monday",0.00335281905314311
2014-05-19,110.97,111.23,110.2,111.07,251222,"Monday",0.000900738666556045
2014-06-02,111.44,111.76,111.05,111.23,195202,"Monday",0.00116943295835359
2014-06-09,113.62,114.07,113.22,113.72,292323,"Monday",0.00158408904021901
2014-06-16,113.85,114.25,113.47,113.83,252631,"Monday",-0.00324518988478495
2014-06-23,116.45,116.61,115.52,115.79,177418,"Monday",-0.000431723013225138
2014-06-30,114.25,114.73,114.12,114.7,207397,"Monday",0.00393099436101085
2014-07-07,114.91,115.1,114.33,114.6,341867,"Monday",-0.00409283455472753
2014-07-14,113.91,114.52,113.22,113.24,440844,"Monday",-0.00405394051279195
2014-07-21,112.08,112.87,111.47,112.69,266063,"Monday",0.00142083320235198
2014-07-28,109.14,110.83,109.01,110.62,236636,"Monday",0.00525696851015844
2014-08-04,107.42,107.76,106.12,106.44,316150,"Monday",-0.00935110610549383
2014-08-11,108.24,109.14,108.24,108.53,172780,"Monday",0.00341502016326967
2014-08-18,109.48,109.67,109.27,109.46,210931,"Monday",0.00146279053327891
2014-08-25,110.86,111.73,110.3,110.75,194176,"Monday",0.00379953415303014
2014-09-08,112.24,112.79,111.74,112.13,164467,"Monday",0.00142793420068443
2014-09-15,112.77,113.03,112.53,112.71,197015,"Monday",-0.00124135500955802
2014-09-22,112.74,112.77,110.99,111.1,301420,"Monday",-0.0156288066179604
2014-09-29,108.69,109.85,108.09,109.67,234223,"Monday",0.00292210964934014
2014-10-06,109.51,110.09,108.95,109.32,166068,"Monday",-0.000731528928013425
2014-10-13,106.46,106.94,105.4,105.72,368740,"Monday",-0.00622349957808321
2014-10-20,106.78,107.5,105.99,107.31,279146,"Monday",0.00541956101316288
2014-10-27,107.39,108.98,107.18,108.85,178798,"Monday",0.012479940112839
2014-11-03,107.05,107.44,106.17,106.65,504569,"Monday",-0.00663522830601249
2014-11-10,111.07,112.34,110.68,111.95,309805,"Monday",0.0067219612282825
